Name,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID,Organisation URI,Lower Layer Super Output Area (LSOA),Ward
Community Toilet Scheme Streets Coffee,,,289,Finchley Road,NW3 6ND,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000145,West Hampstead,526154,184949,-0.18195,51.549337,"(51.549337, -0.18195)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,15,http://opendatacommunities.org/id/london-borough-council/camden,131,18
Camden Town Female Public Conveniences,"Toilets below gound via stairs.1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Parkway,NW1 7JY,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528894,183857,-0.142859,51.5389,"(51.5389, -0.142859)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,2,http://opendatacommunities.org/id/london-borough-council/camden,22,3
Holborn Library,"Mon-Thu 10am-7pm, Fri 10am-5pm, Sat 11am-5pm, Sun closed.",,32-38,Theobald's Road,WC1X 8PA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/holbornlibrary,E05000138,Holborn and Covent Garden,530827,181935,-0.115702,51.521182,"(51.521182, -0.115702)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,24,http://opendatacommunities.org/id/london-borough-council/camden,79,11
Community Toilet Scheme Abbey Road Community Centre,,Abbey Community Centre,222C,Belsize Road,NW6 4DJ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000140,Kilburn,525714,183840,-0.188679,51.539472,"(51.539472, -0.188679)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,5,http://opendatacommunities.org/id/london-borough-council/camden,92,13
Leather Lane Public Conveniences,24 hours.,Public Convenience,,Leather Lane,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,531213,182025,-0.110122,51.521911,"(51.521911, -0.110122)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,31,http://opendatacommunities.org/id/london-borough-council/camden,75,11
Waterlow Park Centre Conveniences,Daylight hours,Waterlow Park Centre,,Dartmouth Park Hill,N19 5JF,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/ccm/content/contacts/council-contacts/leisure-council-contacts/parks-and-open-spaces/contact-waterlow-park/,E05000137,Highgate,528799,187131,-0.14303,51.568344,"(51.568344, -0.14303)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,43,http://opendatacommunities.org/id/london-borough-council/camden,72,10
Lincolns Inn Fields Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Lincoln's Inn Fields,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,530862,181462,-0.115388,51.516933,"(51.516933, -0.115388)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,32,http://opendatacommunities.org/id/london-borough-council/camden,73,11
Community Toilet Scheme Nandos (West Hampstead),,,252-254,West End Lane,NW6 1LG,020 7974 4444 (Contact Camden call centre),,https://www.nandos.co.uk/eat/restaurants/west-hampstead,E05000145,West Hampstead,525484,185167,-0.19152,51.551449,"(51.551449, -0.19152)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,14,http://opendatacommunities.org/id/london-borough-council/camden,128,18
Kenwood House Public Conveniences,"9am-7pm (Summer), 9am-4pm (Winter).",Kenwood House,,Hampstead Lane,NW3 7JR,020 8348 1286,,http://www.camden.gov.uk/toilets,E05000137,Highgate,527087,187419,-0.1676,51.57132,"(51.57132, -0.1676)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,28,http://opendatacommunities.org/id/london-borough-council/camden,72,10
Community Toilet Scheme Greenlight Pharmacy,,,138,Drummond Street,NW1 2PA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000142,Regent's Park,529251,182509,-0.138202,51.526711,"(51.526711, -0.138202)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,9,http://opendatacommunities.org/id/london-borough-council/camden,104,15
Queens Crescent Public Conveniences,24 hours.,Public Convenience,,Queen's Crescent,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000136,Haverstock,528174,184984,-0.152825,51.549201,"(51.549201, -0.152825)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,36,http://opendatacommunities.org/id/london-borough-council/camden,59,9
Crowndale Centre Public Conveniences,"Mon-Fri 7.30am-7.30pm, Sat 10am-4.45pm.",The Crowndale Centre,218,Eversholt Street,NW1 1BD,020 7974 1564,,http://www.camden.gov.uk/toilets,E05000142,Regent's Park,529261,183348,-0.137743,51.53425,"(51.53425, -0.137743)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,16,http://opendatacommunities.org/id/london-borough-council/camden,106,15
Hampstead Heath Public Conveniences,,Hampstead Heath,,Highgate Road,,020 7332 3322,,http://www.cityoflondon.gov.uk/hampstead,E05000137,Highgate,527750,185795,-0.158641,51.556578,"(51.556578, -0.158641)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,20,http://opendatacommunities.org/id/london-borough-council/camden,71,10
Queens Crescent Library,"Mon 10am-6pm, Tue-Thu 11am-6pm, Fri 11am-5pm, Sat 11am-5pm, Sun closed.",Queens Crescent Branch Library,165,Queen's Crescent,NW5 4HH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/queenscrescentlibrary,E05000134,Gospel Oak,528284,185130,-0.151186,51.550488,"(51.550488, -0.151186)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,35,http://opendatacommunities.org/id/london-borough-council/camden,50,7
West End Lane Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Convenience,,West End Lane,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000145,West Hampstead,525431,185220,-0.19228,51.551928,"(51.551928, -0.19228)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,44,http://opendatacommunities.org/id/london-borough-council/camden,128,18
Kilburn Library Centre,"Mon-Thu 10am-7pm, Fri 10am-5pm, Sat 11am-5pm, Sun closed.",,12-22,Kilburn High Road,NW6 5UH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kilburnlibrary,E05000140,Kilburn,525552,183494,-0.191137,51.536389,"(51.536389, -0.191137)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,29,http://opendatacommunities.org/id/london-borough-council/camden,89,13
Castlehaven Road  Pop-up Urinal,Generally available 2100-0330 on a Friday and Saturday Night,Public Convenience,Near 213-219,Castlehaven Road,NW1 8QU,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528701,184180,-0.145522,51.541847,"(51.541847, -0.145522)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,4,http://opendatacommunities.org/id/london-borough-council/camden,17,3
Highgate Road Public Conveniences,Mon-Sun 8am-dusk.,Public Conveniences,,Highgate Road,,"020 7332 3322, 020 7332 3773",,http://www.cityoflondon.gov.uk/openspaces,E05000137,Highgate,528211,186126,-0.151861,51.559446,"(51.559446, -0.151861)",Local Land And Property Gazetteer,24/12/2018 09:30:15 AM,23,http://opendatacommunities.org/id/london-borough-council/camden,71,10
