denomination;categorie;avant_montant;conv_montant;remu_montant
MicroPort CRM France SAS;Professionnel de santé;31991002;434049;328706
AMGEN SAS;Académies, Fondation, sociétés savantes, organismes de conseils;18401995;0;44763
MSD France;Etablissement de santé;14488273;7464;2298755
BIOGEN FRANCE SAS;Association professionnel de santé;10289661;0;
NOVARTIS PHARMA SAS;Professionnel de santé;9235105;9532935;2587648
SANOFI AVENTIS FRANCE;Professionnel de santé;5431188;0;1857919
MSD France;Professionnel de santé;4252103;1846997;1839760
MSDAVENIR;Etablissement de santé;4201783;;
AMGEN SAS;Etablissement de santé;3594029;0;11840
MSDAVENIR;Académies, Fondation, sociétés savantes, organismes de conseils;3555974;0;
JANSSEN-CILAG;Professionnel de santé;3326146;0;748787
BRISTOL-MYERS SQUIBB;Professionnel de santé;3324406;3226516;1506979
ASTRAZENECA;Professionnel de santé;3290656;4944518;1217759
Bayer HealthCare SAS;Professionnel de santé;3078589;3395024;1156822
AbbVie;Professionnel de santé;3013564;5262712;1464777
ROCHE SAS;Professionnel de santé;2989572;3280845;610945
GILEAD SCIENCES;Professionnel de santé;2319043;952271;637075
IPSEN PHARMA;Professionnel de santé;2234511;1517129;249097
bioMérieux;Académies, Fondation, sociétés savantes, organismes de conseils;2033500;22040;304143
BOEHRINGER INGELHEIM FRANCE;Professionnel de santé;1941399;689085;754964
SANOFI PASTEUR;Académies, Fondation, sociétés savantes, organismes de conseils;1889320;0;3310141
Lilly France SAS;Professionnel de santé;1811572;970746;850724
AMGEN SAS;Association professionnel de santé;1781777;0;171400
AMGEN SAS;Professionnel de santé;1776323;0;416106
MSD France;Académies, Fondation, sociétés savantes, organismes de conseils;1759968;307218;3847778
LABORATOIRE GLAXOSMITHKLINE;Professionnel de santé;1703720;1819676;410784
ALLERGAN FRANCE;Professionnel de santé;1694873;428669;678935
PFIZER SAS;Professionnel de santé;1598952;0;1017369
BOSTON SCIENTIFIC SAS;Association professionnel de santé;1576962;0;42360
MENARINI FRANCE;Professionnel de santé;1510208;1770868;479360
LES LABORATOIRES SERVIER;Professionnel de santé;1289183;0;1122986
BIOGARAN;Professionnel de santé;1260333;129879;61315
AbbVie;Académies, Fondation, sociétés savantes, organismes de conseils;1187500;12451106;9717956
BIOGEN FRANCE SAS;Professionnel de santé;1159787;0;
ABBOTT MEDICAL FRANCE SAS;Association professionnel de santé;1155280;0;13233
MYLAN MEDICAL SAS;Professionnel de santé;1149942;70977;215483
Amplifon Groupe France;Professionnel de santé;1134866;;
ASTELLAS PHARMA;Professionnel de santé;1094448;320003;412851
ABBOTT MEDICAL FRANCE SAS;Professionnel de santé;1068198;0;491810
MEDTRONIC France S.A.S;Professionnel de santé;1065926;2444355;881367
ROCHE SAS;Association professionnel de santé;1062154;692413;657460
LEO Pharma;Professionnel de santé;1054760;1628071;181997
GEDEON RICHTER France - Division Santé de la Femme;Professionnel de santé;1048198;3060;272913
BIOTRONIK FRANCE SAS;Professionnel de santé;1040424;0;815906
STALLERGENES;Professionnel de santé;1029136;0;8245
BOSTON SCIENTIFIC SAS;Professionnel de santé;1027166;0;1176853
LABORATOIRES BOUCHARA - RECORDATI;Professionnel de santé;975984;340;181520
PFIZER PFE FRANCE;Professionnel de santé;956124;0;239410
PHARMA DOM;Professionnel de santé;945125;13850;29900
AMGEN SAS;Presse et média;940706;0;
BIOTRONIK FRANCE SAS;Association professionnel de santé;937900;0;135712
Johnson & Johnson Medical SAS;Professionnel de santé;927120;133931;181611
BRACCO IMAGING FRANCE;Professionnel de santé;908153;20638;51092
ALK-Abelló;Professionnel de santé;895308;0;269661
CHIESI SAS;Professionnel de santé;869706;449178;217956
PIERRE FABRE MEDICAMENT;Professionnel de santé;867322;0;192210
GILEAD SCIENCES;Association usager de santé;834180;575422;
GUERBET France;Professionnel de santé;811111;615432;11177
SANOFI AVENTIS FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;801444;0;26230932
VITALAIRE;Professionnel de santé;787691;847895;53901
LivaNova France SAS;Professionnel de santé;780904;104176;19274
LUNDBECK SAS;Professionnel de santé;775680;1008762;286158
BIOCODEX;Professionnel de santé;767980;176614;200687
SIGVARIS;Presse et média;765362;314220;3900
JANSSEN-CILAG;Association professionnel de santé;744067;1212719;742554
Takeda France;Professionnel de santé;739275;774047;455005
SANOFI AVENTIS FRANCE;Association professionnel de santé;710663;0;2810542
TERUMO FRANCE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;693680;644424;68400
SANDOZ;Professionnel de santé;668929;397547;159002
BOIRON;Professionnel de santé;662107;0;163070
NOVO NORDISK;Professionnel de santé;649950;0;476323
ABBOTT FRANCE;Association professionnel de santé;615702;76627;1200
NOVARTIS PHARMA SAS;Académies, Fondation, sociétés savantes, organismes de conseils;601739;5625255;16927982
ELIVIE;Professionnel de santé;601519;184798;35251
LES LABORATOIRES SERVIER;Académies, Fondation, sociétés savantes, organismes de conseils;600000;0;15855792
MSDAVENIR;Association professionnel de santé;598863;;
FERRING SAS;Professionnel de santé;552003;0;47404
Otsuka Pharmaceutical France SAS;Professionnel de santé;543747;685496;147218
STRYKER FRANCE SAS;Association professionnel de santé;533114;0;
MYLAN SAS;Professionnel de santé;527047;280;72678
ABBOTT FRANCE;Professionnel de santé;523164;58928;9025
MSD France;Association professionnel de santé;522504;252152;1298573
SIGVARIS;Académies, Fondation, sociétés savantes, organismes de conseils;515440;3417009;1215636
THEA PHARMA;Professionnel de santé;513184;0;16350
MERIAL;Vétérinaire;508111;0;317768
TERUMO FRANCE SAS;Professionnel de santé;502613;85530;57105
AMGEN SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;502300;0;8880
UCB Pharma SA;Professionnel de santé;500692;214404;230316
MicroVention Europe;Professionnel de santé;500620;2524337;327590
FERRING SAS;Association professionnel de santé;496270;0;62400
MERZ PHARMA France;Professionnel de santé;494027;721389;1001705
NOVARTIS PHARMA SAS;Association usager de santé;492700;390200;279864
FRESENIUS KABI FRANCE;Professionnel de santé;489339;141354;58950
MUNDIPHARMA;Professionnel de santé;484907;0;40846
ROCHE SAS;Etablissement de santé;472009;2949344;7889552
ABBOTT MEDICAL FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;466279;0;4860
GE HEALTHCARE SAS;Professionnel de santé;465313;40796;
SHIRE France S.A.;Etablissement de santé;464130;435508;
ASTELLAS PHARMA;Association professionnel de santé;463500;165149;365452
OVERCOME;Professionnel de santé;452058;942;
CHUGAI PHARMA FRANCE;Association professionnel de santé;448461;;
INTUITIVE SURGICAL SARL;Professionnel de santé;422400;;16450
MEDAC SAS;Professionnel de santé;419373;41251;
GILEAD SCIENCES;Association professionnel de santé;414095;650581;
FH ORTHOPEDICS;Professionnel de santé;410088;17400;290187
W L GORE & ASSOCIES;Professionnel de santé;409357;261796;133400
SWEDISH ORPHAN BIOVITRUM;Professionnel de santé;406424;184317;237840
MERCK SERONO;Professionnel de santé;402294;586105;310263
ABBOTT FRANCE;Etablissement de santé;401714;;
Becton Dickinson France SAS;Etablissement de santé;400717;1104463;678340
SHIRE France S.A.;Professionnel de santé;392898;429384;293104
GE Medical Systems SCS;Professionnel de santé;385884;117315;
LES LABORATOIRES SERVIER;Association professionnel de santé;382700;0;596380
BRISTOL-MYERS SQUIBB;Association usager de santé;381564;423800;183597
STRYKER FRANCE SAS;Professionnel de santé;373727;0;
ViiV HEALTHCARE SAS;Association usager de santé;362106;91560;221290
SANOFI AVENTIS FRANCE;Etudiant;359580;0;
BRISTOL-MYERS SQUIBB;Académies, Fondation, sociétés savantes, organismes de conseils;358464;3472079;3860789
MSD VACCINS;Professionnel de santé;351758;161838;131960
AbbVie;Association professionnel de santé;350738;5202466;4539825
Arthrex SAS;Professionnel de santé;350057;2880;514269
LEO Pharma;Association professionnel de santé;348800;2176783;742044
ASPEN FRANCE;Professionnel de santé;347084;331803;74690
BARD FRANCE SAS;Professionnel de santé;344637;0;93250
Laboratoires Grünenthal SAS;Professionnel de santé;342003;0;218000
EDWARDS LIFESCIENCES SUISSE;Professionnel de santé;328040;0;108079
Amplifon Groupe France;Association professionnel de santé;325878;;
NORDIC PHARMA SAS;Professionnel de santé;325241;0;38503
Biosensors France SAS;Professionnel de santé;325059;426391;145718
THUASNE;Professionnel de santé;321379;8200;13500
JAZZ PHARMACEUTICALS FRANCE;Professionnel de santé;316845;310149;74733
LABORATOIRES COLOPLAST;Professionnel de santé;313336;249006;98380
Bastide Le Confort Médical;Professionnel de santé;311878;0;110268
Philips France Commercial;Professionnel de santé;311059;66810;48491
EISAI SAS;Professionnel de santé;305303;297013;102795
KYOWA KIRIN;Professionnel de santé;302359;384237;72120
BRISTOL-MYERS SQUIBB;Etablissement de santé;296515;14782340;12768095
BOSTON SCIENTIFIC SAS;Etablissement de santé;289656;0;
GILEAD SCIENCES;Etablissement de santé;287400;187707;
VYGON;Professionnel de santé;285809;149418;17910
ASTRAZENECA;Etudiant;285463;275887;
Zimmer Biomet France SAS;Professionnel de santé;285178;0;
CSL BEHRING SA;Professionnel de santé;282162;39;69304
ROCHE SAS;Presse et média;281961;362866;153220
MITHRA PHARMACEUTICALS S.A.S;Professionnel de santé;281840;54337;12274
BARD FRANCE SAS;Association professionnel de santé;280050;0;
Smith & Nephew S.A.S.;Professionnel de santé;273761;192100;50315
SIEMENS HEALTHCARE SAS;Professionnel de santé;271745;0;4700
CELGENE SAS;Professionnel de santé;261499;191262;81411
AMGEN SAS;Association usager de santé;253048;0;1500
NORGINE SAS;Professionnel de santé;251084;113821;55307
LABORATOIRES GENEVRIER;Professionnel de santé;250433;277562;96177
B3TSI;Professionnel de santé;249021;0;1019737
LABORATOIRES MAYOLY SPINDLER;Professionnel de santé;244852;708;16360
VITALAIRE;Association professionnel de santé;243993;234393;
INTUITIVE SURGICAL SAS;Professionnel de santé;240211;809520;518650
PFIZER SAS;Association usager de santé;239058;0;140766
Arthrex SAS;Académies, Fondation, sociétés savantes, organismes de conseils;233709;0;
Laboratoires Filorga;Professionnel de santé;233093;;
EDWARDS LIFESCIENCES;Professionnel de santé;232298;0;20400
BOSTON SCIENTIFIC SAS;Académies, Fondation, sociétés savantes, organismes de conseils;230533;0;
NOVO NORDISK;Personnes morales assurant la formation initiale ou continue des professionnels de santé;230092;0;10146
CEDH - CENTRE D'ENSEIGNEMENT ET DE DEVELOPPEMENT DE L'HOMEOPATHIE;Professionnel de santé;229283;0;410439
GEDEON RICHTER France - Division Santé de la Femme;Association professionnel de santé;229000;7500;
SANOFI AVENTIS FRANCE;Association usager de santé;228516;0;161217
JANSSEN-CILAG;Académies, Fondation, sociétés savantes, organismes de conseils;225000;1053708;5765862
PILEJE;Professionnel de santé;224732;0;57380
LABORATOIRES URGO;Professionnel de santé;224634;0;12152
FRESENIUS KABI FRANCE;Association professionnel de santé;224177;136521;2000
LABORATOIRES CONVATEC;Professionnel de santé;222856;0;
Molnlycke Health Care;Professionnel de santé;221563;5650;7945
LivaNova SAS;Professionnel de santé;218872;376631;107076
Octapharma France;Association professionnel de santé;218610;0;46650
HEMOTECH;Professionnel de santé;218139;0;
ROCHE DIABETES CARE FRANCE;Professionnel de santé;217713;103246;50729
AbbVie;Association usager de santé;217198;131565;59183
HOLLISTER FRANCE Incorporated;Professionnel de santé;217167;1240;32560
BALT INTERNATIONAL;Professionnel de santé;216048;0;150250
Pierre Fabre Dermo-Cosmétique;Professionnel de santé;213057;;
Takeda France;Association professionnel de santé;209300;655732;465660
BOIRON;Association professionnel de santé;208000;0;154538
JANSSEN-CILAG;Etudiant;205417;0;1527
DIAGNOSTICA STAGO;Professionnel de santé;204396;800;
Octapharma France;Professionnel de santé;200110;0;54864
