smiles,Caco2,Lipophilicity,Solubility,PPBR,VDss,CYP1A2-Inhibitor,CYP2C19-Inhibitor,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,CL-Hepa,CL-Micro,Half-Life,hERG,LD50
O=C1CN=C(c2ccccc2N1)C3CCCCC3,-4.266,2.525,-3.018,92.875,5.914,0.998,0.919,0.001,0.462,0.373,0.174,18.202,21.688,69.685,0.929,1.856
CN1C(=O)CN=C(c2ccccc12)C3CCCCC3,-4.345,2.816,-2.321,88.864,5.912,1.000,0.700,0.004,0.806,0.324,0.342,24.834,29.185,18.827,0.046,2.395
CCCCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,-4.380,3.108,-3.542,104.092,5.927,1.000,0.903,0.371,0.667,0.158,0.202,74.280,58.791,43.087,0.374,2.111
CC(C)CCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,-4.242,3.408,-3.697,104.849,6.435,0.996,0.913,0.393,0.670,0.013,0.200,82.621,55.790,28.679,0.908,1.928
O=C1CN=C(c2ccccc2N1CC3CCCCC3)C4CCCCC4,-4.302,3.111,-4.095,102.538,6.169,0.998,0.735,0.139,0.515,0.910,0.162,52.676,61.325,21.411,0.979,1.751
O=C1CN=C(c2cc(Cl)ccc2N1)C3CCCCC3,-4.404,2.616,-3.221,95.227,7.532,1.000,0.962,0.003,0.506,0.804,0.189,23.834,18.374,147.437,0.969,2.170
CN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,-4.531,2.849,-2.642,95.029,9.259,1.000,0.917,0.011,0.815,0.724,0.349,24.072,30.050,62.106,0.194,2.339
CCCCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,-4.537,2.964,-3.840,105.791,12.748,1.000,0.952,0.557,0.691,0.342,0.216,70.057,55.837,110.864,0.665,2.222
CC(C)CCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,-4.483,3.231,-3.899,106.058,11.290,1.000,0.971,0.571,0.693,0.036,0.213,71.916,45.639,84.953,0.965,2.034
O=C1CN=C(c2cc(Cl)ccc2N1CC3CCCCC3)C4CCCCC4,-4.451,3.079,-4.326,105.824,9.521,1.000,0.807,0.273,0.546,0.962,0.173,44.612,54.370,55.911,0.991,1.883
N#Cc1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,-4.250,2.312,-2.760,87.961,4.404,0.997,0.699,0.002,0.385,0.000,0.256,14.483,23.400,62.686,0.965,2.133
CN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,-4.454,2.583,-2.345,83.832,3.394,0.999,0.219,0.009,0.739,0.001,0.422,13.275,36.020,23.270,0.279,2.674
CCCCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,-4.427,2.970,-3.279,99.499,3.142,1.000,0.529,0.461,0.593,0.000,0.274,41.478,51.288,45.233,0.678,2.300
CC(C)CCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,-4.263,3.191,-3.440,100.236,3.326,0.993,0.572,0.479,0.599,0.000,0.269,52.961,46.388,35.156,0.963,2.158
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,-4.353,3.169,-3.822,98.580,4.255,0.996,0.512,0.221,0.455,0.044,0.219,28.750,50.403,25.596,0.990,2.045
CN(C)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,-4.887,2.417,-2.615,97.879,12.877,1.000,0.925,0.002,0.547,0.925,0.416,34.050,28.790,38.817,0.877,2.409
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)C3CCCCC3,-5.017,2.834,-2.103,93.348,7.220,1.000,0.721,0.006,0.823,0.912,0.595,37.967,30.881,13.421,0.142,2.535
CCCCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,-4.775,3.017,-3.355,105.397,4.279,1.000,0.867,0.340,0.709,0.765,0.405,68.824,57.223,20.485,0.561,2.350
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,-4.583,3.165,-3.380,104.742,4.763,1.000,0.879,0.361,0.710,0.215,0.393,74.195,55.469,16.684,0.937,2.161
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,-4.689,3.209,-3.856,106.265,7.209,1.000,0.725,0.152,0.576,0.990,0.324,48.280,61.323,15.032,0.983,2.033
O=C1CN=C(c2cc(F)ccc2N1)C3CCCCC3,-4.483,2.458,-3.182,88.938,5.935,1.000,0.944,0.002,0.534,0.428,0.167,20.376,24.738,74.853,0.959,2.277
CN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,-4.581,2.859,-2.615,83.842,7.352,1.000,0.879,0.005,0.827,0.395,0.321,23.744,40.214,23.965,0.165,2.474
CCCCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,-4.649,3.046,-3.789,99.775,10.091,1.000,0.929,0.369,0.711,0.171,0.195,67.340,59.775,54.188,0.628,2.330
CC(C)CCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,-4.530,3.295,-3.900,99.956,9.762,0.999,0.949,0.391,0.712,0.015,0.193,70.983,58.081,37.522,0.960,2.122
O=C1CN=C(c2cc(F)ccc2N1CC3CCCCC3)C4CCCCC4,-4.575,3.132,-4.305,99.840,8.727,0.999,0.747,0.161,0.567,0.918,0.158,40.698,57.986,27.040,0.990,1.991
O=C1CN=C(c2cc(Br)ccc2N1)C3CCCCC3,-4.323,2.813,-3.354,98.831,5.524,1.000,0.978,0.004,0.194,0.840,0.141,37.978,18.098,26.775,0.981,2.146
CN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,-4.480,2.996,-2.808,97.372,6.104,1.000,0.949,0.025,0.565,0.792,0.282,47.094,29.514,14.713,0.348,2.372
CCCCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,-4.502,3.068,-3.894,108.022,7.626,1.000,0.971,0.714,0.411,0.469,0.171,74.235,49.569,21.192,0.806,2.204
CC(C)CCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,-4.405,3.211,-4.005,107.990,7.636,1.000,0.982,0.720,0.425,0.059,0.170,75.146,46.175,20.059,0.983,2.025
O=C1CN=C(c2cc(Br)ccc2N1CC3CCCCC3)C4CCCCC4,-4.435,3.171,-4.404,107.496,7.324,1.000,0.868,0.405,0.299,0.976,0.140,51.449,50.908,15.174,0.995,1.886
O=C1CN=C(c2cc(I)ccc2N1)C3CCCCC3,-4.475,2.499,-3.718,99.026,7.702,1.000,0.927,0.002,0.435,0.982,0.170,22.144,21.471,265.459,1.000,2.157
CN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,-4.663,2.853,-3.072,97.901,9.237,1.000,0.804,0.007,0.784,0.985,0.324,26.995,32.962,173.390,1.000,2.324
CCCCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,-4.623,2.954,-4.255,107.300,11.017,1.000,0.904,0.444,0.641,0.917,0.199,56.169,56.948,210.906,1.000,2.210
CC(C)CCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,-4.599,3.209,-4.358,106.479,10.818,1.000,0.918,0.463,0.646,0.416,0.197,58.122,51.900,186.450,1.000,2.033
O=C1CN=C(c2cc(I)ccc2N1CC3CCCCC3)C4CCCCC4,-4.518,3.093,-4.711,106.922,9.413,1.000,0.712,0.199,0.496,0.997,0.161,31.405,55.303,123.388,1.000,1.900
NC(=O)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,-4.503,1.502,-2.733,75.028,8.282,0.783,0.284,0.007,0.181,0.060,0.020,0.993,6.337,37.632,1.000,2.423
CN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,-4.610,1.940,-2.388,73.064,5.841,0.955,0.061,0.007,0.499,0.074,0.055,5.006,20.227,10.798,0.127,2.782
CCCCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,-4.593,2.230,-3.315,89.084,3.422,0.996,0.208,0.234,0.372,0.041,0.039,18.098,36.297,26.327,0.524,2.494
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)C(N)=O)C3CCCCC3,-4.393,2.323,-3.385,90.740,4.939,0.838,0.247,0.253,0.386,0.004,0.042,22.783,33.743,20.052,0.728,2.341
NC(=O)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,-4.474,2.401,-3.792,89.546,5.359,0.925,0.253,0.105,0.276,0.685,0.038,11.063,31.751,14.775,0.980,2.166
O=C1CN=C(c2cc(ccc2N1)[N+](=O)[O-])C3CCCCC3,-4.593,2.225,-3.692,89.384,-1.449,0.979,0.774,0.007,0.239,0.121,0.241,31.816,38.507,19.752,1.000,2.453
CN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,-4.741,2.663,-3.394,87.398,-1.123,0.995,0.396,0.032,0.584,0.262,0.451,22.988,45.475,10.641,0.887,2.686
CCCCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,-4.645,3.029,-4.244,98.154,3.598,0.999,0.764,0.680,0.444,0.131,0.289,48.074,53.633,13.909,0.976,2.314
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,-4.523,3.179,-4.267,99.714,3.121,0.982,0.786,0.687,0.456,0.014,0.283,60.395,41.495,13.534,0.998,2.229
O=C1CN=C(c2cc(ccc2N1CC3CCCCC3)[N+](=O)[O-])C4CCCCC4,-4.592,3.123,-4.714,97.430,5.339,0.988,0.598,0.398,0.333,0.867,0.232,44.607,41.476,10.129,0.999,2.087
O=C1CN=C(c2ccccc2)c3ccccc3N1,-4.462,2.039,-3.486,87.232,0.962,0.935,0.650,0.012,0.496,0.011,0.021,-1.751,18.078,37.560,0.312,1.950
CN1C(=O)CN=C(c2ccccc2)c3ccccc13,-4.385,2.480,-2.983,84.442,0.946,0.965,0.441,0.021,0.792,0.004,0.059,16.060,8.488,21.789,0.002,2.634
CCCCN1C(=O)CN=C(c2ccccc2)c3ccccc13,-4.605,3.064,-4.122,94.819,5.513,1.000,0.728,0.757,0.693,0.003,0.038,49.057,48.824,27.571,0.065,2.363
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3ccccc13,-4.513,2.996,-4.257,96.412,4.671,0.969,0.756,0.735,0.696,0.000,0.041,58.681,47.325,21.172,0.559,2.123
O=C1CN=C(c2ccccc2)c3ccccc3N1CC4CCCCC4,-4.505,3.166,-4.758,96.007,10.078,0.979,0.559,0.306,0.541,0.197,0.037,36.251,59.582,16.907,0.870,1.916
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1,-4.651,2.510,-4.059,91.023,0.125,0.973,0.824,0.070,0.539,0.095,0.028,-2.815,15.651,115.903,0.545,2.144
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-4.559,2.704,-3.491,90.024,1.050,0.994,0.812,0.065,0.801,0.043,0.077,14.259,5.307,45.093,0.011,2.568
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-4.797,2.997,-4.569,95.156,4.461,1.000,0.881,0.860,0.716,0.013,0.050,43.418,41.511,86.002,0.193,2.331
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-4.778,3.075,-4.624,94.798,3.087,0.996,0.918,0.865,0.719,0.001,0.053,44.279,35.154,56.892,0.786,2.135
O=C1CN=C(c2ccccc2)c3cc(Cl)ccc3N1CC4CCCCC4,-4.737,3.080,-5.042,98.043,7.455,0.994,0.633,0.584,0.572,0.422,0.047,23.506,52.302,36.605,0.944,2.016
N#Cc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,-4.314,1.818,-3.384,89.155,-0.233,0.376,0.171,0.076,0.415,0.000,0.039,1.476,14.508,44.195,0.599,2.175
CN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,-4.383,2.232,-3.131,84.678,-0.268,0.569,0.068,0.111,0.744,0.000,0.095,4.735,16.246,28.774,0.021,2.776
CCCCN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13,-4.566,2.922,-3.979,95.908,5.052,0.989,0.206,0.884,0.620,0.000,0.063,19.682,36.274,35.447,0.248,2.272
