Concept Id,Sample Name,link column 1,link column 2,link column 3,Value1,Value2
CAST-634824,NVS-09BNGU-NX-1,2.5,value2,v ii,24,9.116333
CAST-634824,NVS-09BNGU-nx-2,2.5,value3,v ii,24,15.0546045
CAST-634873,NVS-0FIMYQ-NX-1,1,value1,v ii,48,10.340332
CAST-634861,NVS-0HRT1E-NX-1,1,value4,v ii,48,12.9070492
CAST-634861,NVS-0HRT1E-nx-2,1,value4,v ii,4,13.255208
CAST-634835,NVS-1C49O3-NX-1,1,value3,v i,8,14.4007196
CAST-634835,NVS-1C49O3-nx-2,1,value1,v i,4,10.9655972
CAST-634790,NVS-1SKHJI-BD-1,30,value3,v ii,4,10.3426733
CAST-634785,NVS-23Y86T-NX-1,1,value3,v i,4,8.4294825
CAST-634785,NVS-23Y86T-nx-2,2.5,value4,v ii,4,2.0892713
CAST-634785,NVS-23Y86T-nx-3,1,value1,v i,4,0.0848185
CAST-634812,NVS-2CM82T-BD-1,2.5,value5,v ii,8,0.7997879
CAST-634802,NVS-30Y5TQ-BD-1,30,value4,v ii,8,0.8442182
CAST-634803,NVS-3766LQ-NX-1,1,value4,v i,4,1.2499628
CAST-634803,NVS-3766LQ-nx-2,1,value1,v i,4,1.8582711
CAST-634851,NVS-3MRWNJ-NX-1,1,value3,v i,24,0.4248279
CAST-634851,NVS-3MRWNJ-nx-2,1,value4,v i,24,2.0440938
CAST-634783,NVS-3WPGDQ-NX-1,1,value1,v i,24,1.7160566
CAST-634783,NVS-3WPGDQ-nx-2,1,value3,v i,48,1.4200407
CAST-634783,NVS-3WPGDQ-nx-3,30,value5,v ii,48,0.9506499
CAST-634852,NVS-3ZE4LO-NX-1,30,value4,v ii,4,1.4476922
CAST-634852,NVS-3ZE4LO-nx-2,30,value5,v ii,8,10.5646257
CAST-634887,NVS-403R17-NX-1,2.5,value5,v ii,4,7.800828
CAST-634797,NVS-47JWHJ-NX-1,1,value1,v i,4,7.6380696
CAST-634797,NVS-47JWHJ-nx-2,2.5,value4,v ii,4,14.8587341
CAST-634797,NVS-47JWHJ-nx-3,1,value1,v ii,4,13.244771
CAST-634786,NVS-4AXEKT-BD-1,30,value4,v ii,4,0.0563534
CAST-634872,NVS-5LQAKE-NX-1,30,value3,v ii,8,8.8402662
CAST-634895,NVS-6F2SVM-NX-1,2.5,value5,v ii,8,1.3123533
CAST-634898,NVS-6TZG5O-NX-1,5,value1,v ii,4,1.7355118
CAST-634862,NVS-6XZPNZ-NX-1,2.5,value5,v ii,4,1.7117143
CAST-634862,NVS-6XZPNZ-nx-2,30,value5,v ii,24,1.5228605
CAST-634794,NVS-6ZUJQW-NX-1,30,value4,v ii,168,7.2031794
CAST-634794,NVS-6ZUJQW-nx-2,1,value1,v i,24,7.2028151
CAST-634794,NVS-6ZUJQW-nx-3,2.5,value4,v ii,24,8.0006247
CAST-634888,NVS-7EAY6D-NX-1,1,value1,v i,48,10.4117498
CAST-634805,NVS-7G9BZN-NX-1,1,value1,v ii,48,14.4738092
CAST-634805,NVS-7G9BZN-nx-2,1,value1,v i,4,0.3152069
CAST-634850,NVS-7HNB5G-NX-1,2.5,value2,v ii,8,0.0234711
CAST-634850,NVS-7HNB5G-nx-2,2.5,value4,v ii,4,0.6332631
CAST-634896,NVS-7MWM3R-NX-1,1,value1,v i,4,11.7156372
CAST-634792,NVS-7SK5VP-NX-1,2.5,value2,v ii,4,7.8254237
CAST-634792,NVS-7SK5VP-nx-2,1,value1,v ii,4,11.6278276
CAST-634792,NVS-7SK5VP-nx-3,30,value2,v ii,4,2.3170118
CAST-634825,NVS-7UMPPR-NX-1,1,value3,v i,8,10.3852997
CAST-634825,NVS-7UMPPR-nx-2,1,value1,v i,8,8.7871227
CAST-634882,NVS-7XJEW2-NX-1,1,value1,v i,4,10.6630888
CAST-634876,NVS-80Q4TP-NX-1,1,value3,v i,4,11.6040401
CAST-634885,NVS-8541KC-NX-1,30,value4,v ii,24,11.0262318
CAST-634847,NVS-8XC792-NX-1,1,value1,v i,24,12.7211437
CAST-634847,NVS-8XC792-nx-2,1,value1,v ii,24,10.7082958
