model,wheel.base,length,width,height,eng.size,horsepower,symbol,city.mpg,highway.mpg
alfaromeo,94.5,171.2,65.5,52.4,152,154,1,19,26
audi,105.8,192.7,71.4,55.7,136,110,1,19,25
bmw,101.2,176.8,64.8,54.3,108,101,2,23,29
chevrolet,94.5,158.8,63.6,52.0,90,70,0,38,43
dodge1,93.7,157.3,63.8,50.8,98,102,1,24,30
dodge2,93.7,157.3,63.8,50.6,90,68,1,31,38
honda1,93.7,150.0,64.0,52.6,92,76,1,30,34
honda2,96.5,175.4,65.2,54.1,110,86,0,27,33
isuzu,94.3,170.7,61.8,53.5,111,78,0,24,29
jaguar,113.0,199.6,69.6,52.8,258,176,0,15,19
