biln,Activity
"A-C(1,3)-G-G-H-A-V-E-A-K-Y-L-V-C(3,3)-S.G-I-V-E-A-C(2,3)-C(1,3)-T-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-Y",2.4040000438690186
"A-C(1,3)-G-G-H-A-V-E-A-K-Y-L-V-C(3,3)-S.G-I-V-E-A-C(2,3)-C(1,3)-K-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-Y",9.5369997024536132
"A-C(1,3)-G-G-H-A-V-E-A-T-Y-L-V-C(3,3)-G.G-I-V-E-A-C(2,3)-C(1,3)-K-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-Y",9.8669996261596680
"A-C(1,3)-G-G-H-L-V-E-A-K-Y-L-V-C(3,3)-G.G-I-V-E-A-C(2,3)-C(1,3)-T-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-N",9.6669998168945312
"A-C(1,3)-G-G-H-L-V-E-A-K-Y-L-V-C(3,3)-G.G-I-V-E-A-C(2,3)-C(1,3)-K-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-Y",4.4109997749328614
"A-C(1,3)-G-G-H-L-V-E-A-K-Y-L-V-C(3,3)-S.G-I-V-E-A-C(2,3)-C(1,3)-K-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-N",0.2269999980926514
"A-C(1,3)-G-G-H-A-V-E-A-T-Y-L-V-C(3,3)-G.Y-I-V-E-A-C(2,3)-C(1,3)-T-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-N",0.5669999718666076
"A-C(1,3)-G-G-H-A-V-E-A-T-Y-L-V-C(3,3)-G.Y-I-V-E-A-C(2,3)-C(1,3)-K-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-Y",5.7569999694824220
"A-C(1,3)-G-G-H-L-V-E-A-K-Y-L-V-C(3,3)-S.Y-I-V-E-A-C(2,3)-C(1,3)-K-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-Y",6.1339998245239258
"A-C(1,3)-G-G-H-L-V-E-A-T-Y-L-V-C(3,3)-G.Y-I-V-E-A-C(2,3)-C(1,3)-T-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-N",5.3070001602172852
"A-C(1,3)-G-G-H-L-V-E-A-T-Y-L-V-C(3,3)-G.Y-I-V-E-A-C(2,3)-C(1,3)-K-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-N",9.7550001144409180
"A-C(1,3)-G-G-H-L-V-E-A-T-Y-L-V-C(3,3)-S.Y-I-V-E-A-C(2,3)-C(1,3)-T-S-I-C(2,3)-S-L-Y-Q-L-E-N-Y-C(3,3)-N",3.2490000724792480
