src_id,name,description,current_release_u,created,last_updated,userstamp,number_or_date,name_long,src_details,src_url,base_id_url,base_id_url_available,aux_required,aux_for_url,aux_description,private,name_label,src_class,keys_only,update_min,update_opt,update_max,update_j,update_comments,synonyms
1,chembl,A database of bioactive drug-like small molecules and bioactivities abstracted from the scientific literature.,17,31-DEC-2010 09:00:01,01-JUN-2018 00:00:00,autoloader,number,ChEMBL,Standard InChIs and Keys provided on ftp site for each release.,https://www.ebi.ac.uk/chembl/,https://www.ebi.ac.uk/chembldb/compound/inspect/,1,0,0,none,0,ChEMBL,2,0,280,290,330,0,approx 6 monthly updates,0
3,pdb,"The European resource for the collection, organisation and dissemination of data on biological macromolecular structures, including structures of small molecule ligands for proteins.",229,28-SEP-2011 09:00:01,31-DEC-2018 00:00:00,autoloader,date,PDBe (Protein Data Bank Europe),Standard InChIs and Keys provided by direct querying of Oracle DB.,http://www.ebi.ac.uk/pdbe/,http://www.ebi.ac.uk/pdbe-srv/pdbechem/chemicalCompound/show/,1,0,0,none,0,PDBe,2,0,6,7,14,0,weekly updates,0
2,drugbank,"A database that combines drug (i.e. chemical, pharmacological and pharmaceutical) data with drug target (i.e. sequence, structure, and pathway) information.",32,28-MAY-2011 09:00:01,06-JUL-2018 00:00:00,autoloader,date,DrugBank,Standard InChIs and Keys provided within sd file on ftp site for each release.,http://drugbank.ca/,http://www.drugbank.ca/drugs/,1,0,0,none,0,DrugBank,2,0,90,95,130,0,Quarterly updates,
5,pubchem_dotf,A subset of the PubChem DB: from the original depositor 'drugs of the future' (Prous).,2,25-OCT-2011 07:00:00,29-JUL-2013 00:00:00,autoloader,date,PubChem ('Drugs of the Future' subset),"Mol files for SIDs downloaded manually, via PubChem interface, and Standard InChIs and Keys generated by InChI software. SIDs used as identifiers.",http://pubchem.ncbi.nlm.nih.gov/sources/sources.cgi,http://pubchem.ncbi.nlm.nih.gov/substance/,1,0,0,none,0,PubChem: Drugs of the Future ,2,0,100000,100000,100000,0,Considered a static deposition into pubchem,
4,gtopdb,"The IUPHAR (International Union of Basic and Clinical Pharmacology)/BPS (British Pharmacological Society) Guide to PHARMACOLOGY database contains structures of small molecule ligands, peptides and antibodies, with their affinities at protein targets.",17,21-OCT-2011 09:00:01,21-NOV-2018 00:00:00,autoloader,date,Guide to Pharmacology,Standard InChIs and Keys available for download at http://www.guidetopharmacology.org/download.jsp,http://www.guidetopharmacology.org,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=,1,0,0,none,0,Guide to Pharmacology,2,0,90,95,130,0,Quarterly updates,
11,ibm,"The data are provided by IBM-NIH and include all chemistry extracted by means of text and image mining from the patent corpus (USPTO, WIPO and EPO) for patent documents published through 31-12-2010. Identifiers in UniChem are IBM compound identifiers.",2,16-APR-2012 09:00:01,11-FEB-2015 00:00:00,autoloader,date,IBM strategic IP insight platform and the National Institutes of Health,InChIs and InChI keys were generated from SMILES in house.,http://www-935.ibm.com/services/us/gbs/bao/siip/nih/,http://www-935.ibm.com/services/us/gbs/bao/siip/nih/?sid=,1,0,0,none,0,IBM Patent System,2,0,100000,100000,100000,0,static set,
6,kegg_ligand,"KEGG LIGAND is a composite DB consisting of COMPOUND, GLYCAN, REACTION, RPAIR, RCLASS, and ENZYME DBs, whose entries are identified by C, G, R, RP, RC, and EC numbers, respectively.",1,25-JUN-2011 09:00:01,27-JUN-2011 00:00:00,autoloader,date,KEGG (Kyoto Encyclopedia of Genes and Genomes) Ligand,Mol files were downloaded manually prior to this download becoming private. Standard InChIs and Keys generated by InChI software.,http://www.genome.jp/kegg/ligand.html,http://www.genome.jp/dbget-bin/www_bget?,1,0,0,none,0,KEGG Ligand,2,0,100000,100000,100000,0,downloads now no longer available,
9,zinc,"A free database of commercially-available compounds for virtual screening, provided by the Shoichet Laboratory in the Department of Pharmaceutical Chemistry at the University of California, San Francisco (UCSF).  [Irwin and Shoichet, J. Chem. Inf. Model. 2005;45(1):177-82]",6,11-MAR-2012 09:00:01,21-AUG-2017 00:00:00,autoloader,date,ZINC,"novirtual subset of ZINC15, as a file containing inchis and keys from http://files.docking.org/export/unichem/",http://zinc15.docking.org,http://zinc15.docking.org/substances/,1,0,0,none,0,ZINC,3,0,1290,1295,1305,1,monthly updates,
8,nih_ncc,Collections of plated arrays of small molecules that have a history of use in human clinical trials. Assembled by the National Institutes of Health (NIH) through the Molecular Libraries Roadmap Initiative,1,26-NOV-2011 09:00:01,02-DEC-2011 00:00:00,autoloader,date,NIH Clinical Collection,Mol files downloaded manually and Standard InChIs and Keys generated by InChI software,http://nihsmr.evotec.com/evotec/,,0,0,0,none,0,NIH Clinical Collection,2,0,100000,100000,100000,0,"static set, not updated",
10,emolecules,"A free chemical structure search engine containing millions of public domain structures. Pricing, availabilities, and vendor information requires an eMolecules Plus subscription.",1,13-MAR-2012 09:00:01,15-MAR-2012 00:00:00,autoloader,date,eMolecules,"Downloaded as an SD file from source, Converted to InChI and INChIKeys by UniChem",https://www.emolecules.com/,https://www.emolecules.com/cgi-bin/more?vid=,1,0,0,none,0,eMolecules,3,0,100000,100000,100000,0,downloads now no longer available,
