chembl_tid,smiles,Activity
CHEMBL2343,CC1=N[NH]C2=NC(C3=CC=C(NS(=O)(=O)C4=CC(Cl)=CC=C4Cl)C=C3)=NC=C12,6.08092
CHEMBL5476,COC1=CC=C(C2=CN3N=CC(C4=CC=NC5=CC=CC=C45)=C3N=C2)C=C1,7.24489
CHEMBL5443,O=C1[NH]C(CN2CC[C@H](O)C2)=NC2=C1OC1=CC(O)=C(Br)C=C12,6.00000
CHEMBL4630,N#CC1=CN=C(NC2=CC(NCC3CCOCC3)=NC=N2)C=N1,4.69897
CHEMBL4630,NC1=CC=C(C2=CC3=C(C4=C2C(=O)NC4=O)C2=CC(O)=CC=C2[NH]3)C=C1,7.67778
CHEMBL4630,O=C1NC(=O)C2=C1C(C1=CC=C(O)C=C1)=CC1=C2C2=CC(O)=CC=C2[NH]1,7.67778
CHEMBL4630,CN(C)CCOC1=CC2=C(C=C1Cl)NC(=O)NC1=NC(=C(C#N)N=C1)OCCCCCO2,9.00000
CHEMBL4630,O=C1[NH]C=CC2=CC(CCO)=C3C=CC(Br)=CC3=C12,6.10791
CHEMBL4630,COC(=O)CC1=CC=C2OC3=CC(C4=CC=C(N)C(OC)=C4)=CC=C3C(=O)NC2=C1,6.04096
CHEMBL4630,O=C1NC(=O)C2=C1C1=C([NH]C3=NC=CC=C31)C1=CC=CN21,5.44370
CHEMBL1991,N#CC1=C(C2CCCNC2)C=C(C2=C(O)C=CC=C2O)N=C1N,7.82189
CHEMBL1991,N#CC1=C(C2CCCNC2)C=C(C2=C(O)C=CC=C2O)N=C1N,7.82189
CHEMBL1991,NC(=O)NC1=C(C(N)=O)C=C(C#CC2=CC=CC(NC(=O)C3=CC=CN=C3)=C2)S1,6.25414
CHEMBL1991,NC(=O)NC1=C(C(N)=O)C=C(C#CC2=CC=CC(NC(=O)C3=CC=CC=N3)=C2)S1,4.00000
CHEMBL1991,CC1=CN=C2C(NCCN)=NC3=C(SC(C4=NC=C[NH]4)=C3)N12,6.35000
CHEMBL4722,COC1=CC2=C(NC3=CN=C(NC(=O)C4=CC=NC=C4)N=C3)N=CN=C2C=C1OCCCN1CCOCC1,6.16115
CHEMBL4722,C1=CC2=C(N=CC3=NN=C(C4CCCCC4)N32)[NH]1,4.81531
CHEMBL4722,O=C(NC1=CC=C(NC2=CC=NC3=C2C2=CC=CC=C2C(=O)[NH]3)N=C1)C1=CC=CC=C1,6.21112
CHEMBL4722,CCOC(=O)C1=C2NC3=C(C(=O)CCC3)C(C3=CC=C(SC4=NC5=CC=CC=C5[NH]4)O3)C2=N[NH]1,6.15120
CHEMBL4722,CCOC(=O)C1=C2NC3=C(C(=O)CNC3)C(C3=CC=C(SC4=NC5=CC=CC=C5[NH]4)O3)C2=C[NH]1,8.52288
CHEMBL4722,CCOC(=O)C1=C2NC3=C(C(=O)CCC3)C(C3=CC=C(SC4=NC5=CC=CC=C5[NH]4)S3)C2=C[NH]1,5.63827
CHEMBL4722,CCOC(=O)C1=C2NC3=C(C(=O)CCC3)C(C3=CC=NC(SC4=NC5=CC=CC=C5[NH]4)=C3)C2=C[NH]1,5.28400
CHEMBL4722,NC(=O)C1=CC=CC2=C(NCC3=CC=CS3)N=CN=C12,5.58503
CHEMBL4722,NC(=O)C1=CC=CC2=C(NCC3=CC=CC(NC(=O)N4CCOCC4)=C3)N=CN=C12,5.45593
CHEMBL4722,NC(=O)C1=CC=CC2=C(NCC3=CC=CC(NC(=O)C4=CC=C(SC(F)(F)F)C=C4)=C3)N=CN=C12,9.40894
CHEMBL4722,NC(=O)C1=CC=CC2=C(NCC3=CC=CC(NC(=O)C4=CC=NC(Cl)=C4)=C3)N=CN=C12,7.53760
CHEMBL4722,NC(=O)C1=CC(OCCCN2CCOCC2)=CC2=C(NCC3=CC=C(C(F)(F)F)C=C3)N=CN=C12,7.05552
CHEMBL4722,NC(=O)C1=CC=CC2=C(NCC3=CC=CC(C(F)(F)F)=C3)N=CN=C12,6.23657
CHEMBL4722,NC(=O)C1=CC=CC2=C(NCC3=CC=C4OCOC4=C3)N=CN=C12,9.43180
CHEMBL4722,NC(=O)C1=CC=CC2=C(NCC3=CC=C4OCOC4=C3)N=CN=C12,9.43180
CHEMBL2534,CN1CCC(NC2=CN=C3C=CC(C#CCNC(=O)C4=CN=CN(CC5=CC=C(F)C(F)=C5)C4=O)=CC3=N2)CC1,8.39794
CHEMBL2534,O=C(NCC#CC1=CC=C2N=CC(NC3CCNCC3)=NC2=C1)C1=CN=CN(CC2=CC=C(F)C(F)=C2)C1=O,8.52288
CHEMBL2534,O=C(NCC#CC1=CC=C2N=CC(NC3CCNCC3)=NC2=C1)C1=CN=CN(CC2=CC=C(F)C(F)=C2)C1=O,8.52288
CHEMBL2534,CN1CCC(NC2=CN=C3C=CC(C#CCNC(=O)C4=CC=CN(CC5=CC=C(F)C(F)=C5)C4=O)=CC3=N2)CC1,8.30103
CHEMBL2534,CN1CCC(NC2=CN=C3C=CC(C#CCNC(=O)C4=CN=CN(CC5=CC=C(F)C(F)=C5)C4=O)=CC3=C2)CC1,9.00000
CHEMBL2534,CCOC(=O)/C(=C1/C(=O)NC2=CC=C(S(N)(=O)=O)C=C12)C1=CC=C[NH]1,7.46852
CHEMBL2971,CC(=O)NC1=CC=C(C2=CC=NC(NC3=CC=C(N4CCOCC4)C=C3)=N2)C=C1,6.05538
CHEMBL2971,COC1=CC=C(Cl)C=C1C1=C(C(N)=O)C=C(C2=CC=NC(N)=N2)[NH]1,6.51145
CHEMBL2971,CN1CCN(C2=CC=CC(NC3=NN4C(C5=CC=C(S(C)(=O)=O)C=C5)=CN=CC4=N3)=C2)CC1,6.51272
CHEMBL2971,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)C3=NC=NC4=C3C=C[NH]4)CC2)CC1,9.96257
CHEMBL2971,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)C3=NC=NC4=C3C=C[NH]4)CC2)CC1,9.96257
CHEMBL2973,COC1=CC=CC(CNC(=O)C2=CC3=CN=C(C4=C(C)[NH]N=C4)C=C3[NH]2)=C1,6.27572
CHEMBL2973,CN1CCC2=CC=C(NC(=O)C3=CC=CC(CNC(=O)C4=CC(C5=CC=NC=C5)=N[NH]4)=C3)C=C2C1,9.27182
CHEMBL2973,N#CC1=CC=C(NC(=O)NCC2=CC=CC(C(=O)NCCC3CCNCC3)=C2)C=C1,4.18709
CHEMBL6006,O=C(NC1=CC=C2[NH]N=C(NC3=CC=CC4=CC=CC=C34)C2=C1)C1CCCC(O)C1,5.65365
CHEMBL4237,CCN1C(C2=NON=C2N)=NC2=CN=CC=C21,8.52288
