smiles,NOCount,NumRadicalElectrons,MinPartialCharge,MaxAbsPartialCharge,NHOHCount,ExactMolWt,NumSaturatedCarbocycles,NumAliphaticHeterocycles,FpDensityMorgan1,NumAromaticHeterocycles,NumValenceElectrons,NumRotatableBonds,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHDonors,FpDensityMorgan3,NumAromaticRings,HeavyAtomMolWt,NumSaturatedRings,MolWt,NumHAcceptors,NumHeteroatoms,NumSaturatedHeterocycles,NumAliphaticRings,MaxPartialCharge,RingCount,FpDensityMorgan2,FractionCSP3,HeavyAtomCount
FC(F)Oc1cccc(c1)C(=O)NCCN2C(=O)S\C(=C/c3cccnc3)\C2=O,7,0,-0.4348182678222656,0.4348182678222656,1,419.07513427734375,0,1,1.2758620977401733,1,150,7,1,0,1,2.8275861740112305,2,404.28900146484375,1,419.40899658203125,6,10,1,1,0.38703233003616333,3,2.1034483909606934,0.15789473056793213,29
NC(=O)C1CCN(CC1)c2ncc(cc2Cl)C(F)(F)F,4,0,-0.3694363832473755,0.4174441695213318,2,307.0699157714844,0,1,1.399999976158142,1,110,2,0,0,1,2.450000047683716,1,294.5989990234375,1,307.7030029296875,3,8,1,1,0.4174441695213318,2,2,0.5,20
Cc1ccc(cc1[N+](=O)[O-])C(=O)COC(=O)CCC(=O)NC2CCCCC2,8,0,-0.4572550356388092,0.4572550356388092,1,376.1634216308594,1,0,1.185185194015503,0,146,8,1,1,1,2.555555582046509,1,352.2170104980469,1,376.40899658203125,6,8,0,1,0.306255966424942,2,1.8888888359069824,0.5263158082962036,27
CC(C)(O)P(=O)(C)c1ccccc1,2,0,-0.3824104070663452,0.3824104070663452,1,198.08096313476562,0,0,1.2307692766189575,0,72,2,1,0,1,2.076923131942749,1,183.08200073242188,0,198.20199584960938,2,3,0,0,0.1415623277425766,1,1.692307710647583,0.4000000059604645,13
Cc1cc(C)nc(Nc2n[nH]c(COc3cccc4ccccc34)n2)n1,7,0,-0.4849819540977478,0.4849819540977478,2,346.1542053222656,0,0,0.9230769276618958,2,130,5,2,0,2,2.538461446762085,4,328.25,0,346.3940124511719,6,7,0,0,0.24854090809822083,4,1.692307710647583,0.15789473056793213,26
CCCn1c(SCC(=O)N2CCOCC2)nnc1c3ccncc3,7,0,-0.3777742087841034,0.3777742087841034,0,347.1416015625,0,1,1.25,2,128,6,0,0,0,2.7083332538604736,2,326.2760009765625,1,347.4440002441406,7,8,1,1,0.23270797729492188,3,2,0.5,24
Clc1ccc(NC(=O)Nc2ccc(N3CCCC3)c(c2)S(=O)(=O)Nc4ccccc4Cl)cc1Cl,7,0,-0.37042200565338135,0.37042200565338135,3,538.0399780273438,0,1,0.7941176295280457,0,178,6,3,0,3,2.117647171020508,3,518.7039794921875,1,539.8720092773438,4,11,1,1,0.3231799006462097,4,1.441176414489746,0.17391304671764374,34
COc1ccc(CCNC(=O)c2oc(cc2)c3ccc(cc3)[N+](=O)[O-])cc1OC,8,0,-0.4928699731826782,0.4928699731826782,1,396.13214111328125,0,0,1.034482717514038,1,150,8,2,0,1,2.4137930870056152,3,376.239013671875,0,396.39898681640625,6,8,0,0,0.2865242063999176,3,1.7586207389831543,0.190476194024086,29
CCc1cccc(NC(=O)Nc2ccc3OCOc3c2)c1,5,0,-0.45359304547309875,0.45359304547309875,2,284.1160888671875,0,1,1.047619104385376,0,108,3,2,0,2,2.6190476417541504,2,268.18701171875,0,284.31500244140625,3,5,0,1,0.3231807351112366,3,1.8095238208770752,0.1875,21
CC(C)NC(=O)c1onc(C)c1,4,0,-0.3507854640483856,0.3507854640483856,1,168.08987426757812,0,0,1.6666666269302368,1,66,2,0,0,1,2.75,1,156.10000610351562,0,168.1959991455078,3,4,0,0,0.2895975708961487,1,2.3333332538604736,0.5,12
CCOC(=O)c1cccc(c1)n2c(C)cc(C=O)c2C,4,0,-0.46239039301872253,0.46239039301872253,0,271.120849609375,0,0,1.2999999523162842,1,104,4,1,0,0,2.6500000953674316,2,254.17999267578125,0,271.3160095214844,4,4,0,0,0.3376859426498413,2,2.049999952316284,0.25,20
O=C(CCCN1C(=O)Oc2ccccc12)N3CCN(CC3)c4ccccn4,7,0,-0.4077049493789673,0.4194486439228058,0,366.169189453125,0,1,1.0370370149612427,2,140,5,1,0,0,2.592592477798462,3,344.2449951171875,1,366.4209899902344,6,7,1,1,0.4194486439228058,4,1.814814805984497,0.3499999940395355,27
COc1ccc(Br)cc1CN2CCN(CC2)C(=O)c3cccc(F)c3.OC(=O)C(=O)O,8,0,-0.4964245557785034,0.4964245557785034,2,496.06451416015625,0,1,1.0322580337524414,0,166,4,2,0,2,2.225806474685669,2,475.1409912109375,1,497.3169860839844,5,10,1,1,0.4143587350845337,3,1.6774193048477173,0.2857142984867096,31
CC1(C)Cc2cccc(OCC(=O)N3CCN(CC3)c4ccc(cc4)[N+](=O)[O-])c2O1,8,0,-0.48333021998405457,0.48333021998405457,0,411.1794128417969,0,2,1.1333333253860474,0,158,5,2,0,0,2.5,2,386.25799560546875,1,411.4580078125,6,8,1,2,0.26907527446746826,4,1.8333333730697632,0.40909090638160706,30
CCc1nnc(NC(=O)CCc2onc(n2)C3=CCN(C)CC3)s1,8,0,-0.3389924168586731,0.3389924168586731,1,348.1368408203125,0,1,1.4583333730697632,2,128,6,0,0,1,3.0416667461395264,2,328.2720031738281,0,348.4320068359375,8,9,0,1,0.22696873545646667,3,2.3333332538604736,0.5333333611488342,24
Cc1ccccc1NC(=O)c2cccc(c2)N3C(=O)C4C5CC(C(Br)C5Br)C4C3=O,5,0,-0.3217500150203705,0.3217500150203705,1,529.9840698242188,2,1,0.9666666388511658,0,154,3,2,2,1,2.2333333492279053,2,512.072021484375,3,532.2319946289062,3,7,1,3,0.255243718624115,5,1.600000023841858,0.3478260934352875,30
Cc1cc(C)c2NC(C3CC=CC3c2c1)c4ccc(cc4)S(=O)(=O)N5CCOCC5,5,0,-0.37871065735816956,0.37871065735816956,1,424.18206787109375,0,2,1.0666667222976685,0,158,3,2,1,1,2.5333333015441895,2,396.3420104980469,1,424.5660095214844,4,6,1,3,0.24272561073303223,5,1.7999999523162842,0.4166666567325592,30
Cl.CN1CCN(CC1)C(=O)\C(=C\c2ccc(F)cc2)\C#N,4,0,-0.33545973896980286,0.33545973896980286,0,309.10443115234375,0,1,1.2380952835083008,0,112,2,1,0,0,2.3333332538604736,1,292.635986328125,1,309.7720031738281,3,6,1,1,0.2641136348247528,2,1.8095238208770752,0.3333333432674408,21
C1Cc2ccccc2CN1c3[nH]cnc4c5ccccc5nc34,4,0,-0.35161519050598145,0.35161519050598145,1,300.1374816894531,0,3,0.9130434989929199,0,112,1,2,0,1,2.6956522464752197,2,284.23699951171875,0,300.364990234375,3,4,0,3,0.13554057478904724,5,1.7391303777694702,0.15789473056793213,23
Cc1nc(O)nc(O)c1S(=O)(=O)N2CCCC(C2)C(=O)N3CCN(CC3)c4cccc(c4)C(F)(F)F,10,0,-0.49214762449264526,0.49214762449264526,2,529.16064453125,0,2,1.0833333730697632,1,196,4,1,0,2,2.4166667461395264,2,503.3330078125,2,529.541015625,8,14,2,2,0.4159854054450989,4,1.7777777910232544,0.5,36
COC(=O)C1=C(O)\C(=C\c2ccc(OCC(=O)Nc3ccccc3)cc2)\N=C1C,7,0,-0.5047613978385925,0.5047613978385925,2,392.13720703125,0,1,1.1034482717514038,0,148,6,2,0,2,2.4482758045196533,2,372.2510070800781,0,392.4110107421875,6,7,0,1,0.34309589862823486,3,1.7931034564971924,0.13636364042758942,29
CCCC1=Nc2ccc(NC(=O)C)cc2C(=O)N1Cc3cccc(Cl)c3,5,0,-0.32631105184555054,0.32631105184555054,1,369.1243896484375,0,0,1.2307692766189575,1,134,5,2,0,1,2.730769157409668,3,349.6919860839844,0,369.85198974609375,4,6,0,0,0.26127249002456665,3,2.038461446762085,0.25,26
CCC1=C(O)N(C2CCCCC2)C(=NC1=O)SCC(=O)Nc3ccc(C)cc3,6,0,-0.49404728412628174,0.49404728412628174,2,401.17730712890625,1,0,1.25,1,150,6,1,1,2,2.5714285373687744,2,374.3160095214844,1,401.5320129394531,6,7,0,1,0.2801937162876129,3,1.9285714626312256,0.4761904776096344,28
COc1cccc(CNC(=O)c2oc(CS(=O)(=O)Cc3ccccc3C)cc2)c1,6,0,-0.49675676226615906,0.49675676226615906,1,413.12969970703125,0,0,1.034482717514038,1,152,8,2,0,1,2.5862069129943848,3,390.3110046386719,0,413.4949951171875,5,7,0,0,0.286760538816452,3,1.8275861740112305,0.22727273404598236,29
Cc1ccc(cc1C)C(=O)COC(=O)CNC(=O)c2occc2,6,0,-0.45920515060424805,0.45920515060424805,1,315.1106872558594,0,0,1.1304347515106201,1,120,6,1,0,1,2.5652174949645996,2,298.1889953613281,0,315.32501220703125,5,6,0,0,0.3253716826438904,2,1.91304349899292,0.23529411852359772,23
CC(Sc1nnc(COc2ccc(Cl)cc2)n1Cc3ccccc3)C(=O)O,6,0,-0.48560893535614014,0.48560893535614014,1,403.07574462890625,0,0,1.185185194015503,1,140,8,2,0,1,2.555555582046509,3,385.74700927734375,0,403.8909912109375,6,8,0,0,0.3163135051727295,3,1.8888888359069824,0.21052631735801697,27
Cc1cccc(CCNC(=O)C2CCN(CC2)S(=O)(=O)c3c(C)onc3C)c1,7,0,-0.3599754571914673,0.3599754571914673,1,405.1722412109375,0,1,1.25,1,152,6,1,0,1,2.5714285373687744,2,378.3039855957031,1,405.5199890136719,5,8,1,1,0.2479722946882248,3,1.9642857313156128,0.5,28
CC(C)CN=C(S)NC1CC2CCCC(C1)N2Cc3occc3,4,0,-0.467993825674057,0.467993825674057,1,335.203125,0,2,1.39130437374115,1,128,5,0,0,2,2.7391304969787598,1,306.2850036621094,2,335.5169982910156,3,5,2,2,0.15313038229942322,3,2.13043475151062,0.7222222089767456,23
CNc1nc(Nc2ccc(Br)cc2)nc(N)c1[N+](=O)[O-],8,0,-0.37773096561431885,0.37773096561431885,4,338.0126953125,0,0,1.2999999523162842,1,104,4,1,0,3,2.5,2,328.06500244140625,0,339.15301513671875,7,9,0,0,0.35261082649230957,2,1.9500000476837158,0.09090909361839294,20
COc1cccc(c1)c2nnc3sc(nn23)c4ccccc4,5,0,-0.49674344062805176,0.49674344062805176,0,308.07318115234375,0,0,0.9545454382896423,2,108,3,2,0,0,2.590909004211426,4,296.2699890136719,0,308.3659973144531,6,6,0,0,0.23479130864143372,4,1.7727272510528564,0.0625,22
Sc1nccn1c2cc(OCc3ccccc3)c(Cl)cc2Cl,3,0,-0.487265020608902,0.487265020608902,0,350.0047302246094,0,0,1.0909091234207153,1,112,4,2,0,1,2.545454502105713,3,339.1619873046875,0,351.25799560546875,4,6,0,0,0.16898556053638458,3,1.8636363744735718,0.0625,22
Cc1cccc(n1)C2Nc3ccccc3C(=O)N2CCc4ccccc4,4,0,-0.35947248339653015,0.35947248339653015,1,343.16845703125,0,1,0.9615384340286255,1,130,4,2,0,1,2.538461446762085,3,322.2619934082031,0,343.42999267578125,3,4,0,1,0.25740930438041687,4,1.7307692766189575,0.1818181872367859,26
CN(C)CCOC(c1ccc(C)cc1)c2cccc(c2)C(F)(F)F.OC(=O)\C=C/C(=O)O,6,0,-0.4780707359313965,0.4780707359313965,2,453.1763000488281,0,0,1,0,174,8,2,0,2,2.03125,2,427.2489929199219,0,453.4570007324219,4,9,0,0,0.41592133045196533,2,1.5625,0.30434781312942505,32
CN(C(=O)COc1ccccc1C(=O)NCCc2ccccc2)c3ccccc3,5,0,-0.4829213321208954,0.4829213321208954,1,388.1786804199219,0,0,0.8620689511299133,0,148,8,3,0,1,2.2068965435028076,3,364.2749938964844,0,388.4670104980469,3,5,0,0,0.2641471326351166,3,1.482758641242981,0.1666666716337204,29
CC(Oc1ccc(Cl)cc1Cl)c2onc(n2)c3ccc(NC(=O)c4ccncc4)cc3,7,0,-0.4793214499950409,0.4793214499950409,1,454.0599365234375,0,0,1.0645161867141724,2,156,6,2,0,1,2.5161290168762207,4,439.1730041503906,0,455.3009948730469,6,9,0,0,0.26723119616508484,4,1.8064515590667725,0.09090909361839294,31
Cc1cc(Cl)ccc1NC(=O)NC2CCN(CC2)S(=O)(=O)c3ccc(F)cc3,6,0,-0.33503812551498413,0.33503812551498413,2,425.0976257324219,0,1,1.1428571939468384,0,150,4,2,0,2,2.392857074737549,2,404.7449951171875,1,425.9129943847656,3,9,1,1,0.318961501121521,3,1.7857142686843872,0.31578946113586426,28
CC(C)N1N=C(C(=O)Oc2cc(Cl)ccc2Cl)c3ccccc3C1=O,5,0,-0.4200846552848816,0.4200846552848816,0,376.03814697265625,0,0,1.1200000047683716,1,128,3,2,0,0,2.4800000190734863,3,363.114990234375,0,377.22698974609375,5,7,0,0,0.36439013481140137,3,1.7999999523162842,0.1666666716337204,25
CCOCCCNC(=O)C1=CN(CC=C)c2ccc(cc2C1=O)S(=O)(=O)N(CC)CC,8,0,-0.3816692531108856,0.3816692531108856,1,449.1984558105469,0,0,1.2580645084381104,1,170,12,1,0,1,2.5806450843811035,2,418.32501220703125,0,449.572998046875,6,9,0,0,0.25627705454826355,2,1.9677419662475586,0.4545454680919647,31
S=C(NCCc1ccccc1)NC2CCC(CC2)NC(=S)NCCc3ccccc3,4,0,-0.36239761114120483,0.36239761114120483,4,440.20684814453125,1,0,0.6333333253860474,0,160,8,2,1,4,1.3666666746139526,2,408.4259948730469,1,440.6820068359375,2,6,0,1,0.16602087020874023,3,1,0.4166666567325592,30
