smiles,CMPD_CHEMBLID,CYP3A4,hERG_pIC50
[2H]C([2H])([2H])Oc1cc(ncc1C#N)C(O)CN2CCN(C[C@H](O)c3ccc4C(=O)OCc4c3C)CC2,CHEMBL3612928,NA,4.52
[2H]C([2H])(N[C@H]1C[S+]([O-])C[C@@H](Cc2cc(F)c(N)c(O[C@H](COC)C(F)(F)F)c2)[C@@H]1O)c3cccc(c3)C(C)(C)C,CHEMBL2425617,7,NA
[2H]C([2H])(O)CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F,CHEMBL3221133,NA,6.8
[2H]C(Nc1cc(cc2ncc(cc12)N3CCN(C)CC3)C(F)(F)F)c4cccc(c4)[N+](=O)[O-],CHEMBL3221131,NA,5.9
[2H]C(Nc1cc(cc2ncc(cc12)N3CCN(CC([2H])([2H])O)CC3)C(F)(F)F)c4cccc(c4)[N+](=O)[O-],CHEMBL3221134,NA,6.32
[Br-].C[N+](C)(CCCCNC(=O)Cc1ccc(OCc2ccccc2)cc1)CCNC(=O)c3nc(Cl)c(N)nc3N,CHEMBL1945199,NA,4.97
[Br-].CC(C)COc1ccc(cc1)C2(CC[N+](C)(C)CC2)C#N,CHEMBL1573507,4.4,NA
[Br-].CC[n+]1c(c2ccccc2)c3cc(N)ccc3c4ccc(N)cc14,CHEMBL284328,5,NA
[Br-].Cc1c(CCOC(=O)C2C3CC4CC(CC2C4)C3)sc[n+]1CC(=O)c5ccc(Br)cc5,CHEMBL1531676,4.9,NA
[Br-].Cc1ccc(cc1)[n+]2c3CCc4ccc5cccnc5c4n3cc2c6ccc(Br)cc6,CHEMBL1546374,5.35,NA
[Br-].Cc1ccc(cc1)c2csc(NNC(=O)Nc3ccccc3)[n+]2CC=C,CHEMBL1379480,5.45,NA
[Br-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,CHEMBL1499545,4.9,NA
[Br-].CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,CHEMBL486696,4.5,NA
[Br-].CCOC(=O)C[n+]1c(C)sc2ccc(OC)cc12,CHEMBL1453970,5.45,NA
[Br-].COc1ccc(cc1)c2c[n+]3CC(=C4CCCCn2c34)c5ccccc5,CHEMBL1490799,5.5,NA
[Cl-].[Cl-].Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]3c(C)cc(N)c4ccccc34,CHEMBL121663,4.8,NA
[Cl-].C[N+](C)(C)CCO,CHEMBL282468,4.5,NA
[Cl-].C[N+]12CCC(CC1)C(O)(C2=C)c3ccccc3,CHEMBL1500528,5.5,NA
[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13,CHEMBL354349,4.6,NA
[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,CHEMBL221753,4.6,6.97
