smiles,CMPD_CHEMBLID,CYP3A4,hERG_pIC50
[Br-].CC(C)COc1ccc(cc1)C2(CC[N+](C)(C)CC2)C#N,CHEMBL1573507,4.40,
[Br-].Cc1ccc(cc1)c2csc(NNC(=O)Nc3ccccc3)[n+]2CC=C,CHEMBL1379480,5.45,
[Cl-].C[N+]12CCC(CC1)C(O)(C2=C)c3ccccc3,CHEMBL1500528,5.50,
[Cl-].C[n+]1c2cc(N)ccc2cc3ccc(N)cc13,CHEMBL354349,4.60,
[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,CHEMBL221753,4.60,6.97
[Cl-].CC1CCC2(C)C(CCC=C2C)C1(C)CC\C(=C\Cn3c[n+](C)c4c(N)ncnc34)\C,CHEMBL1608948,4.50,
[I+]1c2ccccc2c3ccccc13,CHEMBL365739,5.50,
[K+].CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-],CHEMBL1434858,4.50,
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)c1ccc(NC(=O)c2cc(NC(=O)Nc3cc(cc(c3)C(=O)Nc4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)[O-])C(=O)Nc5ccc(cc5S(=O)(=O)[O-])S(=O)(=O)[O-])cc(c2)C(=O)Nc6ccc(cc6S(=O)(=O)[O-])S(=O)(=O)[O-])c(c1)S(=O)(=O)[O-],CHEMBL1253351,5.70,
[Na+].[Na+].[Na+].[Na+].Cc1nc(N=Nc2cc(c3cc(cc(c3c2)S(=O)(=O)[O-])[N+](=O)[O-])S(=O)(=O)[O-])c(COP(=O)([O-])[O-])c(C=O)c1O,CHEMBL1490919,4.80,
[Na+].[Na+].[Na+].Nc1c2C(=O)c3ccccc3C(=O)c2c(Nc4ccc(Nc5nc(Cl)nc(Nc6ccc(cc6)S(=O)(=O)[O-])n5)c(c4)S(=O)(=O)[O-])cc1S(=O)(=O)[O-],CHEMBL1365553,4.60,
