SMILES,Name,MW
CCN,Ethylamine,45.09
CCCN,Propylamine,59.11
CCCCN,Butylamine,73.14
CC(N)C,Isopropylamine,59.11
CC(C)CN,Isobutylamine,73.14
c1ccncc1,Pyridine,79.10
c1cccc2ncccc12,Quinoline,129.16
c1cnc2ccccc2n1,Quinoxaline,130.15
c1ccc2ncccc2c1,Quinoline,129.16
CC(=O)O,Acetic acid,60.05
CCC(=O)O,Propionic acid,74.08
CCCC(=O)O,Butyric acid,88.11
Oc1ccccc1,Phenol,94.11
OCc1ccccc1,Benzyl alcohol,108.14
c1ccc(cc1)B(O)O,Phenylboronic acid,121.93
c1ccnc(c1)B(O)O,Pyridin-2-ylboronic acid,122.92
FC(F)(F)c1ccccc1,(Trifluoromethyl)benzene,146.11
c1ccc(cc1)C(=O)O,Benzoic acid,122.12
O=C(O)c1ccc(N)cc1,4-Aminobenzoic acid,137.14
O=C(O)c1ccc(O)cc1,4-Hydroxybenzoic acid,138.12
O=C(O)c1ccc(F)cc1,4-Fluorobenzoic acid,140.11
O=C(O)c1ccc(Cl)cc1,4-Chlorobenzoic acid,156.57
O=C(O)c1ccc(Br)cc1,4-Bromobenzoic acid,201.02
O=C(O)c1ccc(C)cc1,4-Methylbenzoic acid,136.15
O=C(O)c1ccc(OC)cc1,4-Methoxybenzoic acid,152.15
O=C(O)c1ccc(C(F)(F)F)cc1,4-(Trifluoromethyl)benzoic acid,190.12
