smiles,CHEMBL_ID,pIC50,pIC50_true
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,CHEMBL103667,4.522878745280337,4.522878745280337
O=C1Nc2ccc(F)cc2/C1=C1/Nc2ccccc2/C1=N\O,CHEMBL1077291,NA,5.9
FC(F)(F)c1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,CHEMBL1077729,NA,7.4
Clc1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,CHEMBL1078060,7.55,7.55
Fc1cc(CCNc2ncnc3ccsc23)ccc1Nc1nc2cc(C(F)(F)F)ccc2[nH]1,CHEMBL1078061,7.19,7.19
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,CHEMBL1078178,6.0,6.0
c1ccc2[nH]c(Nc3ncc(CCNc4ncnc5ccsc45)s3)nc2c1,CHEMBL1078827,NA,5.85
FC(F)(F)c1ccc2nc(Nc3ncc(CCNc4ncnc5ccsc45)s3)[nH]c2c1,CHEMBL1078828,6.31,6.31
c1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,CHEMBL1078906,NA,7.55
FC(F)(F)c1cnc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,CHEMBL1079538,7.77,7.77
Clc1cnc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,CHEMBL1079713,7.7,7.7
COc1ccc(-c2nc3c(N4CCN(Cc5cscn5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1082291,8.4,8.4
Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2cscn2)CC1,CHEMBL1082492,8.22,8.22
CN(C)Cc1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Br)cnc3[nH]2)cc1,CHEMBL1082507,NA,7.8
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN)cc5)nc34)CC2)no1,CHEMBL1082597,NA,8.0
O=C(CN1CCN(c2c(Br)cnc3[nH]c(-c4ccccc4)nc23)CC1)Nc1nccs1,CHEMBL1082830,7.09,7.09
COc1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1,CHEMBL1082831,7.28,7.28
CC(c1ccccc1)N1CCN(c2c(Cl)cnc3[nH]c(-c4ccc(N(C)C)cc4)nc23)CC1,CHEMBL1083490,7.1,7.1
