smiles,is_active,is_active_true
c1cc(ccc1COC(=O)c2ccc(c(c2)[N+](=O)[O-])N3CCCC3)[N+](=O)[O-],0.0,0.0
Cc1ccc(cc1c2ccc3cc(ncc3c2)Nc4cc(cc(n4)C)C(C)(C)O)F,1.0,1.0
CC1(Cc2cccc(c2O1)OCC(=O)NCc3cccc(c3)OC)C,0.0,0.0
c1cc(ccc1CNc2c3cnn(c3ncn2)CC(c4ccc(cc4)Br)Cl)F,1.0,1.0
Cc1ncc(s1)CN2CCCC(C2)C(=O)c3ccc(c(c3)OC)OC,0.0,0.0
CCCCC(=O)Nc1nc(cs1)c2ccc(cc2)S(=O)(=O)N3CCOCC3,0.0,0.0
c1ccc(c(c1)O)OCC(=O)N2CCN(CC2)C(=O)c3ccco3,0.0,0.0
c1ccc(cc1)CCc2nn3c(nnc3s2)C4COc5ccccc5O4,0.0,0.0
Cc1ccc(cc1)N2CC(CC2=O)C(=O)OCC(=O)c3ccc(cc3)[N+](=O)[O-],0.0,0.0
CCOC(CNC(=O)c1ccc2c(c1)ncn2c3ccccc3OC)OCC,0.0,0.0
c1ccc(c(c1)CCNC(=O)CCN2C(=O)C3C4CC(C3C2=O)C=C4)Cl,,0.0
Cc1ccc(cc1c2ccc3cc(ncc3c2)NC(=O)C4CC4)NC(=O)COC,1.0,1.0
Cc1cccc(c1C)n2c(c3c(n2)CS(=O)C3)NC(=O)c4ccccc4OC,0.0,0.0
Cc1ccc(o1)C2C3=C(CC(CC3=O)(C)C)NC(=C2C(=O)OC4CCCCC4)C,0.0,0.0
CC(C)(C)c1ccc(cc1)NC(=O)COC(=O)C(=Cc2ccc(cc2)OC)C#N,0.0,0.0
CCOC(=O)C(=NO)C(=NNC(=O)C(=O)Nc1cc(ccc1Cl)Cl)C,,0.0
CC(=O)c1cccc(c1)c2ccnc3c2CC(O3)C(=O)Nc4ccc5c(c4)OCO5,0.0,0.0
COc1cc(ccc1Oc2ccc(cn2)[N+](=O)[O-])C=C3C(=O)NC(=O)S3,0.0,0.0
