molregno,standard_inchi,standard_inchi_key,chembl_id
17169,"InChI=1S/C38H50N6O5/c1-38(2,3)43-37(49)32-20-26-14-7-8-15-27(26)22-44(32)23-33(45)30(19-24-11-5-4-6-12-24)41-36(48)31(21-34(39)46)42-35(47)29-18-17-25-13-9-10-16-28(25)40-29/h4-6,9-13,16-18,26-27,30-33,45H,7-8,14-15,19-23H2,1-3H3,(H2,39,46)(H,41,48)(H,42,47)(H,43,49)/t26-,27+,30-,31-,32-,33+/m0/s1",QWAXKHKRTORLEM-UGJKXSETSA-N,CHEMBL114
17411,"InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19)",FNYLWPVRPXGIIP-UHFFFAOYSA-N,CHEMBL585
26648,"InChI=1S/C36H31F2N5O4S/c1-41(20-23-10-5-3-6-11-23)21-28-31-33(44)43(26-12-7-4-8-13-26)36(46)42(22-27-29(37)14-9-15-30(27)38)34(31)48-32(28)24-16-18-25(19-17-24)39-35(45)40-47-2/h3-19H,20-22H2,1-2H3,(H2,39,40,45)",UCQSBGOFELXYIN-UHFFFAOYSA-N,CHEMBL22055
27912,"InChI=1S/C6H9N3O3/c1-5-7-4-6(9(11)12)8(5)2-3-10/h4,10H,2-3H2,1H3",VAOCPAMSLUNLGC-UHFFFAOYSA-N,CHEMBL137
32116,"InChI=1S/C21H25N5O2/c1-3-22-18-5-4-8-23-20(18)25-9-11-26(12-10-25)21(27)19-14-15-13-16(28-2)6-7-17(15)24-19/h4-8,13-14,22,24H,3,9-12H2,1-2H3",UCPOMLWZWRTIAA-UHFFFAOYSA-N,CHEMBL280527
47675,"InChI=1S/C9H11IN2O5/c10-4-2-12(9(16)11-8(4)15)7-1-5(14)6(3-13)17-7/h2,5-7,13-14H,1,3H2,(H,11,15,16)/t5-,6+,7+/m0/s1",XQFRJNBWHJMXHO-RRKCRQDMSA-N,CHEMBL788
53686,"InChI=1S/C6H6N6O2/c1-11-6(14)12-2-8-3(4(7)13)5(12)9-10-11/h2H,1H3,(H2,7,13)",BPEGJWRSRHCHSN-UHFFFAOYSA-N,CHEMBL810
62701,"InChI=1S/C18H19N3O3S.C4H4O4/c1-21(16-4-2-3-9-19-16)10-11-24-14-7-5-13(6-8-14)12-15-17(22)20-18(23)25-15;5-3(6)1-2-4(7)8/h2-9,15H,10-12H2,1H3,(H,20,22,23);1-2H,(H,5,6)(H,7,8)/b;2-1-",SUFUKZSWUHZXAV-BTJKTKAUSA-N,CHEMBL843
77702,"InChI=1S/C23H25N3O2/c27-17-14-19-10-4-6-15-25(19)22(28)13-12-20-21-11-5-7-16-26(21)24-23(20)18-8-2-1-3-9-18/h1-3,5,7-9,11-13,16,19,27H,4,6,10,14-15,17H2/b13-12+/t19-/m1/s1",OPLOPFHUHFGKMJ-JXOMPUQVSA-N,CHEMBL440115
83044,"InChI=1S/C16H15N2O6P.2Na/c19-14-16(12-7-3-1-4-8-12,13-9-5-2-6-10-13)17-15(20)18(14)11-24-25(21,22)23;;/h1-10H,11H2,(H,17,20)(H2,21,22,23);;/q;2*+1/p-2",GQPXYJNXTAFDLT-UHFFFAOYSA-L,CHEMBL919
85233,"InChI=1S/C22H28N6O3S.CH4O3S/c1-15(2)24-19-5-4-8-23-21(19)27-9-11-28(12-10-27)22(29)20-14-16-13-17(26-32(3,30)31)6-7-18(16)25-20;1-5(2,3)4/h4-8,13-15,24-26H,9-12H2,1-3H3;1H3,(H,2,3,4)",MEPNHSOMXMALDZ-UHFFFAOYSA-N,CHEMBL929
101924,"InChI=1S/C58H80N2O14.2ClH/c1-59(25-21-41-35-47(63-3)49(65-5)37-43(41)45(59)29-39-31-51(67-7)57(71-11)52(32-39)68-8)23-17-27-73-55(61)19-15-13-14-16-20-56(62)74-28-18-24-60(2)26-22-42-36-48(64-4)50(66-6)38-44(42)46(60)30-40-33-53(69-9)58(72-12)54(34-40)70-10;;/h13-14,31-38,45-46H,15-30H2,1-12H3;2*1H/q+2;;/p-2/b14-13+;;/t45-,46-,59?,60?;;/m1../s1",WMSYWJSZGVOIJW-ONUALHDOSA-L,CHEMBL984
199711,"InChI=1S/C23H20F2N5O5PS/c1-15(22-29-21(10-37-22)17-4-2-16(9-26)3-5-17)23(11-30-13-27-12-28-30,34-14-35-36(31,32)33)19-7-6-18(24)8-20(19)25/h2-8,10,12-13,15H,11,14H2,1H3,(H2,31,32,33)/t15-,23+/m0/s1",SYTNEMZCCLUTNX-NPMXOYFQSA-N,CHEMBL333325
264453,"InChI=1S/C15H12ClNO2/c1-8(15(18)19)9-2-4-11-12-7-10(16)3-5-13(12)17-14(11)6-9/h2-8,17H,1H3,(H,18,19)",PUXBGTOOZJQSKH-UHFFFAOYSA-N,CHEMBL1316
675138,"InChI=1S/C29H41F2N5O/c1-19(2)27-34-33-20(3)36(27)25-17-23-9-10-24(18-25)35(23)16-13-26(21-7-5-4-6-8-21)32-28(37)22-11-14-29(30,31)15-12-22/h4-8,19,22-26H,9-18H2,1-3H3,(H,32,37)/t23-,24+,25-,26-/m0/s1",GSNHKUDZZFZSJB-QYOOZWMWSA-N,CHEMBL1201187
419601,"InChI=1S/C17H19N3O3S/c1-10-8-18-15(11(2)16(10)23-4)9-24(21)17-19-13-6-5-12(22-3)7-14(13)20-17/h5-8H,9H2,1-4H3,(H,19,20)",SUBDBMMJDZJVOS-UHFFFAOYSA-N,CHEMBL1503
426067,"InChI=1S/C21H27NO.ClH/c23-21(19-11-4-1-5-12-19,20-13-6-2-7-14-20)15-10-18-22-16-8-3-9-17-22;/h1-2,4-7,11-14,23H,3,8-10,15-18H2;1H",AVZIYZHXZAYGJS-UHFFFAOYSA-N,CHEMBL1529
428747,"InChI=1S/C22H28O2/c1-4-21-13-14(3)20-17-9-7-16(23)12-15(17)6-8-18(20)19(21)10-11-22(21,24)5-2/h2,12,17-20,24H,3-4,6-11,13H2,1H3/t17-,18-,19-,20+,21-,22-/m0/s1",GCKFUYQCUCGESZ-BPIQYHPVSA-N,CHEMBL1531
454576,"InChI=1S/C16H19N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-3,6,10-11,15H,4-5,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1",RDLPVSKMFDYCOR-UEKVPHQBSA-N,CHEMBL1604
