STUDYID,DOMAIN,ARMCD,ARM,TAETORD,ETCD,ELEMENT,TABRANCH,TATRANS,EPOCH
NIDA-CTN-0001,TA,BUPNX,BUPRENORPHINE/NALOXONE,1,SCREEN,SCREENING,RANDOMIZED TO BUPNX,,SCREENING
NIDA-CTN-0001,TA,BUPNX,BUPRENORPHINE/NALOXONE,2,BUPNX,BUPRENORPHINE/NALOXONE,,,ACTIVE
NIDA-CTN-0001,TA,BUPNX,BUPRENORPHINE/NALOXONE,3,FU1,FOLLOWUP 1,,,FOLLOWUP 1
NIDA-CTN-0001,TA,BUPNX,BUPRENORPHINE/NALOXONE,4,FU2,FOLLOWUP 2,,,FOLLOWUP 2
NIDA-CTN-0001,TA,BUPNX,BUPRENORPHINE/NALOXONE,5,FU3,FOLLOWUP 3,,,FOLLOWUP 3
NIDA-CTN-0001,TA,CLON,CLONIDINE,1,SCREEN,SCREENING,RANDOMIZED TO CLON,,SCREENING
NIDA-CTN-0001,TA,CLON,CLONIDINE,2,CLON,CLONIDINE,,,ACTIVE
NIDA-CTN-0001,TA,CLON,CLONIDINE,3,FU1,FOLLOWUP 1,,,FOLLOWUP 1
NIDA-CTN-0001,TA,CLON,CLONIDINE,4,FU2,FOLLOWUP 2,,,FOLLOWUP 2
NIDA-CTN-0001,TA,CLON,CLONIDINE,5,FU3,FOLLOWUP 3,,,FOLLOWUP 3
