Time,Temperature
0,100
1,99.8
2,99.6
3,99.4
4,99.2
5,99
6,98.8
7,98.6
8,98.4
9,98.2
10,98
11,97.8
12,97.6
13,97.4
14,97.2
15,97
16,96.8
17,96.6
18,96.4
19,96.2
20,96
21,95.8
22,95.6
23,95.4
24,95.2
25,95
26,94.8
27,94.6
28,94.4
29,94.2
30,94
31,93.8
32,93.6
33,93.4
34,93.2
35,93
36,92.8
37,92.6
38,92.4
39,92.2
40,92
41,91.8
42,91.6
43,91.4
44,91.2
45,91
46,90.8
47,90.6
48,90.4
49,90.2
50,90
51,89.8
52,89.6
53,89.4
54,89.2
55,89
56,88.8
57,88.6
58,88.4
59,88.2
60,88
61,87.8
62,87.6
63,87.4
64,87.2
65,87
66,86.8
67,86.6
68,86.4
69,86.2
70,86
71,85.8
72,85.6
73,85.4
74,85.2
75,85
76,84.8
77,84.6
78,84.4
79,84.2
80,84
81,83.8
82,83.6
83,83.4
84,83.2
85,83
86,82.8
87,82.6
88,82.4
89,82.2
90,82
91,81.8
92,81.6
93,81.4
94,81.2
95,81
96,80.8
97,80.6
98,80.4
99,80.2
100,80
101,79.8
102,79.6
103,79.4
104,79.2
105,79
106,78.8
107,78.6
108,78.4
109,78.2
110,78
111,77.8
112,77.6
113,77.4
114,77.2
115,77
116,76.8
117,76.6
118,76.4
119,76.2
120,76
121,75.8
122,75.6
123,75.4
124,75.2
125,75
126,74.8
127,74.6
128,74.4
129,74.2
130,74
131,73.8
132,73.6
133,73.4
134,73.2
135,73
136,72.8
137,72.6
138,72.4
139,72.2
140,72
141,71.8
142,71.6
143,71.4
144,71.2
145,71
146,70.8
147,70.6
148,70.4
149,70.2
150,70
151,69.8
152,69.6
153,69.4
154,69.2
155,69
156,68.8
157,68.6
158,68.4
159,68.2
160,68
161,67.8
162,67.6
163,67.4
164,67.2
165,67
166,66.8
167,66.6
168,66.4
169,66.2
170,66
171,65.8
172,65.6
173,65.4
174,65.2
175,65
176,64.8
177,64.6
178,64.4
179,64.2
180,64
181,63.8
182,63.6
183,63.4
184,63.2
185,63
186,62.8
187,62.6
188,62.4
189,62.2
190,62
191,61.8
192,61.6
193,61.4
194,61.2
195,61
196,60.8
197,60.6
198,60.4
199,60.2
200,60
201,59.8
202,59.6
203,59.4
204,59.2
205,59
206,58.8
207,58.6
208,58.4
209,58.2
210,58
211,57.8
212,57.6
213,57.4
214,57.2
215,57
216,56.8
217,56.6
218,56.4
219,56.2
220,56
221,55.8
222,55.6
223,55.4
224,55.2
225,55
226,54.8
227,54.6
228,54.4
229,54.2
230,54
231,53.8
232,53.6
233,53.4
234,53.2
235,53
236,52.8
237,52.6
238,52.4
239,52.2
240,52
241,51.8
242,51.6
243,51.4
244,51.2
245,51
246,50.8
247,50.6
248,50.4
249,50.2
250,50
251,49.8
252,49.6
253,49.4
254,49.2
255,49
256,48.8
257,48.6
258,48.4
259,48.2
260,48
261,47.8
262,47.6
263,47.4
264,47.2
265,47
266,46.8
267,46.6
268,46.4
269,46.2
270,46
271,45.8
272,45.6
273,45.4
274,45.2
275,45
276,44.8
277,44.6
278,44.4
279,44.2
280,44
281,43.8
282,43.6
283,43.4
284,43.2
285,43
286,42.8
287,42.6
288,42.4
289,42.2
290,42
291,41.8
292,41.6
293,41.4
294,41.2
295,41
296,40.8
297,40.6
298,40.4
299,40.2
300,40
301,39.8
302,39.6
303,39.4
304,39.2
305,39
306,38.8
307,38.6
308,38.4
309,38.2
310,38
311,37.8
312,37.6
313,37.4
314,37.2
315,37
316,36.8
317,36.6
318,36.4
319,36.2
320,36
321,35.8
322,35.6
323,35.4
324,35.2
325,35
326,34.8
327,34.6
328,34.4
329,34.2
330,34
331,33.8
332,33.6
333,33.4
334,33.2
335,33
336,32.8
337,32.6
338,32.4
339,32.2
340,32
341,31.8
342,31.6
343,31.4
344,31.2
345,31
346,30.8
347,30.6
348,30.4
349,30.2
350,30
351,29.8
352,29.6
353,29.4
354,29.2
355,29
356,28.8
357,28.6
358,28.4
359,28.2
360,28
361,27.8
362,27.6
363,27.4
364,27.2
365,27
366,26.8
367,26.6
368,26.4
369,26.2
370,26
371,25.8
372,25.6
373,25.4
374,25.2
375,25
376,24.8
377,24.6
378,24.4
379,24.2
380,24
381,23.8
