barcode,pos,SampleID,Concentration,Activity
LJ-PLATE-1,A1,High Control,10.0,0.114
LJ-PLATE-1,A2,SMP-1,100.0,0.004
LJ-PLATE-1,A3,SMP-1,33.33,0.182
LJ-PLATE-1,A4,SMP-1,11.11,0.179
LJ-PLATE-1,A5,SMP-1,3.7,0.511
LJ-PLATE-1,A6,SMP-1,1.23,0.836
LJ-PLATE-1,A7,SMP-1,0.41,0.98
LJ-PLATE-1,A8,SMP-1,0.14,1.005
LJ-PLATE-1,A9,SMP-1,0.05,1.032
LJ-PLATE-1,A10,EMPTY-P1-W10,0.0,0.0
LJ-PLATE-1,A11,EMPTY-P1-W11,0.0,0.0
LJ-PLATE-1,A12,Low Control,0.0,0.984
LJ-PLATE-1,B1,High Control,10.0,0.059
LJ-PLATE-1,B2,SMP-2,100.0,0.02
LJ-PLATE-1,B3,SMP-2,33.33,0.149
LJ-PLATE-1,B4,SMP-2,11.11,0.472
LJ-PLATE-1,B5,SMP-2,3.7,0.781
LJ-PLATE-1,B6,SMP-2,1.23,0.86
LJ-PLATE-1,B7,SMP-2,0.41,0.877
LJ-PLATE-1,B8,SMP-2,0.14,0.932
LJ-PLATE-1,B9,SMP-2,0.05,0.982
LJ-PLATE-1,B10,EMPTY-P1-W22,0.0,0.0
LJ-PLATE-1,B11,EMPTY-P1-W23,0.0,0.0
LJ-PLATE-1,B12,Low Control,0.0,0.971
LJ-PLATE-1,C1,High Control,10.0,0.077
LJ-PLATE-1,C2,SMP-3,100.0,0.061
LJ-PLATE-1,C3,SMP-3,33.33,0.028
LJ-PLATE-1,C4,SMP-3,11.11,0.281
LJ-PLATE-1,C5,SMP-3,3.7,0.724
LJ-PLATE-1,C6,SMP-3,1.23,0.817
LJ-PLATE-1,C7,SMP-3,0.41,0.896
LJ-PLATE-1,C8,SMP-3,0.14,0.979
LJ-PLATE-1,C9,SMP-3,0.05,1.037
LJ-PLATE-1,C10,EMPTY-P1-W34,0.0,0.0
LJ-PLATE-1,C11,EMPTY-P1-W35,0.0,0.0
LJ-PLATE-1,C12,Low Control,0.0,0.996
LJ-PLATE-1,D1,High Control,10.0,0.076
LJ-PLATE-1,D2,SMP-4,100.0,0.002
LJ-PLATE-1,D3,SMP-4,33.33,0.089
LJ-PLATE-1,D4,SMP-4,11.11,0.208
LJ-PLATE-1,D5,SMP-4,3.7,0.457
LJ-PLATE-1,D6,SMP-4,1.23,0.911
LJ-PLATE-1,D7,SMP-4,0.41,0.956
LJ-PLATE-1,D8,SMP-4,0.14,1.033
LJ-PLATE-1,D9,SMP-4,0.05,1.014
LJ-PLATE-1,D10,EMPTY-P1-W46,0.0,0.0
LJ-PLATE-1,D11,EMPTY-P1-W47,0.0,0.0
LJ-PLATE-1,D12,Low Control,0.0,1.004
LJ-PLATE-1,E1,High Control,10.0,0.077
LJ-PLATE-1,E2,SMP-5,100.0,0.087
LJ-PLATE-1,E3,SMP-5,33.33,0.115
LJ-PLATE-1,E4,SMP-5,11.11,0.246
LJ-PLATE-1,E5,SMP-5,3.7,0.768
LJ-PLATE-1,E6,SMP-5,1.23,0.867
LJ-PLATE-1,E7,SMP-5,0.41,1.0
LJ-PLATE-1,E8,SMP-5,0.14,0.939
LJ-PLATE-1,E9,SMP-5,0.05,1.035
LJ-PLATE-1,E10,EMPTY-P1-W58,0.0,0.0
LJ-PLATE-1,E11,EMPTY-P1-W59,0.0,0.0
LJ-PLATE-1,E12,Low Control,0.0,1.033
LJ-PLATE-1,F1,High Control,10.0,0.081
LJ-PLATE-1,F2,SMP-6,100.0,0.053
LJ-PLATE-1,F3,SMP-6,33.33,0.03
LJ-PLATE-1,F4,SMP-6,11.11,0.368
LJ-PLATE-1,F5,SMP-6,3.7,0.63
LJ-PLATE-1,F6,SMP-6,1.23,0.871
LJ-PLATE-1,F7,SMP-6,0.41,0.945
LJ-PLATE-1,F8,SMP-6,0.14,1.011
LJ-PLATE-1,F9,SMP-6,0.05,0.958
LJ-PLATE-1,F10,EMPTY-P1-W70,0.0,0.0
LJ-PLATE-1,F11,EMPTY-P1-W71,0.0,0.0
LJ-PLATE-1,F12,Low Control,0.0,0.972
LJ-PLATE-1,G1,High Control,10.0,0.084
LJ-PLATE-1,G2,SMP-7,100.0,0.045
LJ-PLATE-1,G3,SMP-7,33.33,0.03
LJ-PLATE-1,G4,SMP-7,11.11,0.396
LJ-PLATE-1,G5,SMP-7,3.7,0.544
LJ-PLATE-1,G6,SMP-7,1.23,0.851
LJ-PLATE-1,G7,SMP-7,0.41,1.006
LJ-PLATE-1,G8,SMP-7,0.14,0.945
LJ-PLATE-1,G9,SMP-7,0.05,1.018
LJ-PLATE-1,G10,EMPTY-P1-W82,0.0,0.0
LJ-PLATE-1,G11,EMPTY-P1-W83,0.0,0.0
LJ-PLATE-1,G12,Low Control,0.0,1.017
LJ-PLATE-1,H1,High Control,10.0,0.148
LJ-PLATE-1,H2,SMP-8,100.0,0.011
LJ-PLATE-1,H3,SMP-8,33.33,0.188
LJ-PLATE-1,H4,SMP-8,11.11,0.321
LJ-PLATE-1,H5,SMP-8,3.7,0.584
LJ-PLATE-1,H6,SMP-8,1.23,0.869
LJ-PLATE-1,H7,SMP-8,0.41,1.035
LJ-PLATE-1,H8,SMP-8,0.14,0.964
LJ-PLATE-1,H9,SMP-8,0.05,0.98
LJ-PLATE-1,H10,EMPTY-P1-W94,0.0,0.0
LJ-PLATE-1,H11,EMPTY-P1-W95,0.0,0.0
LJ-PLATE-1,H12,Low Control,0.0,0.956
