Well_Position,Agonist_ID,Antagonist_ID,Agonist_Concentration_M,Antagonist_Concentration_M,Percent_Inhibition,Sample_Type,Plate_ID
A1,Agonist-A51,Antagonist-B7,1e-11,0.0,0.4851,TEST,DR-EXP-001_1
B1,Agonist-A51,Antagonist-B7,3.16e-11,0.0,1.5298,TEST,DR-EXP-001_1
C1,Agonist-A51,Antagonist-B7,1e-10,0.0,4.8193,TEST,DR-EXP-001_1
D1,Agonist-A51,Antagonist-B7,3.16e-10,0.0,14.0722,TEST,DR-EXP-001_1
E1,Agonist-A51,Antagonist-B7,1e-09,0.0,38.6496,TEST,DR-EXP-001_1
F1,Agonist-A51,Antagonist-B7,3.16e-09,0.0,73.1059,TEST,DR-EXP-001_1
G1,Agonist-A51,Antagonist-B7,1e-08,0.0,93.4395,TEST,DR-EXP-001_1
H1,Agonist-A51,Antagonist-B7,3.16e-08,0.0,99.0064,TEST,DR-EXP-001_1
A2,Agonist-A51,Antagonist-B7,1e-11,0.0,0.5012,TEST,DR-EXP-001_1
B2,Agonist-A51,Antagonist-B7,3.16e-11,0.0,1.5794,TEST,DR-EXP-001_1
C2,Agonist-A51,Antagonist-B7,1e-10,0.0,4.9664,TEST,DR-EXP-001_1
D2,Agonist-A51,Antagonist-B7,3.16e-10,0.0,14.4533,TEST,DR-EXP-001_1
E2,Agonist-A51,Antagonist-B7,1e-09,0.0,39.5395,TEST,DR-EXP-001_1
F2,Agonist-A51,Antagonist-B7,3.16e-09,0.0,74.0089,TEST,DR-EXP-001_1
G2,Agonist-A51,Antagonist-B7,1e-08,0.0,93.8182,TEST,DR-EXP-001_1
H2,Agonist-A51,Antagonist-B7,3.16e-08,0.0,99.0711,TEST,DR-EXP-001_1
A3,Agonist-A51,Antagonist-B7,1e-11,0.0,0.5178,TEST,DR-EXP-001_1
B3,Agonist-A51,Antagonist-B7,3.16e-11,0.0,1.6306,TEST,DR-EXP-001_1
C3,Agonist-A51,Antagonist-B7,1e-10,0.0,5.1186,TEST,DR-EXP-001_1
D3,Agonist-A51,Antagonist-B7,3.16e-10,0.0,14.8427,TEST,DR-EXP-001_1
E3,Agonist-A51,Antagonist-B7,1e-09,0.0,40.4395,TEST,DR-EXP-001_1
F3,Agonist-A51,Antagonist-B7,3.16e-09,0.0,74.9126,TEST,DR-EXP-001_1
G3,Agonist-A51,Antagonist-B7,1e-08,0.0,94.1925,TEST,DR-EXP-001_1
H3,Agonist-A51,Antagonist-B7,3.16e-08,0.0,99.1354,TEST,DR-EXP-001_1
