Molecule,Fitted Curve,AUC,Hill,Min,Max,IC50,Compound|Assay|Target,Assay Name,Batch ID,Compound ID,Target Entity,Run ID,Max Percent Inhibition,Max Percent Inhibition (Compound | Assay | Target)
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]2C[C@H](C)CCCCCN(CC)C(=O)c1cc(cc(c1)C(=O)N2)OCC,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 0||Neuronal Health Assay||target_9||run_id 1""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 1"",""points"":[{""x"":3.182852e-10,""y"":-5.450562000274658,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.182852e-10,""y"":-3.072634220123291,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-3.497897148132324,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-9.983154296875,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-6.20894718170166,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-5.762421607971191,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":5.7480244636535645,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":6.4674272537231445,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":10.755494117736816,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":24.806884765625,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":31.19645881652832,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":48.81296920776367,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":53.529842376708984,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":55.79082107543945,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":90.4791488647461,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":99.04075622558594,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":92.9566650390625,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":91.5986557006836,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":100.78858184814453,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":100.42214965820312,""outlier"":false,""marker"":""circle"",""size"":5}],""fitLineColor"":""#1f77b4"",""pointColor"":""#808080""}]}",178.8405151367187500,1.0178589820861816,2.0119457244873048,102.4581222534179688,-6.69E0,compound_id 0||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 0,compound_id 0,target_9,run_id 1,100.7885818481445312,102.0827026367187500
C[C@@H]1CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N[C@@H](C1)[C@H](O)CNC2(CC2)c3cc(ccc3)C(C)(C)C,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 8||Collapse Assay||target_10||run_id 4""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 4"",""points"":[{""x"":1.37174e-11,""y"":117.88907623291016,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":4.11524e-11,""y"":96.71778106689453,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":1.23457e-10,""y"":105.14881896972656,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":3.7037e-10,""y"":110.15863800048828,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":1.11111e-9,""y"":114.06112670898438,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":3.33333e-9,""y"":151.69589233398438,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":1e-8,""y"":107.37506866455078,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":2.99999988e-8,""y"":110.79449462890625,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":9.00000004e-8,""y"":87.00133514404297,""outlier"":false,""marker"":""triangle bottom"",""size"":5},{""x"":2.699999868e-7,""y"":87.14186096191406,""outlier"":false,""marker"":""triangle bottom"",""size"":5}],""fitLineColor"":""#ffbb78"",""pointColor"":""#808080""}]}",467.9201965332031250,-12.1932067871093750,86.9469528198242188,114.6506958007812500,-7.45E0,compound_id 8||Collapse Assay||target_10,Collapse Assay,batch_id 8,compound_id 8,target_10,run_id 4,151.6958923339843750,151.6958923339843750
CCCC2=CC(CNC[C@@H](O)[C@@H]1C[C@H](C)CCCCCCOCC(=O)N(C)[C@@H](C)C(=O)N1)=NN2,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 0||Neuronal Health Assay||target_9||run_id 0""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 0"",""points"":[{""x"":3.182852e-10,""y"":-1.5240453481674194,""outlier"":false,""marker"":""star"",""size"":5},{""x"":3.182852e-10,""y"":-4.955611228942871,""outlier"":false,""marker"":""star"",""size"":5},{""x"":1.0057808e-9,""y"":-10.9444580078125,""outlier"":false,""marker"":""star"",""size"":5},{""x"":1.0057808e-9,""y"":-2.8417165279388428,""outlier"":false,""marker"":""star"",""size"":5},{""x"":3.1782672e-9,""y"":1.6951942443847656,""outlier"":false,""marker"":""star"",""size"":5},{""x"":3.1782672e-9,""y"":-1.174331545829773,""outlier"":false,""marker"":""star"",""size"":5},{""x"":1.00433244e-8,""y"":6.737940788269043,""outlier"":false,""marker"":""star"",""size"":5},{""x"":1.00433244e-8,""y"":16.873394012451172,""outlier"":false,""marker"":""star"",""size"":5},{""x"":3.17369064e-8,""y"":24.20176887512207,""outlier"":false,""marker"":""star"",""size"":5},{""x"":3.17369064e-8,""y"":25.675561904907227,""outlier"":false,""marker"":""star"",""size"":5},{""x"":1.002886236e-7,""y"":45.12214279174805,""outlier"":false,""marker"":""star"",""size"":5},{""x"":1.002886236e-7,""y"":50.302276611328125,""outlier"":false,""marker"":""star"",""size"":5},{""x"":3.169120362e-7,""y"":65.49608612060547,""outlier"":false,""marker"":""star"",""size"":5},{""x"":3.169120362e-7,""y"":58.47058868408203,""outlier"":false,""marker"":""star"",""size"":5},{""x"":0.000001001442115,""y"":96.5647201538086,""outlier"":false,""marker"":""star"",""size"":5},{""x"":0.000001001442115,""y"":70.9478759765625,""outlier"":false,""marker"":""star"",""size"":5},{""x"":0.0000031645570288,""y"":93.60245513916016,""outlier"":false,""marker"":""star"",""size"":5},{""x"":0.0000031645570288,""y"":94.76244354248047,""outlier"":false,""marker"":""star"",""size"":5},{""x"":0.0000099999997474,""y"":102.08270263671875,""outlier"":false,""marker"":""star"",""size"":5},{""x"":0.0000099999997474,""y"":101.99526977539062,""outlier"":false,""marker"":""star"",""size"":5}],""fitLineColor"":""#1f77b4"",""pointColor"":""#808080""}]}",183.7722473144531250,0.6887331604957580,-4.4855132102966308,107.1247100830078124,-6.80E0,compound_id 0||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 0,compound_id 0,target_9,run_id 0,102.0827026367187500,102.0827026367187500
CCN2CCCCC[C@@H](C)C[C@H](NC(=O)c1cc(ccc1)C2=O)[C@H](O)CNCc3cc(ccc3)C(C)C,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 1||Neuronal Health Assay||target_9||run_id 1""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 1"",""points"":[{""x"":3.182852e-10,""y"":-6.060105323791504,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.182852e-10,""y"":-1.736600399017334,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-7.973787784576416,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-7.257928848266602,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-7.736349582672119,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-1.896073937416077,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":-13.923922538757324,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":-3.582949638366699,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-8.955435752868652,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-5.54624605178833,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-8.303366661071777,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-4.518527984619141,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":16.9926815032959,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":-2.828108310699463,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-4.646106719970703,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-3.072634220123291,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":0.6306957006454468,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":-4.65673828125,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":-4.323615550994873,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":1.8568700551986697,""outlier"":false,""marker"":""circle"",""size"":5}],""fitLineColor"":""#2ca02c"",""pointColor"":""#808080""}]}",-16.7074584960937500,22.2338218688964844,-6.4651880264282228,0.0325164124369620,-6.91E0,compound_id 1||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 1,compound_id 1,target_9,run_id 1,16.9926815032958984,16.9926815032958984
CC(C)c5cc(CNC[C@@H](O)[C@@H]4C[C@H](C)CCCCCN([C@H](C)c1ccccc1)C(=O)c2cc(cc(c2)C3=NC=CO3)C(=O)N4)ccc5,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 2||Neuronal Health Assay||target_9||run_id 1""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 1"",""points"":[{""x"":3.182852e-10,""y"":-11.184521675109863,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.182852e-10,""y"":-10.004417419433594,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-14.299571990966797,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-15.603711128234863,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-21.543214797973633,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-16.184904098510742,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":-13.888484001159668,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":-16.84406089782715,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-20.217811584472656,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-24.442089080810547,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-10.748627662658691,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-12.346906661987305,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":-7.240209579467773,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":-12.892661094665527,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-11.772802352905273,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-10.217048645019531,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":-11.78343391418457,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":-6.155789375305176,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":-13.080485343933105,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":-6.584596157073975,""outlier"":false,""marker"":""circle"",""size"":5}],""fitLineColor"":""#d62728"",""pointColor"":""#808080""}]}",-60.6038932800292968,8.9774847030639650,-16.4080619812011720,-9.9843549728393550,-7.05E0,compound_id 2||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 2,compound_id 2,target_9,run_id 1,-6.1557893753051758,-6.1557893753051758
CC(C)c3cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCOCCCCNc1cc(cc(Cl)n1)C(=O)N2)c3,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 3||Neuronal Health Assay||target_9||run_id 1""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 1"",""points"":[{""x"":3.182852e-10,""y"":-15.515114784240723,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.182852e-10,""y"":-9.56143569946289,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-5.539158344268799,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-3.9408791065216064,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-8.09073543548584,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-1.9244247674942017,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":-15.458413124084473,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":-5.957333564758301,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-5.478912830352783,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-6.226666450500488,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-10.528908729553223,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-8.99796199798584,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":-7.757612705230713,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":-3.4022130966186523,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-4.312983989715576,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-2.165407180786133,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":-0.4643559455871582,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":0.7334675788879396,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":0.4464151859283448,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":4.982551574707031,""outlier"":false,""marker"":""circle"",""size"":5}],""fitLineColor"":""#9467bd"",""pointColor"":""#808080""}]}",-25.7873592376708984,1.4457998275756836,-8.0086898803710938,2.1816959381103516,-6.00E0,compound_id 3||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 3,compound_id 3,target_9,run_id 1,4.9825515747070310,4.9825515747070310
COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCCCCCCN2)[C@H](O)CNCc3cc(ccc3)C(C)C,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 4||Neuronal Health Assay||target_9||run_id 1""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 1"",""points"":[{""x"":3.182852e-10,""y"":-10.791153907775879,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.182852e-10,""y"":-9.469295501708984,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-13.193888664245605,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.0057808e-9,""y"":-12.832415580749512,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-8.186419486999512,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.1782672e-9,""y"":-10.461575508117676,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":24.36035919189453,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.00433244e-8,""y"":-10.372979164123535,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-18.768375396728516,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.17369064e-8,""y"":-10.443856239318848,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-14.001887321472168,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":1.002886236e-7,""y"":-3.639651298522949,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":-12.903292655944824,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.169120362e-7,""y"":-11.698381423950195,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-11.801153182983398,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000001001442115,""y"":-7.998594760894775,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":0.7937130928039552,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000031645570288,""y"":-11.588521957397461,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":-10.245399475097656,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000099999997474,""y"":-4.359054088592529,""outlier"":false,""marker"":""circle"",""size"":5}],""fitLineColor"":""#8c564b"",""pointColor"":""#808080""}]}",-38.1071090698242188,20.3465518951416016,-8.8925876617431640,-6.3447146415710448,-5.74E0,compound_id 4||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 4,compound_id 4,target_9,run_id 1,24.3603591918945312,24.3603591918945312
COCc1cc2cc(c1)C(=O)N[C@@H](C[C@H](C)CCOCCCCN2)[C@H](O)CNCc3cc(ccc3)C(C)C,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 8||Collapse Assay||target_10||run_id 2""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 2"",""points"":[{""x"":1.37174e-11,""y"":105.89479064941406,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":4.11524e-11,""y"":92.11973571777344,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":1.23457e-10,""y"":86.67349243164062,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":3.7037e-10,""y"":96.79135131835938,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":1.11111e-9,""y"":91.93590545654297,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":3.33333e-9,""y"":77.27758026123047,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":1e-8,""y"":94.16787719726562,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":2.99999988e-8,""y"":81.6508560180664,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":9.00000004e-8,""y"":78.75809478759766,""outlier"":false,""marker"":""cross border"",""size"":5},{""x"":2.699999868e-7,""y"":89.1467514038086,""outlier"":false,""marker"":""cross border"",""size"":5}],""fitLineColor"":""#ffbb78"",""pointColor"":""#808080""}]}",383.9575195312500000,-10.0313892364501952,84.3938980102539064,95.4435424804687500,-8.91E0,compound_id 8||Collapse Assay||target_10,Collapse Assay,batch_id 8,compound_id 8,target_10,run_id 2,105.8947906494140624,151.6958923339843750
CC(C)c3cc(CNC[C@@H](O)[C@@H]2Cc1cc(ccc1)OCCCCCC(=O)N(C)[C@@H](C)C(=O)N2)ccc3,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 5||Neuronal Health Assay||target_9||run_id 1""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 1"",""points"":[{""x"":9.548552e-10,""y"":-3.0017571449279785,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.548552e-10,""y"":-1.6373724937438965,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0173424e-9,""y"":-7.707998752593994,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0173424e-9,""y"":-0.2127421349287032,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.5348024e-9,""y"":-7.052385330200195,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.5348024e-9,""y"":-0.3119701147079468,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0129975e-8,""y"":-8.498278617858887,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0129975e-8,""y"":-2.9556870460510254,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.52107158e-8,""y"":-8.200594902038574,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.52107158e-8,""y"":-3.933791399002075,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.00865878e-7,""y"":-2.381582260131836,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.00865878e-7,""y"":2.718027114868164,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.507361368e-7,""y"":-2.8316521644592285,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.507361368e-7,""y"":0.76536226272583,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000030043261176,""y"":-4.0259318351745605,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000030043261176,""y"":4.011534690856934,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000009493671314,""y"":2.101396083831787,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000009493671314,""y"":-0.0249177403748036,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000029999999242,""y"":-4.5858612060546875,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000029999999242,""y"":9.376933097839355,""outlier"":false,""marker"":""circle"",""size"":5}],""fitLineColor"":""#e377c2"",""pointColor"":""#808080""}]}",-9.3181905746459960,13.3989105224609376,-4.3537988662719728,0.5962626934051514,-6.60E0,compound_id 5||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 5,compound_id 5,target_9,run_id 1,9.3769330978393556,9.3769330978393556
COc4cc1cc(NCCCCc3cccc(C[C@H](NC1=O)[C@H](O)CNCc2cccc(c2)C(C)C)c3)n4,"{""chartOptions"":{""xAxisName"":""concentration"",""yAxisName"":""percent_inhibition"",""logX"":true,""title"":""compound_id 6||Neuronal Health Assay||target_9||run_id 1""},""series"":[{""fitFunction"":""4pl-dose-response"",""clickToToggle"":true,""droplines"":[""IC50""],""name"":""run_id 1"",""points"":[{""x"":9.548552e-10,""y"":-7.569788455963135,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.548552e-10,""y"":-2.420564651489258,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0173424e-9,""y"":-5.181229114532471,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0173424e-9,""y"":-5.886456489562988,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.5348024e-9,""y"":-15.78444766998291,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.5348024e-9,""y"":-2.95214319229126,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0129975e-8,""y"":-11.021504402160645,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.0129975e-8,""y"":-3.1045291423797607,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.52107158e-8,""y"":-12.694204330444336,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.52107158e-8,""y"":-6.371964931488037,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.00865878e-7,""y"":-9.66775131225586,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":3.00865878e-7,""y"":-6.0069475173950195,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.507361368e-7,""y"":-8.742804527282715,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":9.507361368e-7,""y"":-7.665472507476807,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000030043261176,""y"":-10.337539672851562,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.0000030043261176,""y"":-3.3455111980438232,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000009493671314,""y"":-2.331968307495117,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000009493671314,""y"":2.271501302719116,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000029999999242,""y"":-0.2658999860286712,""outlier"":false,""marker"":""circle"",""size"":5},{""x"":0.000029999999242,""y"":1.5627299547195437,""outlier"":false,""marker"":""circle"",""size"":5}],""fitLineColor"":""#7f7f7f"",""pointColor"":""#808080""}]}",-27.6266078948974608,4.0658335685729980,-7.4908456802368164,0.8168921470642090,-5.25E0,compound_id 6||Neuronal Health Assay||target_9,Neuronal Health Assay,batch_id 6,compound_id 6,target_9,run_id 1,2.2715013027191162,2.2715013027191162
