barcode,pos,SampleID,Concentration,Activity
LJ-PLATE-02,A1,SMP-097,0.1,99.1
LJ-PLATE-02,A2,SMP-098,0.1,98.7
LJ-PLATE-02,A3,SMP-099,0.1,99.3
LJ-PLATE-02,A4,SMP-100,0.1,98.5
LJ-PLATE-02,A5,SMP-101,0.1,98.9
LJ-PLATE-02,A6,SMP-102,0.1,99.0
LJ-PLATE-02,A7,SMP-103,0.1,98.6
LJ-PLATE-02,A8,SMP-104,0.1,98.8
LJ-PLATE-02,A9,SMP-105,0.1,98.4
LJ-PLATE-02,A10,SMP-106,0.1,98.5
LJ-PLATE-02,A11,SMP-107,0.1,99.2
LJ-PLATE-02,A12,SMP-108,0.1,98.7
LJ-PLATE-02,B1,SMP-109,0.5,95.4
LJ-PLATE-02,B2,SMP-110,0.5,94.8
LJ-PLATE-02,B3,SMP-111,0.5,95.1
LJ-PLATE-02,B4,SMP-112,0.5,94.9
LJ-PLATE-02,B5,SMP-113,0.5,95.5
LJ-PLATE-02,B6,SMP-114,0.5,94.7
LJ-PLATE-02,B7,SMP-115,0.5,95.2
LJ-PLATE-02,B8,SMP-116,0.5,94.6
LJ-PLATE-02,B9,SMP-117,0.5,95.0
LJ-PLATE-02,B10,SMP-118,0.5,94.8
LJ-PLATE-02,B11,SMP-119,0.5,95.3
LJ-PLATE-02,B12,SMP-120,0.5,94.9
LJ-PLATE-02,C1,SMP-121,1.0,89.7
LJ-PLATE-02,C2,SMP-122,1.0,88.9
LJ-PLATE-02,C3,SMP-123,1.0,89.5
LJ-PLATE-02,C4,SMP-124,1.0,89.1
LJ-PLATE-02,C5,SMP-125,1.0,89.8
LJ-PLATE-02,C6,SMP-126,1.0,88.8
LJ-PLATE-02,C7,SMP-127,1.0,89.3
LJ-PLATE-02,C8,SMP-128,1.0,89.0
LJ-PLATE-02,C9,SMP-129,1.0,89.6
LJ-PLATE-02,C10,SMP-130,1.0,88.7
LJ-PLATE-02,C11,SMP-131,1.0,89.4
LJ-PLATE-02,C12,SMP-132,1.0,89.2
LJ-PLATE-02,D1,SMP-133,2.0,81.5
LJ-PLATE-02,D2,SMP-134,2.0,80.8
LJ-PLATE-02,D3,SMP-135,2.0,81.2
LJ-PLATE-02,D4,SMP-136,2.0,80.9
LJ-PLATE-02,D5,SMP-137,2.0,81.6
LJ-PLATE-02,D6,SMP-138,2.0,80.7
LJ-PLATE-02,D7,SMP-139,2.0,81.3
LJ-PLATE-02,D8,SMP-140,2.0,81.0
LJ-PLATE-02,D9,SMP-141,2.0,81.4
LJ-PLATE-02,D10,SMP-142,2.0,80.6
LJ-PLATE-02,D11,SMP-143,2.0,81.7
LJ-PLATE-02,D12,SMP-144,2.0,81.1
LJ-PLATE-02,E1,SMP-145,5.0,72.3
LJ-PLATE-02,E2,SMP-146,5.0,71.5
LJ-PLATE-02,E3,SMP-147,5.0,72.0
LJ-PLATE-02,E4,SMP-148,5.0,71.8
LJ-PLATE-02,E5,SMP-149,5.0,72.4
LJ-PLATE-02,E6,SMP-150,5.0,71.4
LJ-PLATE-02,E7,SMP-151,5.0,72.1
LJ-PLATE-02,E8,SMP-152,5.0,71.7
LJ-PLATE-02,E9,SMP-153,5.0,72.2
LJ-PLATE-02,E10,SMP-154,5.0,71.3
LJ-PLATE-02,E11,SMP-155,5.0,72.5
LJ-PLATE-02,E12,SMP-156,5.0,71.9
LJ-PLATE-02,F1,SMP-157,10.0,60.1
LJ-PLATE-02,F2,SMP-158,10.0,59.2
LJ-PLATE-02,F3,SMP-159,10.0,59.8
LJ-PLATE-02,F4,SMP-160,10.0,59.5
LJ-PLATE-02,F5,SMP-161,10.0,60.3
LJ-PLATE-02,F6,SMP-162,10.0,59.1
LJ-PLATE-02,F7,SMP-163,10.0,59.9
LJ-PLATE-02,F8,SMP-164,10.0,59.4
LJ-PLATE-02,F9,SMP-165,10.0,60.2
LJ-PLATE-02,F10,SMP-166,10.0,59.0
LJ-PLATE-02,F11,SMP-167,10.0,60.4
LJ-PLATE-02,F12,SMP-168,10.0,59.7
LJ-PLATE-02,G1,SMP-169,25.0,45.6
LJ-PLATE-02,G2,SMP-170,25.0,44.7
LJ-PLATE-02,G3,SMP-171,25.0,45.2
LJ-PLATE-02,G4,SMP-172,25.0,44.9
LJ-PLATE-02,G5,SMP-173,25.0,45.8
LJ-PLATE-02,G6,SMP-174,25.0,44.6
LJ-PLATE-02,G7,SMP-175,25.0,45.3
LJ-PLATE-02,G8,SMP-176,25.0,45.0
LJ-PLATE-02,G9,SMP-177,25.0,45.5
LJ-PLATE-02,G10,SMP-178,25.0,44.5
LJ-PLATE-02,G11,SMP-179,25.0,45.9
LJ-PLATE-02,G12,SMP-180,25.0,45.1
LJ-PLATE-02,H1,SMP-181,50.0,20.4
LJ-PLATE-02,H2,SMP-182,50.0,19.5
LJ-PLATE-02,H3,SMP-183,50.0,20.0
LJ-PLATE-02,H4,SMP-184,50.0,19.8
LJ-PLATE-02,H5,SMP-185,50.0,20.6
LJ-PLATE-02,H6,SMP-186,50.0,19.4
LJ-PLATE-02,H7,SMP-187,50.0,20.1
LJ-PLATE-02,H8,SMP-188,50.0,19.7
LJ-PLATE-02,H9,SMP-189,50.0,20.3
LJ-PLATE-02,H10,SMP-190,50.0,19.3
LJ-PLATE-02,H11,SMP-191,50.0,20.7
LJ-PLATE-02,H12,SMP-192,50.0,19.9
