barcode,pos,SampleID,Concentration,Activity
LJ-PLATE-10,A1,SMP-193,0.01,98.5
LJ-PLATE-10,A2,SMP-194,0.01,97.2
LJ-PLATE-10,A3,SMP-195,0.02,95.1
LJ-PLATE-10,A4,SMP-196,0.02,96.3
LJ-PLATE-10,A5,SMP-197,0.05,91.8
LJ-PLATE-10,A6,SMP-198,0.05,90.4
LJ-PLATE-10,A7,SMP-199,0.1,88.2
LJ-PLATE-10,A8,SMP-200,0.1,87.5
LJ-PLATE-10,A9,SMP-201,0.2,85.0
LJ-PLATE-10,A10,SMP-202,0.2,84.1
LJ-PLATE-10,A11,SMP-203,0.5,80.3
LJ-PLATE-10,A12,SMP-204,0.5,79.9
LJ-PLATE-10,B1,SMP-205,0.01,99.0
LJ-PLATE-10,B2,SMP-206,0.01,98.1
LJ-PLATE-10,B3,SMP-207,0.02,96.5
LJ-PLATE-10,B4,SMP-208,0.02,95.8
LJ-PLATE-10,B5,SMP-209,0.05,92.5
LJ-PLATE-10,B6,SMP-210,0.05,91.7
LJ-PLATE-10,B7,SMP-211,0.1,89.0
LJ-PLATE-10,B8,SMP-212,0.1,88.1
LJ-PLATE-10,B9,SMP-213,0.2,86.2
LJ-PLATE-10,B10,SMP-214,0.2,85.3
LJ-PLATE-10,B11,SMP-215,0.5,81.5
LJ-PLATE-10,B12,SMP-216,0.5,80.7
LJ-PLATE-10,C1,SMP-217,1,75.4
LJ-PLATE-10,C2,SMP-218,1,74.9
LJ-PLATE-10,C3,SMP-219,2,70.1
LJ-PLATE-10,C4,SMP-220,2,69.5
LJ-PLATE-10,C5,SMP-221,5,65.8
LJ-PLATE-10,C6,SMP-222,5,64.3
LJ-PLATE-10,C7,SMP-223,10,60.2
LJ-PLATE-10,C8,SMP-224,10,59.9
LJ-PLATE-10,C9,SMP-225,20,55.7
LJ-PLATE-10,C10,SMP-226,20,54.8
LJ-PLATE-10,C11,SMP-227,50,51.6
LJ-PLATE-10,C12,SMP-228,50,50.2
LJ-PLATE-10,D1,SMP-229,1,76.1
LJ-PLATE-10,D2,SMP-230,1,75.5
LJ-PLATE-10,D3,SMP-231,2,71.2
LJ-PLATE-10,D4,SMP-232,2,70.8
LJ-PLATE-10,D5,SMP-233,5,66.3
LJ-PLATE-10,D6,SMP-234,5,65.1
LJ-PLATE-10,D7,SMP-235,10,61.0
LJ-PLATE-10,D8,SMP-236,10,60.4
LJ-PLATE-10,D9,SMP-237,20,56.1
LJ-PLATE-10,D10,SMP-238,20,55.3
LJ-PLATE-10,D11,SMP-239,50,52.0
LJ-PLATE-10,D12,SMP-240,50,51.1
LJ-PLATE-10,E1,SMP-241,1,45.9
LJ-PLATE-10,E2,SMP-242,1,44.8
LJ-PLATE-10,E3,SMP-243,2,40.3
LJ-PLATE-10,E4,SMP-244,2,39.9
LJ-PLATE-10,E5,SMP-245,5,35.7
LJ-PLATE-10,E6,SMP-246,5,34.6
LJ-PLATE-10,E7,SMP-247,10,30.1
LJ-PLATE-10,E8,SMP-248,10,29.8
LJ-PLATE-10,E9,SMP-249,20,25.4
LJ-PLATE-10,E10,SMP-250,20,24.9
LJ-PLATE-10,E11,SMP-251,50,21.2
LJ-PLATE-10,E12,SMP-252,50,20.5
LJ-PLATE-10,F1,SMP-253,1,46.2
LJ-PLATE-10,F2,SMP-254,1,45.3
LJ-PLATE-10,F3,SMP-255,2,41.0
LJ-PLATE-10,F4,SMP-256,2,40.1
LJ-PLATE-10,F5,SMP-257,5,36.1
LJ-PLATE-10,F6,SMP-258,5,35.2
LJ-PLATE-10,F7,SMP-259,10,31.3
LJ-PLATE-10,F8,SMP-260,10,30.5
LJ-PLATE-10,F9,SMP-261,20,26.0
LJ-PLATE-10,F10,SMP-262,20,25.5
LJ-PLATE-10,F11,SMP-263,50,22.0
LJ-PLATE-10,F12,SMP-264,50,21.3
LJ-PLATE-10,G1,SMP-265,1,15.8
LJ-PLATE-10,G2,SMP-266,1,14.7
LJ-PLATE-10,G3,SMP-267,2,12.4
LJ-PLATE-10,G4,SMP-268,2,11.9
LJ-PLATE-10,G5,SMP-269,5,10.1
LJ-PLATE-10,G6,SMP-270,5,9.8
LJ-PLATE-10,G7,SMP-271,10,8.5
LJ-PLATE-10,G8,SMP-272,10,8.1
LJ-PLATE-10,G9,SMP-273,20,7.0
LJ-PLATE-10,G10,SMP-274,20,6.6
LJ-PLATE-10,G11,SMP-275,50,5.4
LJ-PLATE-10,G12,SMP-276,50,5.1
LJ-PLATE-10,H1,SMP-277,1,16.2
LJ-PLATE-10,H2,SMP-278,1,15.5
LJ-PLATE-10,H3,SMP-279,2,13.0
LJ-PLATE-10,H4,SMP-280,2,12.5
LJ-PLATE-10,H5,SMP-281,5,10.8
LJ-PLATE-10,H6,SMP-282,5,10.3
LJ-PLATE-10,H7,SMP-283,10,9.0
LJ-PLATE-10,H8,SMP-284,10,8.7
LJ-PLATE-10,H9,SMP-285,20,7.5
LJ-PLATE-10,H10,SMP-286,20,7.1
LJ-PLATE-10,H11,SMP-287,50,6.0
LJ-PLATE-10,H12,SMP-288,50,5.8
LJ-PLATE-20,A1,SMP-289,0.01,97.8
LJ-PLATE-20,A2,SMP-290,0.01,96.5
LJ-PLATE-20,A3,SMP-291,0.02,94.4
LJ-PLATE-20,A4,SMP-292,0.02,95.6
LJ-PLATE-20,A5,SMP-293,0.05,91.1
LJ-PLATE-20,A6,SMP-294,0.05,89.7
LJ-PLATE-20,A7,SMP-295,0.1,87.5
LJ-PLATE-20,A8,SMP-296,0.1,86.8
LJ-PLATE-20,A9,SMP-297,0.2,84.3
LJ-PLATE-20,A10,SMP-298,0.2,83.4
LJ-PLATE-20,A11,SMP-299,0.5,79.6
LJ-PLATE-20,A12,SMP-300,0.5,79.2
LJ-PLATE-20,B1,SMP-301,0.01,98.3
LJ-PLATE-20,B2,SMP-302,0.01,97.4
LJ-PLATE-20,B3,SMP-303,0.02,95.8
LJ-PLATE-20,B4,SMP-304,0.02,95.1
LJ-PLATE-20,B5,SMP-305,0.05,91.8
LJ-PLATE-20,B6,SMP-306,0.05,91.0
LJ-PLATE-20,B7,SMP-307,0.1,88.3
LJ-PLATE-20,B8,SMP-308,0.1,87.4
LJ-PLATE-20,B9,SMP-309,0.2,85.5
LJ-PLATE-20,B10,SMP-310,0.2,84.6
LJ-PLATE-20,B11,SMP-311,0.5,80.8
LJ-PLATE-20,B12,SMP-312,0.5,80.0
LJ-PLATE-20,C1,SMP-313,1,74.7
LJ-PLATE-20,C2,SMP-314,1,74.2
LJ-PLATE-20,C3,SMP-315,2,69.4
LJ-PLATE-20,C4,SMP-316,2,68.8
LJ-PLATE-20,C5,SMP-317,5,65.1
LJ-PLATE-20,C6,SMP-318,5,63.6
LJ-PLATE-20,C7,SMP-319,10,59.5
LJ-PLATE-20,C8,SMP-320,10,59.2
LJ-PLATE-20,C9,SMP-321,20,55.0
LJ-PLATE-20,C10,SMP-322,20,54.1
LJ-PLATE-20,C11,SMP-323,50,50.9
LJ-PLATE-20,C12,SMP-324,50,49.5
LJ-PLATE-20,D1,SMP-325,1,75.4
LJ-PLATE-20,D2,SMP-326,1,74.8
LJ-PLATE-20,D3,SMP-327,2,70.5
LJ-PLATE-20,D4,SMP-328,2,70.1
LJ-PLATE-20,D5,SMP-329,5,65.6
LJ-PLATE-20,D6,SMP-330,5,64.4
LJ-PLATE-20,D7,SMP-331,10,60.3
LJ-PLATE-20,D8,SMP-332,10,59.7
LJ-PLATE-20,D9,SMP-333,20,55.4
LJ-PLATE-20,D10,SMP-334,20,54.6
LJ-PLATE-20,D11,SMP-335,50,51.3
LJ-PLATE-20,D12,SMP-336,50,50.4
LJ-PLATE-20,E1,SMP-337,1,45.2
LJ-PLATE-20,E2,SMP-338,1,44.1
LJ-PLATE-20,E3,SMP-339,2,39.6
LJ-PLATE-20,E4,SMP-340,2,39.2
LJ-PLATE-20,E5,SMP-341,5,35.0
LJ-PLATE-20,E6,SMP-342,5,33.9
LJ-PLATE-20,E7,SMP-343,10,29.4
LJ-PLATE-20,E8,SMP-344,10,29.1
LJ-PLATE-20,E9,SMP-345,20,24.7
LJ-PLATE-20,E10,SMP-346,20,24.2
LJ-PLATE-20,E11,SMP-347,50,20.5
LJ-PLATE-20,E12,SMP-348,50,19.8
LJ-PLATE-20,F1,SMP-349,1,45.5
LJ-PLATE-20,F2,SMP-350,1,44.6
LJ-PLATE-20,F3,SMP-351,2,40.3
LJ-PLATE-20,F4,SMP-352,2,39.4
LJ-PLATE-20,F5,SMP-353,5,35.4
LJ-PLATE-20,F6,SMP-354,5,34.5
LJ-PLATE-20,F7,SMP-355,10,30.6
LJ-PLATE-20,F8,SMP-356,10,29.8
LJ-PLATE-20,F9,SMP-357,20,25.3
LJ-PLATE-20,F10,SMP-358,20,24.8
LJ-PLATE-20,F11,SMP-359,50,21.3
LJ-PLATE-20,F12,SMP-360,50,20.6
LJ-PLATE-20,G1,SMP-361,1,15.1
LJ-PLATE-20,G2,SMP-362,1,14.0
LJ-PLATE-20,G3,SMP-363,2,11.7
