Col 1,Col 2,Col 3
BBB,<0.00,65.06
,,60.03
,0.63,57.52
BBB,<0.00,55.15
AAA,0.01,54.58
,0.23,53.38
,0.01,52.58
,<0.00,51.37
CCC,>0.75,48.92
,<0.00,47.89
d,0.01,47.26
d,0.12,46.83
,0.00,46.76
d,0.01,46.62
,0.11,46.37
e,>0.75,46.23
,0.01,45.97
,0.10,45.73
,0.02,45.55
CCC,0.12,45.09
AAA,0.00,44.69
,<0.00,44.58
f,<0.00,44.42
d,0.00,43.98
f,0.54,43.80
,0.03,43.70
,0.00,43.68
,0.00,43.54
d,0.03,42.89
,0.01,42.79
,0.47,42.75
AAA,0.13,42.29
CCC,>0.75,42.09
,<0.00,41.74
,0.01,41.50
f,0.03,41.19
CCC,0.75,41.06
,0.16,40.97
d,0.01,40.77
,0.04,39.88
CCC,>0.75,39.70
AAA,0.01,39.67
,0.12,39.67
,<0.00,39.28
AAA,0.00,38.86
,0.05,38.32
e,0.10,38.19
,0.05,38.15
CCC,>0.75,38.05
,0.41,38.01
,0.01,37.99
AAA,0.17,37.97
CCC,0.04,37.97
,0.09,37.35
,<0.00,36.92
d,0.01,36.86
,0.05,36.81
AAA,0.00,36.80
,0.03,36.72
f,0.01,36.71
CCC,>0.75,36.15
,0.02,35.68
,>0.75,35.65
,,35.59
,0.25,35.54
,0.58,35.31
,0.32,35.22
d,<0.00,35.00
,0.17,34.81
,0.61,34.80
,0.01,34.71
,,34.35
d,0.04,34.11
,0.46,34.08
,0.02,33.79
,0.24,33.61
,0.01,33.27
,>0.75,33.11
,0.00,32.91
AAA,0.01,32.72
CCC,>0.75,32.54
,0.14,32.53
,0.38,32.49
,0.19,32.45
,<0.00,32.32
,0.02,32.23
,0.30,32.21
,,32.15
e,,32.12
,0.01,31.96
,0.23,31.70
,<0.00,31.67
,0.21,31.65
e,0.09,31.46
,<0.00,31.42
,0.01,31.21
,0.06,30.78
,0.73,30.74
u ,0.16,30.64
,<0.00,30.61
d,0.01,30.50
,<0.00,30.40
,0.05,30.23
,0.63,30.15
AAA,0.00,30.11
,0.01,30.07
,,30.02
,0.01,30.00
CCC,>0.75,29.72
e,0.50,29.66
e,,29.63
,0.02,29.46
,,29.38
,0.00,29.26
CCC,>0.75,29.22
BBB,>0.75,29.15
AAA,0.00,29.08
,0.17,29.07
,<0.00,29.07
,0.01,28.94
,0.17,28.83
,<0.00,28.70
,0.00,28.58
AAA,0.04,28.27
,0.47,28.21
,0.00,28.16
,0.20,28.06
d,,28.03
,0.05,27.84
,0.09,27.83
,0.55,27.74
d,0.01,27.65
CCC,>0.75,27.51
d,<0.00,27.51
,0.31,27.28
,0.11,27.12
CCC,>0.75,27.08
,0.16,27.03
,0.05,26.99
,<0.00,26.88
,0.02,26.85
,0.31,26.82
e,,26.62
,0.01,26.60
CCC,0.58,26.53
d,0.06,26.26
,0.36,26.25
u ,0.15,26.25
,0.04,26.24
CCC,>0.75,26.23
e,0.44,26.16
CCC,>0.75,26.12
CCC,,26.00
,<0.00,25.98
u ,0.80,25.96
,0.38,25.83
,0.02,25.65
f,<0.00,25.65
,0.16,25.63
d,<0.00,25.36
,0.01,25.33
d,<0.00,25.00
f,0.17,24.67
AAA,,24.49
e,0.06,24.17
Pyrazine,0.07,24.14
,0.31,24.13
e,0.44,24.07
,0.11,23.76
,0.19,23.68
,>0.75,23.67
,0.09,23.44
,0.01,23.41
u ,0.32,23.38
d,0.02,23.29
,0.61,23.11
CCC,0.57,22.91
f,0.03,22.87
e,0.08,22.87
,0.44,22.82
,0.01,22.73
,0.11,22.69
,0.00,22.66
,0.00,22.63
u ,>0.75,22.51
f,0.02,22.47
,0.52,22.40
u ,,22.32
,0.01,22.30
Pyrazine,>0.75,22.02
CCC,0.42,21.86
u ,,21.68
u ,,21.64
,0.02,21.63
u ,0.26,21.60
,0.32,21.56
d,0.01,21.55
,0.04,21.28
AAA,0.35,21.26
,0.49,21.15
CCC,0.48,20.96
u ,,20.85
d,0.09,20.83
e,,20.80
,0.14,20.76
u ,>0.20,20.41
,<0.00,20.37
,0.01,20.35
u ,0.48,20.23
,0.18,20.22
,<0.00,20.15
u ,>1.00,20.06
d,0.14,19.90
,0.34,19.82
u ,,19.75
,0.07,19.75
u ,>0.20,19.74
,<0.00,19.71
,0.25,19.71
u ,0.03,19.68
u ,>0.20,19.55
e,0.11,19.47
,>0.75,19.46
d,0.08,19.31
u ,>0.20,19.28
,0.17,19.14
,0.04,19.11
,<0.00,19.08
d,0.00,19.04
,>0.75,19.04
u ,,19.03
u ,,18.89
AAA,0.06,18.88
CCC,0.75,18.86
f,0.17,18.70
,0.01,18.54
u ,,18.50
u ,0.26,18.49
,,18.46
,0.06,18.07
u ,,18.06
,>0.75,18.03
,>0.75,17.93
u ,,17.88
u ,,17.80
u ,>0.20,17.80
Pyrazine,>0.75,17.78
u ,,17.70
u ,>0.20,17.65
AAA,0.34,17.60
,0.00,17.54
,0.71,17.51
,0.59,17.49
mmm,0.00,17.31
d,0.03,17.29
u ,,17.29
u ,>0.20,17.14
u ,,16.98
AAA,>1.00,16.98
u ,>0.20,16.84
u ,>0.20,16.67
,<0.00,16.66
u ,>0.20,16.43
,0.07,16.31
,0.22,16.30
,<0.00,16.24
,0.64,16.19
,0.32,16.09
u ,0.27,16.09
,0.69,16.03
d,0.43,15.82
u ,,15.68
u ,,15.61
u ,,15.59
d,<0.00,15.53
,0.15,15.51
,0.02,15.48
u ,0.31,15.46
u ,,15.28
,>0.75,15.24
u ,,15.06
u ,,15.02
u ,>0.20,14.89
u ,>0.20,14.80
e,,14.74
u ,>0.20,14.66
d,0.01,14.57
u ,>0.20,14.49
u ,,14.37
u ,,14.34
,>0.75,14.31
u ,,14.29
u ,,14.28
u ,,14.22
u ,,14.18
AAA,0.32,14.17
u ,,14.11
f,0.04,14.00
u ,>0.20,13.99
CCC,0.56,13.77
u ,>0.20,13.75
u ,0.89,13.71
,,13.53
,0.65,13.46
,0.54,13.39
u ,,13.31
u ,>0.20,13.27
d,0.04,13.26
u ,0.11,13.23
u ,>0.20,13.20
f,0.02,13.15
u ,,12.98
u ,,12.97
u ,>0.20,12.83
u ,,12.75
,0.19,12.71
d,0.05,12.60
,<0.00,12.18
u ,>0.20,12.15
u ,>0.20,12.15
,0.01,12.12
u ,,12.11
mmm,,12.10
,0.14,12.09
u ,,12.07
,>0.20,11.92
,0.67,11.89
mmm,<0.00,11.89
u ,0.17,11.87
u ,>0.20,11.83
u ,>0.20,11.78
u ,,11.67
u ,>0.20,11.61
,0.00,11.58
u ,,11.49
u ,>0.20,11.40
u ,0.49,11.37
,<0.00,11.31
u ,>0.20,11.26
u ,>0.20,11.07
u ,0.18,10.86
u ,0.01,10.73
u ,>0.20,10.71
u ,>0.20,10.68
u ,,10.58
u ,>0.20,10.48
,>0.75,10.37
u ,0.20,10.27
u ,0.20,10.25
,>0.75,9.92
,0.00,9.83
,>0.75,9.54
d,0.28,9.53
u ,>0.20,9.49
u ,0.58,9.47
u ,,9.35
AAA,0.18,9.35
u ,>0.20,9.24
u ,,9.15
u ,>0.20,9.05
u ,>0.75,8.84
MHT,0.05,8.80
u ,0.09,8.73
u ,>0.20,8.72
u ,,8.66
u ,,8.63
u ,0.08,8.61
u ,>0.20,8.58
u ,>0.20,8.56
,0.74,8.53
u ,>0.20,8.37
,,8.28
u ,0.18,8.15
u ,,8.07
u ,,7.88
u ,,7.86
u ,>0.20,7.85
u ,,7.77
u ,0.23,7.75
u ,,7.71
u ,,7.59
u ,0.12,7.54
u ,>0.20,7.48
u ,>0.20,7.36
u ,>0.20,7.04
u ,>0.20,6.90
u ,>0.25,6.89
u ,>0.20,6.87
u ,0.20,6.79
u ,>0.20,6.78
