ColA,ColB
,58.2430419921875
343.00,58.2430419921875
8.40,39.53575897216797
,39.53575897216797
2.97,39.53575897216797
,39.53575897216797
68.00,
,
,
,
,64.49164581298828
75.20,64.49164581298828
310.00,39.53575897216797
,39.53575897216797
,39.53575897216797
62.10,39.53575897216797
28.00,19.57293128967285
,19.57293128967285
195.00,34.609928131103516
,85.31365203857422
23.61,85.31365203857422
,85.31365203857422
5.09,62.93315124511719
,85.31365203857422
,62.93315124511719
,85.31365203857422
3.95,62.93315124511719
,85.31365203857422
,85.31365203857422
,85.31365203857422
,85.31365203857422
,85.31365203857422
,85.31365203857422
15.99,85.31365203857422
,67.15483093261719
7.77,67.15483093261719
10.00,41.790679931640625
5.79,67.15483093261719
,67.15483093261719
,
,
169.00,34.609928131103516
112.00,37.13214111328125
7.91,52.4453125
28.30,73.33123779296875
,73.33123779296875
8.92,65.94999694824219
17.10,37.68539047241211
,57.408084869384766
,57.408084869384766
,57.408084869384766
5.76,57.408084869384766
,57.408084869384766
,37.68539047241211
,51.286319732666016
34.00,51.1404914855957
,51.286319732666016
,51.286319732666016
,51.286319732666016
7.57,51.286319732666016
12.90,65.5712890625
,34.609928131103516
,83.5672378540039
,83.5672378540039
24.50,66.03230285644531
19.90,34.609928131103516
,47.211978912353516
,47.211978912353516
8.02,47.211978912353516
154.00,42.76112365722656
,42.76112365722656
,
,
,
,
,
,
9.67,
,
,57.75782012939453
9.00,57.75782012939453
,19.518327713012695
,19.518327713012695
,19.518327713012695
5.98,19.518327713012695
,48.27851486206055
34.60,48.27851486206055
,34.609928131103516
26.80,82.52517700195312
6.31,60.036434173583984
,82.52517700195312
,43.55433654785156
6.56,43.55433654785156
24.00,40.71479415893555
,40.71479415893555
,46.136634826660156
26.80,58.571258544921875
,58.571258544921875
,68.69759368896484
3.09,68.69759368896484
10.80,41.918270111083984
,41.918270111083984
,47.31534957885742
,48.44611740112305
,48.44611740112305
,48.44611740112305
,48.44611740112305
14.70,18.152202606201172
28.60,47.31534957885742
,18.152202606201172
44.87,48.44611740112305
25.70,16.3999080657959
,16.3999080657959
,48.44611740112305
,48.44611740112305
,47.31534957885742
,48.44611740112305
,47.31534957885742
,47.100799560546875
,39.53575897216797
248.00,39.53575897216797
,34.609928131103516
,34.609928131103516
,89.80560302734375
67.94,89.80560302734375
5.76,89.80560302734375
5.88,52.194374084472656
,27.740163803100586
3.44,52.194374084472656
,89.80560302734375
21.00,27.740163803100586
17.12,89.80560302734375
,89.80560302734375
,89.80560302734375
,89.80560302734375
,27.740163803100586
,89.80560302734375
72.48,89.80560302734375
43.14,89.80560302734375
,89.80560302734375
45.55,89.80560302734375
3.75,89.80560302734375
,89.80560302734375
,27.740163803100586
,89.80560302734375
,89.80560302734375
,89.80560302734375
,52.194374084472656
,89.80560302734375
,89.80560302734375
,89.80560302734375
,89.80560302734375
,89.80560302734375
26.41,89.80560302734375
,44.20981979370117
,40.81385040283203
,40.81385040283203
112.47,38.21826171875
34.05,38.21826171875
,38.21826171875
67.52,44.50045394897461
,38.21826171875
,38.21826171875
76.94,44.50045394897461
20.35,38.21826171875
,46.708282470703125
16.40,46.708282470703125
,78.03681182861328
,78.03681182861328
,24.391786575317383
28.00,62.00831985473633
60.70,25.97515106201172
,62.00831985473633
30.70,77.0875015258789
3.86,24.391786575317383
,77.0875015258789
,24.391786575317383
,62.00831985473633
20.10,62.00831985473633
,25.97515106201172
,91.96876525878906
68.00,91.96876525878906
,78.32882690429688
51.40,78.32882690429688
,39.53575897216797
,39.53575897216797
,
26.60,
,39.53575897216797
,39.53575897216797
,44.10054397583008
,44.10054397583008
,39.53575897216797
4.15,36.77894973754883
,39.53575897216797
,39.53575897216797
,39.53575897216797
5.81,39.53575897216797
,39.53575897216797
95.40,48.00987243652344
,48.00987243652344
39.10,46.01818084716797
,114.3624496459961
,
50.30,114.3624496459961
,34.609928131103516
,
,114.3624496459961
9.49,
,57.37425231933594
1.88,43.87189483642578
,57.37425231933594
,43.87189483642578
14.70,39.53575897216797
,39.53575897216797
,39.53575897216797
,39.53575897216797
,39.53575897216797
4.81,34.609928131103516
4.87,39.53575897216797
13.60,52.12203598022461
17.60,57.9448356628418
,57.9448356628418
31.90,71.42156219482422
,71.42156219482422
,71.42156219482422
,71.42156219482422
84.60,39.53575897216797
,39.53575897216797
,18.697317123413086
,39.53575897216797
,39.53575897216797
,39.53575897216797
,39.53575897216797
3.61,39.53575897216797
,39.53575897216797
,75.99259948730469
2.47,75.99259948730469
,46.349510192871094
267.00,39.53575897216797
,39.53575897216797
26.10,54.273075103759766
,54.273075103759766
134.00,39.53575897216797
,39.53575897216797
,12.192670822143555
,57.53878402709961
,12.192670822143555
31.60,57.53878402709961
,62.25876235961914
,62.25876235961914
6.17,12.192670822143555
,62.25876235961914
,57.53878402709961
,57.53878402709961
5.76,62.25876235961914
,54.54600143432617
31.70,54.54600143432617
,54.54600143432617
21.90,49.43940734863281
,47.67650604248047
27.00,47.67650604248047
24.50,47.67650604248047
,47.67650604248047
,49.43940734863281
,68.8700942993164
222.00,68.8700942993164
69.90,34.609928131103516
,61.47596740722656
5.34,42.8408203125
,61.47596740722656
,61.47596740722656
,61.47596740722656
,61.47596740722656
,61.47596740722656
24.50,
,
,39.53575897216797
,39.53575897216797
,
,
3.79,
,
,
,
,
3.07,37.43079376220703
,37.43079376220703
,
,57.08871841430664
21.70,39.53575897216797
,39.53575897216797
