DRUGBANK_ID,COMMON_NAME,CAS_NUMBER,UNII,SYNONYMS,Smiles
DB15994,Methane,74-82-8,OP0UW79H66,,C
DB09278,Activated charcoal,64365-11-3,2P3VWU3H10,"Activated carbon; Carbo activates; Carbo activatus; Carbo vegetabilis; Carbon; Carbón activado; Carbon, Activated; Carbon, decolorizing; carbono; Charcoal activated; Charcoal-activated; Charcoal, Activated; Charcoal,activated; Medicinal carbon; Medicinal charcoal",[C]
DB12091,Gadolinium,7440-54-2,AU0V1LM3JT,gadolinio,[Gd]
DB14085,Cadmium,7440-43-9,00BH33GNGH,"cadmio; Cadmium metal; Cadmium metallicum; Cadmium, elemental; Colloidal cadmium; Elemental cadmium; Kadmium",[Cd]
DB11136,Chromium,7440-47-3,0R0008Q3JB,"Biochrome; Chrom; Chromium, elemental; Cromo; Dinakrome",[Cr]
DB11140,Chromium Cr-51,14392-02-0,9QAU17N705,Chromium (51 Cr); Chromium Cr 51; Chromium-51,[51Cr]
DB12813,Radium Ra-223,15623-45-7,8BR2SOL3L1,Radium-223,[223Ra]
DB12481,Barium,7440-39-3,24GP945V5T,Ba,[Ba]
DB09443,Krypton Kr 81m,15678-91-8,68QN45K12N,"Krypton (81M Kr); Krypton (81mKr); Krypton (81mKr) gas; Krypton Kr 81m; Krypton, isotope of mass 81; Krypton, Kr-81m",[81Kr]
DB01373,Calcium,7440-70-2,SY7Q814VUP,"Calcio; Calcium, elemental; Elemental calcium; Kalzium",[Ca]
DB14513,Magnesium,7439-95-4,I38ZP9992A,Magnesio; Magnésium; Magnesium metallicum; Magnesium powder; Mg,[Mg]
DB15318,Neodymium,7440-00-8,2I87U3734A,,[Nd]
DB09155,Helium,7440-59-7,206GF3GB41,[He]; atomic helium; Helium,[He]
DB12940,Helium He-3,14762-55-1,I83W8ELB18,"Helium-3; Helium, He-3",[3He]
DB11135,Selenium,7782-49-2,H6241UJ22B,"Selen; Selenio; Sélénium; Selenium elemental; Selenium metallicum; Selenium, elemental",[Se]
DB11589,Neon,09/01/7440,4VB4Y46AHD,Ne; neón; néon; Neon,[Ne]
DB11137,Molybdenum,7439-98-7,81AH48963U,molibdeno,[Mo]
DB01592,Iron,7439-89-6,E1UOL152H7,"Carbonyl iron; Eisen; Electrolytic iron; Fe; fer; Ferrum; Ferrum metallicum; Hierro; Iron powder; Iron, carbonyl; Iron, electrolytic; Iron, elemental; Iron, reduced; Reduced iron",[Fe]
DB14160,Titanium,7440-32-6,D1JT611TNE,Titan; Titane; Titanio; Titanium element; Titanium metallicum,[Ti]
DB13453,Xenon,7440-63-3,3H3U766W84,Xenon,[Xe]
DB09315,Xenon-133,14932-42-4,X3P9A5HNYF,"Xenon (133 xe); Xenon (133Xe); Xenon (133Xe) gas; Xenon Xe 133; Xenon XE-133; Xenon, Xe-133",[133Xe]
DB09461,Xenon Xe-127,13994-19-9,H95KBR1GDB,Xenon Xe 127; Xenon Xe-127; Xenon-127,[127Xe]
DB12982,Silicon,7440-21-3,Z4152N8IUI,silicio,[Si]
DB12257,Platinum,04/06/7440,49DFR088MY,platino,[Pt]
DB15016,Palladium Pd-103,14967-68-1,68QTV136DF,,[103Pd]
DB01593,Zinc,7440-66-6,J41CSQ7QDS,"Zinc, chelated; Zinc, elemental; Zincum metallicum; Zn",[Zn]
DB12403,Samarium,7440-19-9,42OD65L39F,samario,[Sm]
DB12905,Samarium Sm-153,15766-00-4,6Q1KA41UWM,153SM; Samarium 153; Samarium Sm153; Samarium-153; SM-153,[153Sm]
DB12993,Berkelium,7440-40-6,2YQA718KUU,berkelio; Bk,[Bk]
DB13366,Hydrochloric acid,7647-01-0,QTT17582CB,Chlorowodor; Chlorure d'hydrogène; Chlorwasserstoff; Cloruro de hidrógeno; Hydrochloric acid; Hydrogenchlorid; Wasserstoffchlorid,Cl
DB15361,Thallium Tl-201,15064-65-0,H91Z8HBK1B,THALLIUM-201,[201Tl]
DB11659,Indium,7440-74-6,045A6V3VFX,indio,[In]
DB11916,Indium In-111,15750-15-9,E9NGC49E0T,Indium (111 In),[111In]
DB11072,Hydrogen fluoride,7664-39-3,RGL5YE86CZ,"fluorure d'hydrogène; Fluorwasserstoff; Hydrofluoric acid; Hydrogen fluoride, anhydrous; Hydrogenfluorid",F
DB13134,Fluorine F-18,13981-56-1,GZ5I74KB8G,Fluorine-18,[18F]
DB12859,Tantalum,7440-25-7,6424HBN274,Ta; tántalo,[Ta]
DB13031,Niobium,01/03/7440,05175J654G,columbio; Nb; niobio,[Nb]
DB12860,Actinium,7440-34-8,NIK1K0956U,Ac; actinio,[Ac]
DB11203,Boron,7440-42-8,N9E3X5056Q,Bor; Boracium; Bore; Boro,[B]
DB11346,Rubidium,7440-17-7,MLT4718TJW,rubidio,[Rb]
DB15778,Hydrogen iodide,10034-85-2,694C0EFT9Q,"Acide iodhydrique; Acido yodhidrico; Hydriodic acid; Hydrogen iodide, anhydrous",I
DB14804,Iodine I-125,14158-31-7,GVO776611R,125-IODINE,[125I]
DB01370,Aluminium,7429-90-5,CPD4NFA903,Al; Aluminio; Aluminium; Aluminium atom; Aluminium metallicum; Aluminum; Aluminum metal; Aluminum powder; Metallic aluminum,[AlH3]
DB09130,Copper,7440-50-8,789U1901C5,cobre; cuivre; cuprum; Kupfer,[Cu]
DB13980,Copper Cu-64,13981-25-4,2MK2L64N0S,"Copper, Cu-64",[64Cu]
DB14500,Potassium,07/09/7440,RWP5GA015D,"K; Kalium; Potasio; Potassium metal; Potassium, elemental; Potassium, metal",[K]
DB13110,Antimony,7440-36-0,9IT35J3UV3,antimonio,[Sb]
DB14227,Technetium Tc-99m,14133-76-7,6EW75241VU,"99Tc; Tc 99; Technetium (99mTc); Technetium (Tc 99m); Technetium 99m; Technetium Tc 99m; Technetium-99; Technetium-99m; Technetium-99mTc; Technetium, isotope of mass 99; Technetium, Tc-99m; Technetium,Tc-99m",[99Tc]
DB14574,Cobalt,7440-48-4,3G0H8C9362,"Cobalt; Cobalt, elemental; Cobalto; Cobaltum; Kobalt",[Co]
DB15374,Cobalt Co-60,10198-40-0,5C8182XDPZ,,[60Co]
DB13982,Lutetium Lu-177,14265-75-9,BRH40Y9V1Q,177Lu; Lu 177; Lu-177; Lutetium-177,[177Lu]
DB13076,Yttrium Y-90,10098-91-6,1K8M7UR6O1,Yttrium (90 Y); Yttrium (90Y); Yttrium Y 90; Yttrium-90,[90Y]
DB13971,Vanadium,7440-62-2,00J9J9XKDE,"vanadio; Vanadium metallicum; Vanadium, elemental",[V]
DB15392,Cesium,7440-46-2,1KSV9V4Y4I,,[Cs]
DB14551,Phosphorus P-32,14596-37-3,690284A407,"P-32; Phosphorus-32; Phosphorus, P-32",[32PH3]
DB14151,Phosphorus,7723-14-0,27YLU75U4W,"Phosphorous; Phosphorus, elemental",[P]
DB14154,Gold,7440-57-5,79Y1949PYO,"Aurum metallicum; Colloidal gold; Gold flake; Gold leaf; Gold powder; Gold, colloidal; Gold, elemental",[Au]
DB13427,Gold Au-198,10043-49-9,027828ZV5Q,"Aureotope; Gold (198 Au); Gold (198 Au) colloidal; Gold (198Au) colloidal; Gold Au 198; Gold-198; Gold, Au-198; Gold, radioactive, colloidal",[198Au]
DB12965,Silver,7440-22-4,3M4G523W1G,"Argentum metallicum; Colloidal silver; Nanosilver; Silver colloidal; Silver nanoparticles; Silver, colloidal",[Ag]
DB14578,Gadolinium cation (3+),22541-19-1,AZV954TZ9N,Gadolinium(3+); gadolinium(3+) ion; gadolinium(III) cation,[Gd+3]
DB14525,Chromic cation,16065-83-1,X1N4508KF1,"Chromic ion; Chromium (3+); Chromium cation (3+); Chromium cation (Cr3+); Chromium ion (3+); Chromium, ion (Cr3+); Chromium(III); Chromium(III) cation; Chromium(III) ion; Cr3+",[Cr+3]
DB14571,Radium Ra-223 cation,,9H414A99MD,"Radium-223 ion(2+); Radium, isotope of mass 223 (223Ra2+)",[223Ra+2]
DB14577,Calcium cation,14127-61-8,2M83C4R6ZB,Calcium (2+); Calcium ions; calcium(2+) ion; Calcium(2+)ions,[Ca+2]
DB01378,Magnesium cation,22537-22-0,T6V3LHY838,"Magnesium ion; Magnesium, ion(Mg2+)",[Mg+2]
DB14204,Nickel cation,14701-22-5,OIS2CXW7AM,"Nickel cation (Ni2+); Nickel ion(2+); Nickel, ion (Ni2+); Nickel(2+); Nickel(2+) ion; Nickel(II) cation; Nickel(II) ion; Nickelous ion",[Ni+2]
DB14510,Ferrous cation,15438-31-0,GW89581OWR,"Fe2+; Ferrous ion; Iron, ion (Fe2+); Iron(2+); Iron(2+) ion; Iron(II) ion",[Fe+2]
DB13949,Ferric cation,20074-52-6,91O4LML611,FE (III) ION; Fe(III); Ferric ion; iron(3+),[Fe+3]
DB14536,Strontium cation Sr-89,,06A33308KH,Strontium (89Sr) cation; Strontium Sr-89 cation; Strontium-89,[89Sr+2]
DB14532,Zinc cation,23713-49-7,13S1S8SF37,"Zinc ion; Zinc ion(2+); Zinc, ion (Zn2+); Zinc(2+); Zinc(II)",[Zn+2]
DB14547,Chloride ion,16887-00-6,Q32ZN48698,Chloride; Chloride (ion); Chloride ions; Chloride(1-); Chlorine anion,[Cl-]
DB14576,Thallous cation Tl-201,,4877X14G4C,Thallium cation Tl-201; Thallium cation Tl-201 (1+); Thallous ion Tl-201,[201Tl+]
DB14535,Indium cation In-111,131391-70-3,WJZ06C0H8L,"Indium (111In) cation; Indium cation In 111; Indium cation In-111 (3+); Indium In-111 cation; Indium-111 cation; Indium, ion (In3+) In-111",[111In+3]
DB11257,Fluoride ion,16984-48-8,Q80VPU408O,,[F-]
DB09398,Fluoride ion F-18,67862-54-8,4M4WE5N2GE,(18F)-Fluoride; 18F-Fluoride; Fluoride-18 anion,[18F-]
