Animal,Sex,Dose_ppm,Dose_label,Days_on_study,Terminal_BW_g,Removal_reason,is_control
101,F,0,Vehicle Control,94,248.8,Terminal Sacrifice,True
102,F,0,Vehicle Control,94,249.4,Terminal Sacrifice,True
103,F,0,Vehicle Control,94,255.6,Terminal Sacrifice,True
104,F,0,Vehicle Control,94,216.0,Terminal Sacrifice,True
105,F,0,Vehicle Control,94,239.1,Terminal Sacrifice,True
106,F,0,Vehicle Control,94,235.3,Terminal Sacrifice,True
107,F,0,Vehicle Control,94,219.6,Terminal Sacrifice,True
108,F,0,Vehicle Control,94,265.1,Terminal Sacrifice,True
109,F,0,Vehicle Control,94,226.3,Terminal Sacrifice,True
110,F,0,Vehicle Control,94,241.7,Terminal Sacrifice,True
301,F,125,125ppm,94,236.8,Terminal Sacrifice,False
302,F,125,125ppm,94,253.7,Terminal Sacrifice,False
303,F,125,125ppm,94,258.6,Terminal Sacrifice,False
304,F,125,125ppm,94,248.1,Terminal Sacrifice,False
305,F,125,125ppm,94,249.8,Terminal Sacrifice,False
306,F,125,125ppm,94,259.5,Terminal Sacrifice,False
307,F,125,125ppm,94,227.6,Terminal Sacrifice,False
308,F,125,125ppm,94,221.3,Terminal Sacrifice,False
309,F,125,125ppm,94,274.9,Terminal Sacrifice,False
310,F,125,125ppm,94,258.2,Terminal Sacrifice,False
501,F,250,250ppm,94,224.7,Terminal Sacrifice,False
502,F,250,250ppm,94,265.3,Terminal Sacrifice,False
503,F,250,250ppm,94,266.7,Terminal Sacrifice,False
504,F,250,250ppm,94,285.0,Terminal Sacrifice,False
505,F,250,250ppm,94,250.2,Terminal Sacrifice,False
506,F,250,250ppm,94,245.4,Terminal Sacrifice,False
507,F,250,250ppm,94,240.6,Terminal Sacrifice,False
508,F,250,250ppm,94,266.6,Terminal Sacrifice,False
509,F,250,250ppm,94,242.0,Terminal Sacrifice,False
510,F,250,250ppm,94,259.8,Terminal Sacrifice,False
701,F,500,500ppm,94,251.2,Terminal Sacrifice,False
702,F,500,500ppm,94,267.9,Terminal Sacrifice,False
703,F,500,500ppm,94,267.3,Terminal Sacrifice,False
704,F,500,500ppm,94,264.6,Terminal Sacrifice,False
705,F,500,500ppm,94,262.7,Terminal Sacrifice,False
706,F,500,500ppm,94,288.8,Terminal Sacrifice,False
707,F,500,500ppm,94,243.7,Terminal Sacrifice,False
708,F,500,500ppm,94,262.6,Terminal Sacrifice,False
709,F,500,500ppm,94,241.7,Terminal Sacrifice,False
710,F,500,500ppm,94,238.7,Terminal Sacrifice,False
901,F,1000,1000ppm,94,257.7,Terminal Sacrifice,False
902,F,1000,1000ppm,94,249.3,Terminal Sacrifice,False
903,F,1000,1000ppm,94,253.9,Terminal Sacrifice,False
904,F,1000,1000ppm,94,228.6,Terminal Sacrifice,False
905,F,1000,1000ppm,94,290.8,Terminal Sacrifice,False
