Animal,Sex,Dose_mgkg,is_control,TBW_g,Liver_g,RelLiver_pct,Heart_g,Kidney_R_g,Lungs_g,Thymus_g,Testis_R_g,Removal Day
61,F,0,True,30.8,1.44,4.6753,0.18,0.16,0.31,0.056,,SD92
62,F,0,True,29.4,1.27,4.3197,0.19,0.16,0.3,0.046,,SD92
63,F,0,True,30.0,1.4,4.6667,0.2,0.18,0.37,0.064,,SD92
64,F,0,True,30.1,1.41,4.6844,0.2,0.14,0.27,0.055,,SD92
65,F,0,True,27.4,1.16,4.2336,0.17,0.16,0.31,0.06,,SD92
66,F,0,True,25.1,1.14,4.5418,0.15,0.15,0.29,0.041,,SD92
67,F,0,True,28.1,1.3,4.6263,0.19,0.15,0.25,0.045,,SD92
68,F,0,True,27.2,1.29,4.7426,0.19,0.17,0.34,0.047,,SD92
69,F,0,True,37.2,1.45,3.8978,0.2,0.18,0.32,0.055,,SD92
70,F,0,True,26.1,1.15,4.4061,0.18,0.16,0.28,0.048,,SD92
71,F,156,False,25.9,1.18,4.556,0.18,0.16,0.31,0.049,,SD92
72,F,156,False,27.5,1.16,4.2182,0.13,0.15,0.25,0.051,,SD92
73,F,156,False,27.6,1.48,5.3623,0.17,0.18,0.38,0.047,,SD92
74,F,156,False,27.7,1.24,4.4765,0.19,0.17,0.25,0.055,,SD92
75,F,156,False,32.5,1.36,4.1846,0.17,0.17,0.3,0.043,,SD92
76,F,156,False,28.6,1.29,4.5105,0.18,0.16,0.42,0.061,,SD92
77,F,156,False,30.3,1.34,4.4224,0.18,0.17,0.3,0.057,,SD92
78,F,156,False,28.0,1.31,4.6786,0.16,0.15,0.33,0.061,,SD92
79,F,156,False,29.4,1.42,4.8299,0.17,0.18,0.3,0.043,,SD92
80,F,156,False,26.9,1.37,5.0929,0.17,0.16,0.29,0.045,,SD92
81,F,312,False,29.2,1.47,5.0342,0.16,0.16,0.29,0.047,,SD92
82,F,312,False,28.8,1.26,4.375,0.16,0.16,0.29,0.052,,SD92
83,F,312,False,25.9,1.29,4.9807,0.19,0.16,0.32,0.037,,SD92
84,F,312,False,27.6,1.28,4.6377,0.17,0.16,0.23,0.049,,SD92
85,F,312,False,25.8,1.17,4.5349,0.17,0.16,0.34,0.047,,SD92
86,F,312,False,31.8,1.49,4.6855,0.16,0.18,0.31,0.05,,SD92
87,F,312,False,27.7,1.33,4.8014,0.18,0.17,0.32,0.049,,SD92
88,F,312,False,27.3,1.36,4.9817,0.15,0.15,0.3,0.051,,SD92
89,F,312,False,31.1,1.4,4.5016,0.17,0.19,0.34,0.05,,SD92
90,F,312,False,27.2,1.43,5.2574,0.2,0.17,0.35,0.052,,SD92
91,F,625,False,31.2,1.63,5.2244,0.17,0.2,0.32,0.056,,SD92
92,F,625,False,30.9,1.51,4.8867,0.18,0.17,0.33,0.065,,SD92
93,F,625,False,26.4,1.24,4.697,0.18,0.17,0.28,0.048,,SD92
94,F,625,False,26.7,1.3,4.8689,0.19,0.16,0.3,0.046,,SD92
95,F,625,False,26.0,1.28,4.9231,0.17,0.16,0.3,0.048,,SD92
96,F,625,False,29.2,1.4,4.7945,0.19,0.17,0.26,0.053,,SD92
97,F,625,False,27.1,1.39,5.1292,0.15,0.16,0.3,0.047,,SD92
98,F,625,False,27.9,1.31,4.6953,0.17,0.17,0.23,0.042,,SD92
99,F,625,False,34.9,1.86,5.3295,0.2,0.18,0.32,0.071,,SD92
100,F,625,False,35.7,1.46,4.0896,0.2,0.18,0.27,0.054,,SD92
101,F,1250,False,25.1,1.22,4.8606,0.17,0.16,0.31,0.046,,SD92
102,F,1250,False,30.0,1.39,4.6333,0.16,0.17,0.32,0.052,,SD92
103,F,1250,False,26.6,1.26,4.7368,0.14,0.15,0.26,0.05,,SD92
104,F,1250,False,31.0,1.72,5.5484,0.18,0.18,0.31,0.046,,SD92
105,F,1250,False,27.4,1.34,4.8905,0.18,0.17,0.29,0.049,,SD92
106,F,1250,False,30.4,1.69,5.5592,0.19,0.18,0.35,0.061,,SD92
107,F,1250,False,23.8,1.28,5.3782,0.18,0.16,0.28,0.037,,SD92
108,F,1250,False,30.0,1.42,4.7333,0.16,0.18,0.27,0.057,,SD92
109,F,1250,False,23.7,1.14,4.8101,0.16,0.15,0.29,0.044,,SD92
110,F,1250,False,27.5,1.53,5.5636,0.18,0.17,0.36,0.049,,SD92
111,F,2500,False,26.9,1.52,5.6506,0.14,0.17,0.24,0.05,,SD92
112,F,2500,False,30.6,1.71,5.5882,0.17,0.18,0.3,0.057,,SD92
113,F,2500,False,26.4,1.38,5.2273,0.18,0.16,0.29,0.038,,SD92
114,F,2500,False,24.9,1.28,5.1406,0.16,0.16,0.3,0.043,,SD92
115,F,2500,False,25.8,1.36,5.2713,0.16,0.17,0.27,0.046,,SD92
116,F,2500,False,23.4,1.22,5.2137,0.14,0.14,0.27,0.044,,SD92
117,F,2500,False,29.6,1.51,5.1014,0.18,0.17,0.3,0.054,,SD92
118,F,2500,False,27.3,1.59,5.8242,0.13,0.16,0.18,0.045,,SD92
119,F,2500,False,25.8,1.29,5.0,0.14,0.17,0.34,0.042,,SD92
120,F,2500,False,24.3,1.2,4.9383,0.15,0.16,0.29,0.034,,SD92
1,M,0,True,31.5,1.33,4.2222,0.18,0.26,0.29,0.037,0.11,SD92
2,M,0,True,35.8,1.49,4.162,0.23,0.3,0.36,0.05,0.129,SD92
3,M,0,True,40.3,1.77,4.3921,0.2,0.28,0.25,0.051,0.119,SD92
4,M,0,True,34.0,1.58,4.6471,0.21,0.28,0.3,0.042,0.111,SD92
5,M,0,True,32.3,1.39,4.3034,0.2,0.24,0.28,0.044,0.098,SD92
6,M,0,True,37.7,1.62,4.2971,0.15,0.27,0.21,0.044,0.11,SD92
7,M,0,True,34.7,1.64,4.7262,0.21,0.25,0.34,0.049,0.119,SD92
8,M,0,True,41.4,1.84,4.4444,0.26,0.32,0.33,0.067,0.109,SD92
9,M,0,True,31.9,1.47,4.6082,0.22,0.26,0.32,0.04,0.115,SD92
10,M,0,True,32.9,1.47,4.4681,0.21,0.25,0.33,0.042,0.118,SD92
11,M,156,False,39.4,1.81,4.5939,0.24,0.29,0.33,0.048,0.113,SD92
