USUBJID,Animal,Sex,Dose_mgkg,Dose_label,TestCD,Test,Timepoint,TimepointNum,Value,Unit,is_control
CJ16050_00M01,M01,M,0,Control,MV,Minute Volume,1-hour postdose,2.0,178.9,mL/min,True
CJ16050_00M02,M02,M,0,Control,MV,Minute Volume,1-hour postdose,2.0,137.0,mL/min,True
CJ16050_00M03,M03,M,0,Control,MV,Minute Volume,1-hour postdose,2.0,124.2,mL/min,True
CJ16050_00M04,M04,M,0,Control,MV,Minute Volume,1-hour postdose,2.0,125.3,mL/min,True
CJ16050_00M05,M05,M,0,Control,MV,Minute Volume,1-hour postdose,2.0,120.7,mL/min,True
CJ16050_00M06,M06,M,0,Control,MV,Minute Volume,1-hour postdose,2.0,134.8,mL/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,MV,Minute Volume,1-hour postdose,2.0,260.2,mL/min,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,MV,Minute Volume,1-hour postdose,2.0,238.7,mL/min,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,MV,Minute Volume,1-hour postdose,2.0,264.2,mL/min,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,MV,Minute Volume,1-hour postdose,2.0,295.6,mL/min,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,MV,Minute Volume,1-hour postdose,2.0,335.8,mL/min,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,MV,Minute Volume,1-hour postdose,2.0,223.0,mL/min,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,1-hour postdose,2.0,122.4,mL/min,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,1-hour postdose,2.0,127.2,mL/min,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,1-hour postdose,2.0,96.8,mL/min,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,1-hour postdose,2.0,79.0,mL/min,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,1-hour postdose,2.0,100.1,mL/min,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,MV,Minute Volume,1-hour postdose,2.0,110.4,mL/min,False
CJ16050_00M01,M01,M,0,Control,MV,Minute Volume,2-hour postdose,3.0,205.0,mL/min,True
CJ16050_00M02,M02,M,0,Control,MV,Minute Volume,2-hour postdose,3.0,224.6,mL/min,True
CJ16050_00M03,M03,M,0,Control,MV,Minute Volume,2-hour postdose,3.0,161.0,mL/min,True
CJ16050_00M04,M04,M,0,Control,MV,Minute Volume,2-hour postdose,3.0,136.2,mL/min,True
CJ16050_00M05,M05,M,0,Control,MV,Minute Volume,2-hour postdose,3.0,165.0,mL/min,True
CJ16050_00M06,M06,M,0,Control,MV,Minute Volume,2-hour postdose,3.0,167.8,mL/min,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,MV,Minute Volume,2-hour postdose,3.0,212.5,mL/min,False
