Drug,Score
Abacavir,0.30079679318759783
Acetohexamide,0.2129129408182372
Acetyldigitoxin,0.08422370483536981
Acrivastine,0.8220654712347968
Acyclovir,0.0896166837783483
Adefovir,0.12071571731433102
Albuterol,0.21380674802012892
Alendronate,0.10729986858963707
Alfuzosin,0.15111043575142963
Aliskiren,0.20718323911698439
Allopurinol,0.11942288888891586
Alogliptin,0.4137915162647558
Alosetron,0.7810859070948755
Altretamine,0.7550715128165549
Alvimopan,0.10155288257422036
Ambenonium,0.2637991557445617
Ambrisentan,0.3492567898546032
Amiloride,0.1826017040348774
Aminocaproic acid,0.258492461374696
Aminosalicylic acid,0.04779435472795757
Amoxicillin,0.002404144496409505
Amprenavir,0.06650397881153007
Anagrelide,0.7168166582675217
Anastrozole,0.39573793153627934
Anisindione,0.5543458835658734
Anisotropine,0.41190201806298293
Apixaban,0.21414864308440057
Aspirin,0.4918518813595474
Astemizole,0.6777326616163154
Atazanavir,0.14328391832533904
Atenolol,0.24564579796847488
Atorvastatin,0.10519786989262894
Atovaquone,0.7514659751307357
Avanafil,0.33714335499654
Azathioprine,0.33682027719224633
Azilsartan,0.41820097194826866
Azithromycin,0.308877212634501
Balsalazide,0.11770086013136517
Bedaquiline,0.6177369078277678
Benazepril,0.09285217364685845
Bendroflumethiazide,0.10409509249274702
Bentiromide,0.10349353164734668
Betamethasone,0.10531704207069059
Betaxolol,0.6308284929174787
Bethanechol,0.5229992629647955
Bicalutamide,0.1643055813360409
Bisoprolol,0.5432542290279561
Boceprevir,0.10403145986247825
Bosentan,0.10483157929081537
Bosutinib,0.455359604751078
Budesonide,0.09239644050640002
Bufuralol,0.6933046844329936
Busulfan,0.2127720427237611
Cabozantinib,0.28101104095276247
Canagliflozin,0.18175009930642957
Capecitabine,0.007595502246632023
Carbenicillin,0.00018458860346804375
Carbidopa,0.09030311504610632
Carglumic acid,0.061007620178957965
Carprofen,0.582619112598805
Carteolol,0.38067332957408057
Cefaclor,0.0015070049198978469
