Drug,Gaussian,Sigmoidal
Abacavir,0.5195153735,0.3007967932
Acetohexamide,0.6124791069,0.2129129408
Acetyldigitoxin,0.2606867907,0.08422370484
Acrivastine,0.89532102,0.8220654712
Acyclovir,0.2695445785,0.08961668378
Adefovir,0.1559287748,0.1207157173
Albuterol,0.3987072371,0.213806748
Alendronate,0.107920186,0.1072998686
Alfuzosin,0.4824073167,0.1511104358
Aliskiren,0.2828380378,0.2071832391
Allopurinol,0.3948550317,0.1194228889
Alogliptin,0.6712160423,0.4137915163
Alosetron,0.9631768163,0.7810859071
Altretamine,0.8239352238,0.7550715128
Alvimopan,0.4508375758,0.1015528826
Ambenonium,0.4574200826,0.2637991557
Ambrisentan,0.6987031785,0.3492567899
Amiloride,0.2854819972,0.182601704
Aminocaproic acid,0.4439762444,0.2584924614
Aminosalicylic acid,0.3364290583,0.04779435473
Amoxicillin,0.1810895605,0.002404144496
Amprenavir,0.2807095741,0.06650397881
Anagrelide,0.8730661458,0.7168166583
Anastrozole,0.6922606162,0.3957379315
Anisindione,0.7057593695,0.5543458836
Anisotropine,0.5982944346,0.4119020181
Apixaban,0.4411783017,0.2141486431
Aspirin,0.6573063391,0.4918518814
Astemizole,0.7114868499,0.6777326616
Atazanavir,0.2166722318,0.1432839183
Atenolol,0.4628400047,0.245645798
Atorvastatin,0.3027886777,0.1051978699
Atovaquone,0.8550806936,0.7514659751
Avanafil,0.3993196457,0.337143355
Azathioprine,0.5461726687,0.3368202772
Azilsartan,0.4322870442,0.4182009719
Azithromycin,0.3469421377,0.3088772126
Balsalazide,0.3442555263,0.1177008601
Bedaquiline,0.6219587155,0.6177369078
Benazepril,0.4931294156,0.09285217365
Bendroflumethiazide,0.3197153854,0.1040950925
Bentiromide,0.3870952257,0.1034935316
Betamethasone,0.4215757396,0.1053170421
Betaxolol,0.8371171535,0.6308284929
Bethanechol,0.5923875782,0.522999263
Bicalutamide,0.446318345,0.1643055813
Bisoprolol,0.7979056481,0.543254229
Boceprevir,0.2550965633,0.1040314599
Bosentan,0.3953218487,0.1048315793
Bosutinib,0.5900473515,0.4553596048
Budesonide,0.5228931569,0.09239644051
Bufuralol,0.8214483543,0.6933046844
Busulfan,0.4707432088,0.2127720427
Cabozantinib,0.4790571123,0.281011041
Canagliflozin,0.3776334856,0.1817500993
Capecitabine,0.29737317,0.007595502247
Carbenicillin,0.2523539133,0.0001845886035
Carbidopa,0.1693096432,0.09030311505
Carglumic acid,0.08706920517,0.06100762018
Carprofen,0.8336093314,0.5826191126
Carteolol,0.5934169321,0.3806733296
Cefaclor,0.2015847117,0.00150700492
Cefdinir,0.1412729825,6.04E-06
Cefditoren,0.1934069772,7.83E-06
Cefpodoxime,0.1284084705,1.31E-07
Cefuroxime,0.1449340954,1.39E-07
Celecoxib,0.7057400276,0.3278460754
Ceritinib,0.2741218832,0.2066015112
Cerivastatin,0.4126444621,0.09017073507
Cetirizine,0.7903903183,0.5747106926
Chenodiol,0.6083502761,0.286226395
Chlorambucil,0.9085695158,0.6997132387
Chloroquine,0.7954396646,0.7943251957
Chlorotrianisene,0.601411275,0.4707786762
Chlorphenesin carbamate,0.5888516693,0.2331985756
Chlorpropamide,0.7021109575,0.2661612049
Chlorthalidone,0.2731859905,0.09513189026
Cimetidine,0.5088204015,0.2833236235
Cinoxacin,0.6743787683,0.3622028907
Ciprofloxacin,0.5629729038,0.234803005
Cisapride,0.6229710829,0.3561293665
Clavulanate,0.3413200299,0.0816356208
Clindamycin,0.4180314156,0.1413330194
Clofazimine,0.6528258537,0.6270442188
Clofibrate,0.6808572653,0.5164876245
Clomiphene,0.4164074009,0.3451272962
Clonidine,0.8068512445,0.5998202056
Cloxacillin,0.4280644796,0.1118624979
Cobicistat,0.2719540311,0.2479515122
Colchicine,0.6211980755,0.2395281843
Crizotinib,0.6359282752,0.3539068106
Cromolyn,0.2155517838,0.001042297094
Cyclacillin,0.2648856771,0.08292204234
Cyclophosphamide,0.8215619631,0.5983504912
Cysteamine,0.4634870992,0.290615816
Dabrafenib,0.4441142961,0.2069746036
Dantrolene,0.6198139999,0.4538225232
Dapagliflozin,0.3704655361,0.0831712026
Darifenacin,0.8131846318,0.754401272
Deferasirox,0.4671220192,0.2519872151
Delavirdine,0.3280062236,0.2299288903
Demeclocycline,0.0646431821,4.89E-12
Desogestrel,0.7312916059,0.6712497573
Dexlansoprazole,0.8558288621,0.5872375008
Diazoxide,0.7565894534,0.5987187612
Dichlorphenamide,0.4462336435,0.1458419502
Diclofenac,0.8408190756,0.580289976
Dicumarol,0.6529237519,0.2212718341
Didanosine,0.4991598391,0.1101809279
Diethylcarbamazine,0.6755159856,0.5512099471
Diflunisal,0.8495586654,0.6064207226
Dimethyl fumarate,0.5760615863,0.4006705944
Diphemanil,0.5076335716,0.3811411501
Dipyridamole,0.2893537118,0.2441854229
Dirithromycin,0.355064661,0.2632093335
Disopyramide,0.8697767848,0.7527360176
Dofetilide,0.5474035312,0.1602631238
Dolutegravir,0.3210295608,0.008523329205
Domperidone,0.7092498469,0.4891320859
Doxazosin,0.6439994982,0.4950858222
Doxercalciferol,0.6604970802,0.4160443246
Drospirenone,0.7229364828,0.4480487677
Dydrogesterone,0.7085376736,0.5265333615
Dyphylline,0.4032240579,0.1191793439
Edoxaban,0.3676973911,0.2448562454
Eltrombopag,0.3954322496,0.1721219682
Empagliflozin,0.3167284949,0.07603506761
Emtricitabine,0.4938286278,0.1181769585
Enalapril,0.4802491149,0.1149452433
Entecavir,0.2978440987,0.1230294031
Eplerenone,0.522593404,0.1564568762
