Drug,CNS,TPSA,TPSA_S,HBA,HBD,MW,nAtoms,cLogD_ACD_v15,mapKa,cLogP_Biobyte,mbpKa,cLogP_ACD_v15,ALogP98,Smiles
Abacavir,FALSE,101.88,101.88,6,3,286.33232,21,0.72,0.81,6.53,0.72,0.63,0.5,n3c1c(ncn1[C@H]2/C=C\[C@@H](CO)C2)c(nc3N)NC4CC4
Acetohexamide,FALSE,92.34,100.72,4,2,324.39529,22,0.46,4.3,2.25,2.44,2.119,0.47,O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(C(=O)C)cc2
Acetyldigitoxin,FALSE,188.9,188.9,14,4,806.97574,57,3.1,3.46,3.1,3.48,0.91,0,O=C\1OC/C(=C/1)[C@H]2CC[C@@]8(O)[C@]2(C)CC[C@H]7[C@H]8CC[C@H]6[C@]7(C)CC[C@H](O[C@@H]5O[C@@H]([C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC(=O)C)C3)[C@@H](O)C4)C)[C@@H](O)C5)C)C6
Acrivastine,FALSE,53.43,53.43,4,1,348.43816,26,2.03,1.46,8.88,4.55,4.601,0.27,O=C(O)\C=C\c3nc(\C(=C\CN1CCCC1)c2ccc(cc2)C)ccc3
Acyclovir,FALSE,114.76,114.76,7,3,225.20464,16,-1.76,-2.6,3.15,-1.76,-1.423,0.38,O=C2/N=C(\Nc1n(cnc12)COCCO)N
Adefovir,FALSE,146.19,146.19,8,3,273.18574,18,-5.96,2.1,-1.87,4.32,-2.06,-1.289,O=P(O)(O)COCCn1c2ncnc(c2nc1)N
Albuterol,FALSE,72.72,72.72,4,4,239.31073,17,-2.12,0.06,0.01,0.941,0.54,1,OCc1cc(ccc1O)C(O)CNC(C)(C)C
Alendronate,FALSE,180.92,180.92,8,6,249.09604,14,-7.91,1.42,-5.64,10.31,-3.52,-1.203,O=P(O)(O)C(O)(CCCN)P(=O)(O)O
Alfuzosin,FALSE,111.83,111.83,8,2,389.44877,28,-1.91,2.55,8.6,-1,1.418,0.53,O=C(NCCCN(c2nc1cc(OC)c(OC)cc1c(n2)N)C)C3OCCC3
Aliskiren,FALSE,146.13,146.13,7,4,551.75831,39,0.07,3.51,9.78,2.74,3.327,0.73,O=C(N)C(C)(C)CNC(=O)[C@H](C(C)C)C[C@H](O)[C@@H](N)C[C@@H](C(C)C)Cc1cc(OCCCOC)c(OC)cc1
Allopurinol,FALSE,74.69,74.69,4,2,136.11146,10,-4.29,1.12,0.63,10.06,-1.33,5.10E-02,c1c2c([nH]n1)ncnc2O
Alogliptin,FALSE,93.66,93.66,5,1,339.39163,25,-0.48,1.54,9.89,1.84,1.795,0.39,N#Cc3ccccc3CN\1C(=O)N(C)C(=O)/C=C/1N2CCC[C@@H](N)C2
Alosetron,FALSE,53.92,53.92,2,1,294.35101,22,0.72,1.74,7,0.88,1.654,0.29,O=C1N(CCc3c1c2ccccc2n3C)Cc4ncnc4C
Altretamine,FALSE,48.39,48.39,6,0,210.27941,15,2.32,1.67,6.07,2.42,1.995,0.67,n1c(nc(nc1N(C)C)N(C)C)N(C)C
Alvimopan,FALSE,89.87,89.87,5,3,424.53257,31,0.74,3.43,2.16,8.84,3.38,3.545,O=C(O)CNC(=O)[C@@H](Cc1ccccc1)CN3CC[C@@](c2cccc(O)c2)([C@H](C3)C)C
Ambenonium,FALSE,58.2,58.2,2,2,537.56467,36,-2.85,0.18,-2.85,2.186,0.5,2,Clc1ccccc1C[N+](CC)(CC)CCNC(=O)C(=O)NCC[N+](Cc2ccccc2Cl)(CC)CC
