Name,Category,HELM
Dipeptide,Peptide / linear,PEPTIDE1{A.C}$$$$
Linear 10-mer,Peptide / linear,PEPTIDE1{A.C.D.E.F.G.H.I.K.L}$$$$
Protein 50-mer (all 20 AAs),Peptide / linear,PEPTIDE1{A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y.A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y.A.C.D.E.F.G.H.I.K.L}$$$$
Protein 100-mer (all 20 AAs),Peptide / linear,PEPTIDE1{A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y.A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y.A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y.A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y.A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y}$$$$
Homopolymer poly-A (20),Peptide / linear,PEPTIDE1{A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A}$$$$
Modified residues (meL/meY),Peptide / modified,PEPTIDE1{[meL].A.G.[meY].T}$$$$
Head-to-tail cyclic (5),Peptide / cyclic,"PEPTIDE1{A.C.D.E.F}$PEPTIDE1,PEPTIDE1,5:R2-1:R1$$$V2.0"
Disulfide cyclic,Peptide / cyclic,"PEPTIDE1{A.C.D.E.F.C}$PEPTIDE1,PEPTIDE1,2:R3-6:R3$$$V2.0"
Cyclic head-to-tail (32-mer),Peptide / cyclic,"PEPTIDE1{A.C.D.E.F.G.H.I.K.L.M.N.P.Q.R.S.T.V.W.Y.A.C.D.E.F.G.H.I.K.L.M.N}$PEPTIDE1,PEPTIDE1,32:R2-1:R1$$$V2.0"
Inner side-chain cycle (R3-R3),Peptide / cyclic,"PEPTIDE1{A.C.D.E.F.G.H.I.K.L}$PEPTIDE1,PEPTIDE1,3:R3-7:R3$$$V2.0"
Two side-chain bridges (bicyclic),Peptide / multicyclic,"PEPTIDE1{A.C.D.E.F.G.H.I.K.L.M.N}$PEPTIDE1,PEPTIDE1,2:R3-6:R3|PEPTIDE1,PEPTIDE1,7:R3-11:R3$$$V2.0"
