ID,Category,Test type,HELM string,Valid?,Mol Weight,Mol Formula,Cannonical SMILES
,Ambiguous monomers,Use of * PEPTIDE,PEPTIDE1{A.*.G.C}$$$$V2.0,yes,NA,NA,NA
,Ambiguous monomers,Use of * CHEM,CHEM1{*}$$$$V2.0,yes,NA,NA,NA
,Ambiguous monomers,Use of * multiple CHEMs,"CHEM1{*}|CHEM2{[SMCC]}$CHEM2,CHEM1,1:R1-1:R1$$$V2.0",yes,NA,NA,NA
,Ambiguous monomers,Use of * RNA ,RNA1{*.R(A)P.R(C)P}$$$$V2.0,yes,NA,NA,NA
,Ambiguous monomers,Use of X,PEPTIDE1{A.X.G.C}$$$$V2.0,yes,NA,NA,NA
,Ambiguous monomers,Use of N,RNA1{R(A)P.R(N)P.R(C)P.R(C)P.R(C)}$$$$V2.0,yes,NA,NA,NA
,Ambiguous monomers,Use of _ as an alternative in PEPTIDE,"PEPTIDE1{A.(A,_).G.C}$$$$V2.0",,,,
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating single monomer - absolute value,PEPTIDE1{A'2'}$$$$V2.0,yes,160.17,C6H12N2O3,C[C@@H](C(=O)N[C@@H](C)C(=O)O)N[H] 
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating single monomer - absolute value,PEPTIDE1{A'11'}$$$$V2.0,yes,799.87,C33H57N11O12,C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O)N[H] 
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating monomer in larger polymer - absolute value,PEPTIDE1{A.G.A.C'5'.A}$$$$V2.0,yes,804.02,C26H45N9O10S5,C[C@@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CS[H])C(=O)N[C@@H](CS[H])C(=O)N[C@@H](CS[H])C(=O)N[C@@H](CS[H])C(=O)N[C@@H](CS[H])C(=O)N[C@@H](C)C(=O)O)N[H] 
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating monomerin larger polymer - range,PEPTIDE1{A.G.A.C.A'5-30'}$$$$V2.0,yes,NA,NA,NA
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating CHEM monomer - not valid,CHEM1{[Az]'3'}$$$$V2.0,no,NA,NA,NA
,Brackets and repeating groups (NB repeating CHEMs are not allowed),Repeating partial RNA monomer - not valid,RNA1{R'3'}$$$$V2.0,no,NA,NA,NA
