Category,Test type,Example HELM,,Expected validation,Expected image,Expected  mol wt calculation,Expected SMILES,
RNA with in-line HELM for base,no dots between monomers,RNA1{R([NC1=NC(N([*:1])C=C1)=O])P}$$$$,,pass ,Complete structure,323.2,O1[C@@H]([C@H]([C@H]([C@@H]1N2C(N=C(N)C=C2)=O)O)OP(=O)(O)O)CO[H] ,
RNA with in-line HELM for base,Dot before the branch,RNA1{R.([NC1=NC(N([*:1])C=C1)=O])P}$$$$,,fail,No display,None,,
RNA with in-line HELM for base,Dot after the branch,RNA1{R([NC1=NC(N([*:1])C=C1)=O])P}$$$$,,pass ,Complete structure,323.2,O1[C@@H]([C@H]([C@H]([C@@H]1N2C(N=C(N)C=C2)=O)O)OP(=O)(O)O)CO[H] ,
RNA with in-line HELM for base,Dot before and after the branch,RNA1{R.([NC1=NC(N([*:1])C=C1)=O]).P}$$$$,,pass ,Complete structure,323.2,O1[C@@H]([C@H]([C@H]([C@@H]1N2C(N=C(N)C=C2)=O)O)OP(=O)(O)O)CO[H] ,
RNA with in-line HELM for ribose,un-numbered connection points,RNA1{[O[C@H]1[C@H]([*])O[C@H](CO[*])[C@H]1O[*]](C)P}$$$$V2.0,,fail,none,None,,
RNA with in-line HELM for ribose,numbered connection points,RNA1{[O[C@H]1[C@H]([*:3])O[C@H](CO[*:1])[C@H]1O[*:2]](C)P}$$$$V2.0,,pass,structure with one connection point,322.2,,
RNA with in-line HELM for ribose,ChemAxon SMILES with no square brackets,RNA1{[O[C@H]1[C@H](*)O[C@H](CO*)[C@H]1O* |$;;;;;;R3;;;;;R1;;;R2$](C)P}$$$$V2.0,,pass,structure with one connection point,322.2,,
RNA with in-line HELM for ribose,ChemAxon SMILES with  square brackets,RNA1{[O[C@H]1[C@H]([*])O[C@H](CO[*])[C@H]1O[*] |$;;;;;;R3;;;;;R1;;;R2$](C)P}$$$$V2.0,,pass,structure with one connection point,322.2,,
RNA with in-line HELM for ribose and more monomers,no dots,RNA1{P[O[C@H]1[C@H]([*:1])O[C@H](CO[*:2])[C@H]1O[*:3]](U)P.R(T)}$$$$V2.0,,pass,structure ,644.37,,
RNA with in-line HELM for ribose and more monomers,Dot before the in-line backbone,RNA1{P.[O[C@H]1[C@H]([*:1])O[C@H](CO[*:2])[C@H]1O[*:3]](U)P.R(T)}$$$$V2.0,,pass,structure ,644.37,,
RNA with in-line HELM for ribose and more monomers,Dot after the in-line backbone and before the branch,RNA1{P[O[C@H]1[C@H]([*:1])O[C@H](CO[*:2])[C@H]1O[*:3]].(U)P.R(T)}$$$$V2.0,,fail,No display,None,,
RNA with in-line HELM for ribose and more monomers,"Dot before and after the inline backbone, before branch",RNA1{P.[O[C@H]1[C@H]([*:1])O[C@H](CO[*:2])[C@H]1O[*:3]].(U)P.R(T)}$$$$V2.0,,fail,No display,None,,
RNA with in-line HELM for phosphate,un-numbered connection points,RNA1{R(C)[OP([*])([*])=O]}$$$$V2.0,,fail,No display,None,,
RNA with in-line HELM for phosphate,numbered connection points,RNA1{R(C)[OP([*:1])([*:2])=O]}$$$$V2.0,,pass,structure with one connection point,306.19,,
CHEM single in-line HELM,1 connection point,CHEM1{[[*:1]OCCCCC=C]}$$$$,,pass,structure with one connection point,99.15,,
CHEM single in-line HELM,2 connection points,CHEM1{[[*:2]C(=O)[C@H](C)N([*:1])CC]}$$$$,,pass,structure with one connection point,99.15,,
CHEM single in-line HELM,connection between CHEMs,"CHEM1{[[R1]OCCCCC=C]}|CHEM2{[[R2]C(=O)[C@H](C)N([R1])CC]}$CHEM1,CHEM2,1:R1-1:R1$$$V2.0",,pass,structure with one connection point,198.28,,
CHEM single in-line HELM,connection between CHEMs,"CHEM1{[[*:1]OCCCCC=C]}|CHEM2{[[*:2]C(=O)[C@H](C)N([*:1])CC]}$CHEM1,CHEM2,1:R1-1:R1$$$V2.0",,pass,structure with one connection point,198.28,,
in-line HELM connected to in-line HELM,two monomers each with 2 connection points,PEPTIDE1{[C[C@@H](N*)C(*)=O |$;;;_R1;;_R2;;$|].[O=C(*)[C@@H](C(C)C)N* |$;;_R2;;;;;;_R1;$|].[O=C(*)[C@@H](CC(C)C)N* |$;;_R2;;;;;;;_R1;$|]}$$$$V2.0,,pass,structure with two connection points,287.36,,
