smiles,LogD,MolWt,Selected hits
CN1CCC(CC1)Oc2ccc(cc2)C(F)(F)F,<0.48,259.27099609375,false
CCCN1OC(=CC1=O)C,0.66,141.1699981689453,false
O=C1OC(=O)C2=C1SCCS2,>-0.73,188.22900390625,false
CC1CCN(CC(O)CN2C(=O)C3=C(SCCS3)C2=O)CC1,<0.14,342.4859924316406,false
CCn1cc(C(=O)\C=C(/O)\C(=O)O)c2cc3OCOc3cc12,0.55,303.2699890136719,false
ClCc1ccc(Cn2cnc3nc(Cl)nc(Cl)c23)cc1,>0.34,327.60198974609375,false
o1ncnc1c2cccnc2,<0.87,147.13699340820312,false
I\C(=C/c1ccccc1)\C2=Nc3ccccc3NC2=O,0.83,374.1809997558594,false
Cn1c(cc2cc3OCOc3cc12)C(=O)\C=C(/O)\C(=O)O,>-0.21,289.2430114746094,false
NCc1cnn(O)c1Br,<-1.59,192.01600646972656,false
Oc1ccc2C(C3=C(Oc2c1)N=CNC3=O)c4ccccc4,-0.45,292.29400634765625,false
CCCN(CC=C)C(=O)C(Cl)Cl,>0.55,210.10400390625,false
Nc1cc(cc(c1)c2ccc(Cl)cc2)c3ccc(Cl)cc3,<0.43,314.2149963378906,false
CC1=CN(C(=O)c2cccc(C)c2)C(=S)N1c3ccccc3C,-1.50,322.4330139160156,false
CC1=CN(C(=O)c2ccc(C)cc2)C(=S)N1c3ccc(Br)cc3,>-0.22,387.302001953125,false
C\C(=N/NC(=O)c1ccc(F)cc1)\c2ccc[nH]2,<-0.43,245.2570037841797,false
Clc1ccc(NC(=O)Nc2nc3c(ccc4ccccc34)s2)cc1,0.38,353.8340148925781,false
COc1ccccc1NC(=S)Nc2nc3c(ccc4ccccc34)s2,>0.37,365.4830017089844,false
Cl.Clc1ccccc1N2CCN(CC2)C(=O)C3CCCN(Cc4ccccc4)C3,<-1.51,434.4110107421875,false
Clc1ccc(C2=CC(=O)c3cc(Cl)cc(I)c3O2)c(Cl)c1,-1.55,451.4739990234375,false
CN1CCC(CC1)Oc2ccc(cc2)C(F)(F)F,>-1.30,259.27099609375,false
