Hit,Smiles,MW
1360775,CC1=CCC(OC1=O)c2cccs2,194.04014587402344
1360776,CC1=C[C@H](OC1=O)c2cccs2,180.02450561523438
1360777,CC1=CC(OC1=O)c2cccs2,180.02450561523438
1360778,O=C1O[C@@H](CC=C1)c2occc2,164.04734802246094
1360779,O=C1O[C@H](CC=C1)c2occc2,164.04734802246094
1360780,O=C1OC(C=C1)c2cccs2,166.00885009765625
1360781,O=C1O[C@@H](C=C1)c2cccs2,166.00885009765625
1362796,N[C@H](CSC(F)(F)C(F)Cl)C(=O)O,236.9838104248047
1362797,N[C@H](CS\C(=C\Cl)\Cl)C(=O)O,214.95745849609375
1362810,Oc1cc(OCC=C)cc2OC(C(OCC=C)C(=O)c12)c3ccc(OCC=C)c(OCC=C)c3,464.1835021972656
1363481,CC(=O)O[C@@H]1CC[C@H]1[N+](C)(C)C,172.13375854492188
1364074,[Na+].[NH-]C(=O)c1ccc(N=NO)nc1,188.03102111816406
1364075,[Na+].C[As](=O)(C)[O-],159.94813537597656
1364124,Brc1ccccc1NC(=O)C=C,224.9789276123047
1364125,Fc1ccc(NC(=O)C=C)cc1,165.05899047851562
1362463,Cc1cc(ccc1NCc2cnc3nc(N)nc(N)c3n2)C(=O)NC(CCC(=O)O)C(=O)O,454.17132568359375
1359397,CONC\C=C\[C@H]1CC[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,377.2929992675781
1356198,CS(=O)(=O)c1ccc(cc1)c2cccn3nc(Nc4cccc(CN5CCS(=O)(=O)CC5)c4)nc23,511.1347961425781
1356749,COc1ccc(cc1)C2N3C(=CSC3=NC(=C2C(=O)\C=C\c4cccs4)\C=C\c5cccs5)C,502.0843505859375
1357151,CC(C)(C)OC(=O)Nc1cc(Oc2ccc3nc(NC(=O)C4CC4)sc3n2)ccc1F,444.1267395019531
1357715,OC[C@H]1O[C@H](Oc2ccc(cc2Cl)n3ccc4cc(ccc34)C(F)(F)F)[C@@H](O)[C@@H](O)[C@@H]1O,473.0852966308594
1358826,C[C@@H](B(O)O)N1CC[C@H](N)C1=O,172.1019287109375
1359081,CN[C@@H](C)[C@H](O)c1cccc(O)c1,181.1102752685547
1359246,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4(C)[C@H](CC[C@]34O)\C=N\NC(=O)N,377.2678527832031
1356213,CC(=C\C=C\[C@]1(C)CCC[C@]2(C)[C@@H](CC(=O)NCCS(=O)(=O)O)C(=C)CC[C@@H]12)C,423.24432373046875
1356124,CN(C)CCCOc1ccc(\C=C\2/SC(=S)NC2=O)cc1,322.0809631347656
1356125,CCN1C(=S)S\C(=C/c2ccc(Br)cc2)\C1=O,326.938720703125
1356126,CCN1C(=S)S\C(=C/c2ccc(cc2)c3ccccc3)\C1=O,325.05950927734375
1356127,CCN1C(=S)S\C(=C/c2csc3ccc(Cl)cc23)\C1=O,338.9613037109375
1356128,CCN1C(=S)S\C(=C/c2cnc3ccccc3n2)\C1=O,301.03436279296875
1356129,CCN1C(=S)S\C(=C/c2ccc3nonc3c2)\C1=O,291.01361083984375
1356130,CCN1C(=S)S\C(=C/C2=Cc3ccccc3OC2)\C1=O,303.03875732421875
1356178,COc1ccccc1c2cccn3nc(N)nc23,240.10110473632812
1356131,CCN1C(=S)S\C(=C/c2ccc3nsnc3c2)\C1=O,306.99078369140625
1356132,CCN1C(=S)S\C(=C/c2cc(Cl)cc(Cl)c2)\C1=O,316.95025634765625
1356133,CCN1C(=S)S\C(=C/C2=COc3c(Cl)cc(Cl)cc3C2=O)\C1=O,384.9400939941406
1356134,CCN1C(=S)S\C(=C/c2ccc(OCCCN(C)C)cc2)\C1=O,350.1122741699219
1356135,Brc1ccc(\C=C\2/SC(=S)N(CC=C)C2=O)cc1,338.938720703125
1356179,Nc1nc2c(cccn2n1)c3cccnc3,211.08580017089844
1356136,C=CCN1C(=S)S\C(=C/c2ccc(cc2)c3ccccc3)\C1=O,337.05950927734375
1356137,Clc1ccc2scc(\C=C\3/SC(=S)N(CC=C)C3=O)c2c1,350.9613037109375
