Hit,Target
1345762,TRG-77
1345762,TRG-89
1345762,TRG-94
1345763,TRG-63
1345763,TRG-33
1345763,TRG-82
1345763,TRG-98
1345763,TRG-74
1345763,TRG-41
1345763,TRG-21
1345764,TRG-11
1345764,TRG-90
1345764,TRG-67
1345764,TRG-64
1345764,TRG-62
1345766,TRG-51
1345766,TRG-25
1345766,TRG-74
1345766,TRG-55
1345766,TRG-57
1345766,TRG-31
1345766,TRG-19
1345766,TRG-17
1345766,TRG-15
1345768,TRG-46
1345768,TRG-14
1345768,TRG-45
1345768,TRG-98
1345769,TRG-41
1345769,TRG-93
1345769,TRG-25
1345769,TRG-63
1345769,TRG-35
1345769,TRG-61
1345769,TRG-2
1345769,TRG-35
1345769,TRG-74
1345770,TRG-0
1345770,TRG-66
1345770,TRG-34
1345771,TRG-88
1345771,TRG-97
1345772,TRG-75
1345772,TRG-43
1345772,TRG-1
1345772,TRG-99
1345772,TRG-70
1345772,TRG-32
1345772,TRG-97
1345772,TRG-32
1345773,TRG-19
1345773,TRG-28
1345773,TRG-94
1345774,TRG-95
1345774,TRG-29
1345774,TRG-6
1345774,TRG-3
1345774,TRG-9
1345774,TRG-99
1345775,TRG-90
1345775,TRG-59
1345775,TRG-72
1345775,TRG-81
1345776,TRG-3
1345776,TRG-47
1345776,TRG-75
1345776,TRG-84
1345776,TRG-30
1345777,TRG-65
1345777,TRG-2
1345777,TRG-41
1345777,TRG-34
1345777,TRG-87
1345777,TRG-15
1345777,TRG-80
1345778,TRG-79
1345778,TRG-39
1345778,TRG-7
1345778,TRG-93
1345778,TRG-59
1345778,TRG-89
1345778,TRG-81
1345778,TRG-20
1345778,TRG-52
1345779,TRG-59
1345779,TRG-35
1345779,TRG-76
1345779,TRG-70
1345779,TRG-43
1345779,TRG-68
1345779,TRG-82
1345779,TRG-93
1345779,TRG-44
1345780,TRG-59
1345780,TRG-61
1345780,TRG-91
1345780,TRG-20
1345780,TRG-16
1345780,TRG-81
1345780,TRG-90
1345780,TRG-85
1345780,TRG-48
1345781,TRG-21
1345781,TRG-28
1345781,TRG-7
1345781,TRG-19
1345781,TRG-29
1345781,TRG-31
1345781,TRG-33
1345781,TRG-37
1345781,TRG-41
1345782,TRG-90
1345782,TRG-27
1345782,TRG-3
1345782,TRG-75
1345782,TRG-47
1345782,TRG-94
1345782,TRG-93
1345785,TRG-33
1345785,TRG-47
1345786,TRG-95
1345786,TRG-67
1345786,TRG-53
1345787,TRG-27
1345787,TRG-15
1345787,TRG-72
1345787,TRG-83
1345788,TRG-82
1345788,TRG-47
1345788,TRG-38
1345788,TRG-49
1345789,TRG-31
1345789,TRG-69
1345789,TRG-82
1345790,TRG-38
1345790,TRG-8
1345790,TRG-66
1345790,TRG-83
1345790,TRG-46
1345791,TRG-44
1345791,TRG-30
1345791,TRG-0
1345791,TRG-21
1345792,TRG-93
1345792,TRG-21
1345792,TRG-15
1345792,TRG-50
1345792,TRG-95
1345792,TRG-84
1345792,TRG-60
1345792,TRG-27
1345792,TRG-50
1345793,TRG-61
1345793,TRG-73
1345793,TRG-92
1345793,TRG-39
1345793,TRG-67
1345793,TRG-97
1345825,TRG-33
1345825,TRG-13
1345825,TRG-43
1345825,TRG-49
1345825,TRG-27
1345825,TRG-28
1345794,TRG-34
1345794,TRG-43
1345794,TRG-64
1345794,TRG-74
1345794,TRG-67
1345794,TRG-99
1345794,TRG-31
1345795,TRG-7
1345796,TRG-78
1345796,TRG-62
1345796,TRG-94
1345797,TRG-81
1345797,TRG-74
1345797,TRG-62
1345797,TRG-33
1345797,TRG-21
1345798,TRG-33
1345798,TRG-0
1345798,TRG-29
1345799,TRG-6
1345799,TRG-94
1345799,TRG-5
1345799,TRG-79
1345800,TRG-41
1345800,TRG-71
1345800,TRG-90
1345800,TRG-62
1345800,TRG-32
1345801,TRG-99
1345801,TRG-64
1345801,TRG-58
1345801,TRG-86
1345801,TRG-50
1345801,TRG-29
1345801,TRG-98
1345801,TRG-81
1345802,TRG-68
1345802,TRG-75
1345802,TRG-89
1345802,TRG-3
1345802,TRG-59
1345802,TRG-80
1345802,TRG-84
1345802,TRG-73
1345802,TRG-29
1345803,TRG-67
1345803,TRG-70
1345803,TRG-46
1345803,TRG-7
1345804,TRG-51
1345804,TRG-59
1345804,TRG-4
1345804,TRG-40
1345804,TRG-22
1345804,TRG-19
1345804,TRG-21
1345804,TRG-62
1345804,TRG-69
1345805,TRG-68
1345805,TRG-90
1345805,TRG-30
1345805,TRG-72
1345805,TRG-79
1345805,TRG-2
1345806,TRG-14
1345806,TRG-79
1345806,TRG-94
