Hit,Smiles
1345762,CCCCC(=O)N(Cc1ccc2OCCOc2c1)c3cccc(CC(=O)O)c3
1345763,CCCCC(=O)N(Cc1cccc(OC)c1)c2cccc(c2)C(=O)O
1345764,CN(CC(=O)N[C@@H]1C2CC3CC1C[C@@](C3)(C2)C(=O)N)S(=O)(=O)N(C)c4c(Cl)cc(Cl)cc4Cl
1345765,CC1CCN(c2c(Cl)cc(Cl)cc2Cl)S(=O)(=O)N1CC(=O)N[C@@H]3C4CC5CC3C[C@@](C5)(C4)C(=O)N
1345766,CC1CN(CC(=O)N[C@@H]2C3CC4CC2C[C@@](C4)(C3)C(=O)N)S(=O)(=O)N(C1)c5c(Cl)cc(Cl)cc5Cl
1345767,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CC(=C)CN(c5c(Cl)cc(Cl)cc5Cl)S4(=O)=O)C(C3)C2
1345768,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CC5(CC5)CN(c6c(Cl)cc(Cl)cc6Cl)S4(=O)=O)C(C3)C2
1345769,CC1(C)CN(CC(=O)N[C@@H]2C3CC4CC2C[C@@](C4)(C3)C(=O)N)S(=O)(=O)N(C1)c5c(Cl)cc(Cl)cc5Cl
1345770,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCN(c5c(Cl)cc(Cl)cc5Cl)S4(=O)=O)C(C3)C2
1345771,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCCCN(c5c(Cl)cc(Cl)cc5Cl)S4(=O)=O)C(C3)C2
1345772,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCCN(c5c(Cl)cc(Cl)cc5Cl)S4(=O)=O)C(C3)C2
1345773,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCCN(c5ccc(F)cc5)S4(=O)=O)C(C3)C2
1345774,NC(=O)[C@@]12CC3CC(C1)[C@H](NC(=O)CN4CCCN(c5c(F)cc(F)cc5F)S4(=O)=O)C(C3)C2
1345775,CCc1ccc(cc1)c2cnn3c(C)c(cnc23)C(=O)NCCOc4ccccc4
1345776,Cc1c(cnc2c(cnn12)c3ccc(cc3)C(C)(C)C)C(=O)NCCOc4ccccc4
1345777,CC(C)c1ccc(cc1)c2cnn3cc(cnc23)C(=O)NCCOc4ccccc4
1345778,CCc1c(cnc2c(cnn12)c3ccc(cc3)C(C)C)C(=O)NCCOc4ccccc4
1345779,CCCc1c(cnc2c(cnn12)c3ccc(cc3)C(C)C)C(=O)NCCOc4ccccc4
1345824,COc1c(ccc2N=C(N(C)C(=O)c12)c3ccc(F)cc3)C(=O)NCc4ccc(F)cc4
1345780,Cc1ccc(cc1)c2cnn3c(C)c(cnc23)C(=O)NCCOc4ccccc4
1345781,Cc1cccc(c1)c2cnn3c(C)c(cnc23)C(=O)NCCOc4ccccc4
1345782,Cc1ccccc1c2cnn3c(C)c(cnc23)C(=O)NCCOc4ccccc4
1345783,COc1ccc(cc1)c2cnn3c(C)c(cnc23)C(=O)NCCOc4ccccc4
1345785,Cc1c(cnc2c(cnn12)c3ccc(cc3)c4ccccc4)C(=O)NCCOc5ccccc5
1345786,Cc1c(cnc2c(cnn12)c3ccc(Cl)cc3)C(=O)NCCOc4ccccc4
1345787,Cc1c(cnc2c(cnn12)c3cccc(Cl)c3)C(=O)NCCOc4ccccc4
1345788,Cc1c(cnc2c(cnn12)c3ccc(Cl)c(Cl)c3)C(=O)NCCOc4ccccc4
1345789,Cc1c(cnc2c(cnn12)c3ccc(cc3)c4ccc(cc4)C(F)(F)F)C(=O)NCCOc5ccccc5
1345790,CC(=O)SCCC(=O)NCCCNc1c2CCCCc2nc3ccccc13
1345791,SCCC(=O)NCCCNc1c2CCCCc2nc3ccccc13
1345792,CC(=O)SCCC(=O)NCCCCNc1c2CCCCc2nc3ccccc13
1345793,SCCC(=O)NCCCCNc1c2CCCCc2nc3ccccc13
1345825,COc1c(ccc2N=C(N(C)C(=O)c12)c3ccc(cc3)[N+](=O)[O-])C(=O)NCc4ccc(F)cc4
1345794,CC(=O)SCCC(=O)NCCCCCCNc1c2CCCCc2nc3cc(Cl)ccc13
1345795,SCCC(=O)NCCCCCCNc1c2CCCCc2nc3cc(Cl)ccc13
1345796,Cl.CN(C)C1CCC(=CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345797,Cl.CNC1CCC(=CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345798,Cl.CCNC1CCC(=CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345799,Cl.CN(C)[C@@H]1CC[C@@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345800,Cl.CN(C)[C@@H]1CC[C@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345801,Cl.CN[C@@H]1CC[C@@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345802,Cl.CN[C@@H]1CC[C@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345803,Cl.CCN[C@@H]1CC[C@@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345804,Cl.CCN[C@@H]1CC[C@H](CC1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345805,Cl.CN[C@H]1CCC[C@H](C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345806,Cl.CNC1CCCC(C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345807,Cl.CN[C@H]1CCC[C@@H](C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345808,Cl.CCN[C@H]1CCC[C@H](C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345809,Cl.CCN[C@H]1CCC[C@@H](C1)c2c[nH]c3ccc(NC(=N)c4cccs4)cc23
1345810,CCCCCCCCC[C@H]1C[C@@H](O)[C@H](O)\C=C\[C@H](O)CC(=O)O1
1345811,CCCCCCCCC[C@H]1CC[C@H](O)\C=C\[C@H](O)CC(=O)O1
1345812,COc1cc(O)c2C(=O)c3cocc3C(=O)c2c1
1345813,COc1cc(O)c2C(=O)[C@@]34O[C@@]3(CO[C@H]4O)[C@H](O)c2c1
1345814,COc1cc(O)c2C(=O)[C@@H]3COC[C@]3(O)[C@H](O)c2c1
1345815,CCCN(C)C1=NC(=C(C)C(=O)N1)[C@@H](C)c2c(F)cccc2F
1345816,CCCN(C)C1=NC(=C(C)C(=O)N1)[C@H](C)c2c(F)cccc2F
1345817,COc1c(ccc2NC(N(C)C(=O)c12)c3ccc(cc3)[N+](=O)[O-])C(=O)NCc4ccc(F)cc4
1345818,COc1c(ccc2NC(N(C)C(=O)c12)c3occc3)C(=O)NCc4ccc(F)cc4
1345830,COc1c(ccc2N=C(Cc3ccc(F)cc3)N(C)C(=O)c12)C(=O)NCc4ccc(F)cc4
1345819,COc1c(ccc2NC(N(C)C(=O)c12)c3cccs3)C(=O)NCc4ccc(F)cc4
1345820,COc1c(ccc2NC(N(C)C(=O)c12)c3ccccn3)C(=O)NCc4ccc(F)cc4
1345821,CCCCC1Nc2ccc(C(=O)NCc3ccc(F)cc3)c(OC)c2C(=O)N1C
1345822,COc1c(ccc2NC(Cc3ccc(F)cc3)N(C)C(=O)c12)C(=O)NCc4ccc(F)cc4
1345823,COc1c(ccc2NC(Cc3ccc(cc3)[N+](=O)[O-])N(C)C(=O)c12)C(=O)NCc4ccc(F)cc4
1345826,COc1c(ccc2N=C(N(C)C(=O)c12)c3occc3)C(=O)NCc4ccc(F)cc4
1345827,COc1c(ccc2N=C(N(C)C(=O)c12)c3cccs3)C(=O)NCc4ccc(F)cc4
1345828,COc1c(ccc2N=C(N(C)C(=O)c12)c3ccccn3)C(=O)NCc4ccc(F)cc4
1345829,CCCCC1=Nc2ccc(C(=O)NCc3ccc(F)cc3)c(OC)c2C(=O)N1C
1345831,COc1c(ccc2N=C(Cc3ccc(cc3)[N+](=O)[O-])N(C)C(=O)c12)C(=O)NCc4ccc(F)cc4
1345832,CN1C(=O)c2c(O)c(ccc2N=C1c3ccc(F)cc3)C(=O)NCc4ccc(F)cc4
1345833,CN1C(=O)c2c(O)c(ccc2N=C1c3ccc(cc3)[N+](=O)[O-])C(=O)NCc4ccc(F)cc4
1345834,CN1C(=O)c2c(O)c(ccc2N=C1c3occc3)C(=O)NCc4ccc(F)cc4
1345835,CN1C(=O)c2c(O)c(ccc2N=C1c3cccs3)C(=O)NCc4ccc(F)cc4
1345836,CN1C(=O)c2c(O)c(ccc2N=C1c3ccccn3)C(=O)NCc4ccc(F)cc4
1345837,CCCCC1=Nc2ccc(C(=O)NCc3ccc(F)cc3)c(O)c2C(=O)N1C
1345838,CN1C(=Nc2ccc(C(=O)NCc3ccc(F)cc3)c(O)c2C1=O)Cc4ccc(F)cc4
1345839,CN1C(=Nc2ccc(C(=O)NCc3ccc(F)cc3)c(O)c2C1=O)Cc4ccc(cc4)[N+](=O)[O-]
1345840,O[C@@H](Cc1cccc(c1)c2ccccc2)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
1345885,Oc1ccc(cc1)C2=C(C#N)C(=O)NC(=N2)SCC(=O)NN3C(=Nc4ccccc4C3=O)COc5ccc(Cl)cc5Cl
1345841,O[C@@H](Cc1cccc(c1)c2ccc3ccccc3c2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345842,O[C@@H](Cc1cccc(c1)c2ccccn2)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
1345843,O[C@@H](Cc1cccc(c1)N2Cc3ccccc3C2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345844,O[C@@H](Cc1cccc(c1)c2ccc3[nH]ccc3c2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345845,O[C@@H](Cc1cccc(c1)c2oc3ccccc3n2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345846,O[C@@H](Cc1cccc(c1)c2nc3ccccc3s2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345886,OC(=O)C1=C(N=C(NC1=O)SCC(=O)NN2C(=Nc3ccccc3C2=O)COc4ccc(Cl)cc4Cl)c5ccccc5
1345847,O[C@@H](Cc1cccc(c1)c2oc3ccccc3c2)\C=C\[C@H]4CCC(=O)N4CCSCCCC(=O)O
1345848,O[C@@H](Cc1cccc(OCc2cccnc2)c1)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
1345849,O[C@@H](Cc1cccc(OCc2ccccn2)c1)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
1345850,O[C@@H](Cc1cccc(OCc2ccncc2)c1)\C=C\[C@H]3CCC(=O)N3CCSCCCC(=O)O
