metabolites\reactions,10,20,30,40,50,60,70,80,90,100
10,1498,1019,1243,1465,1701,1961,2234,2405,2641,2917
20,2594,3342,2094,2426,2775,3126,3473,3800,4172,4554
30,4569,5808,7237,4364,5048,5535,6117,6624,7222,7866
40,7275,9007,10653,12338,7041,7998,9053,9684,10416,11287
50,11340,13880,16163,18544,21099,11863,13266,14507,15765,17084
60,15460,18680,22001,25184,28558,,17677,19313,20985,22791
70,21149,25639,30002,34234,38904,43628,,26090,28296,30755
80,27710,32969,38478,44236,49557,55453,61059,,35843,38818
90,36350,43198,50037,57612,63983,70849,78418,84975,,49879
100,46068,54116,62143,70742,79207,87254,95808,103937,,
