t,centr,Pred
1,76.79026904625022,114.86454805381305
2,157.49423155693967,139.4870465140528
3,129.77406120024133,133.61846188044169
4,150.0411538437838,118.82435520138195
5,112.36841712605693,102.68646273357149
6,95.66533711204357,87.69616533599795
7,83.48771267765808,74.51792204790819
8,68.1309459753896,63.18280210479448
9,42.12024405883233,53.52162006686222
10,49.46493770892191,45.31924868924318
11,41.46435416302103,38.3671306524539
12,30.845619136112745,32.478993374084865
13,11.974939771925532,27.49358008983251
14,23.053085309801375,23.27307273096455
15,18.462745955755953,19.700326262703804
16,12.661025337701862,16.67600129353018
17,18.201963903396422,14.115943265831028
18,11.946145816400351,11.948892759671015
19,8.21410350393998,10.114521103310413
20,9.632402611711036,8.561757913689492
21,7.4214627606653405,7.24737184375828
22,5.235523007884651,6.134767906433631
23,5.7477867750407965,5.192968951374445
24,4.301845650260024,4.395753327127757
25,3.8251581805005164,3.7209248629427543
26,3.393733039405844,3.1496948978229957
27,3.2515646480654716,2.6661591706223
28,1.5359871300798003,2.256855013837031
29,1.7139036013847524,1.910386525053954
30,1.657516604629401,1.6171072809932294
