Plate_Barcode,Replicate_ID,Well_Position,Agonist_ID,Antagonist_ID,Agonist_Concentration_M,Antagonist_Concentration_M,Percent_Inhibition,Sample_Type
DR-EXP-001,1,A1,Agonist-A51,Antagonist-B7,1.00E-11,0.0,0.4851,TEST
DR-EXP-001,1,B1,Agonist-A51,Antagonist-B7,3.16E-11,0.0,1.5298,TEST
DR-EXP-001,1,C1,Agonist-A51,Antagonist-B7,1.00E-10,0.0,4.8193,TEST
DR-EXP-001,1,D1,Agonist-A51,Antagonist-B7,3.16E-10,0.0,14.0722,TEST
DR-EXP-001,1,E1,Agonist-A51,Antagonist-B7,1.00E-09,0.0,38.6496,TEST
DR-EXP-001,1,F1,Agonist-A51,Antagonist-B7,3.16E-09,0.0,73.1059,TEST
DR-EXP-001,1,G1,Agonist-A51,Antagonist-B7,1.00E-08,0.0,93.4395,TEST
DR-EXP-001,1,H1,Agonist-A51,Antagonist-B7,3.16E-08,0.0,99.0064,TEST
DR-EXP-001,1,A2,Agonist-A51,Antagonist-B7,1.00E-11,0.0,0.5012,TEST
DR-EXP-001,1,B2,Agonist-A51,Antagonist-B7,3.16E-11,0.0,1.5794,TEST
DR-EXP-001,1,C2,Agonist-A51,Antagonist-B7,1.00E-10,0.0,4.9664,TEST
DR-EXP-001,1,D2,Agonist-A51,Antagonist-B7,3.16E-10,0.0,14.4533,TEST
DR-EXP-001,1,E2,Agonist-A51,Antagonist-B7,1.00E-09,0.0,39.5395,TEST
DR-EXP-001,1,F2,Agonist-A51,Antagonist-B7,3.16E-09,0.0,74.0089,TEST
DR-EXP-001,1,G2,Agonist-A51,Antagonist-B7,1.00E-08,0.0,93.8182,TEST
DR-EXP-001,1,H2,Agonist-A51,Antagonist-B7,3.16E-08,0.0,99.0711,TEST
DR-EXP-001,1,A3,Agonist-A51,Antagonist-B7,1.00E-11,0.0,0.5178,TEST
DR-EXP-001,1,B3,Agonist-A51,Antagonist-B7,3.16E-11,0.0,1.6306,TEST
DR-EXP-001,1,C3,Agonist-A51,Antagonist-B7,1.00E-10,0.0,5.1186,TEST
DR-EXP-001,1,D3,Agonist-A51,Antagonist-B7,3.16E-10,0.0,14.8427,TEST
DR-EXP-001,1,E3,Agonist-A51,Antagonist-B7,1.00E-09,0.0,40.4395,TEST
DR-EXP-001,1,F3,Agonist-A51,Antagonist-B7,3.16E-09,0.0,74.9126,TEST
DR-EXP-001,1,G3,Agonist-A51,Antagonist-B7,1.00E-08,0.0,94.1925,TEST
DR-EXP-001,1,H3,Agonist-A51,Antagonist-B7,3.16E-08,0.0,99.1354,TEST
DR-EXP-001,1,A4,Agonist-A51,Antagonist-B7,1.00E-11,0.0,0.5349,TEST
DR-EXP-001,1,B4,Agonist-A51,Antagonist-B7,3.16E-11,0.0,1.6835,TEST
DR-EXP-001,1,C4,Agonist-A51,Antagonist-B7,1.00E-10,0.0,5.2758,TEST
DR-EXP-001,1,D4,Agonist-A51,Antagonist-B7,3.16E-10,0.0,15.2393,TEST
DR-EXP-001,1,E4,Agonist-A51,Antagonist-B7,1.00E-09,0.0,41.3506,TEST
DR-EXP-001,1,F4,Agonist-A51,Antagonist-B7,3.16E-09,0.0,75.8242,TEST
DR-EXP-001,1,G4,Agonist-A51,Antagonist-B7,1.00E-08,0.0,94.5501,TEST
DR-EXP-001,1,H4,Agonist-A51,Antagonist-B7,3.16E-08,0.0,99.1989,TEST
DR-EXP-001,1,A5,Agonist-A51,Antagonist-B7,1.00E-11,1e-8,0.1611,TEST
DR-EXP-001,1,B5,Agonist-A51,Antagonist-B7,3.16E-11,1e-8,0.5085,TEST
