Protein ID,Gene,log2FC,p-value,adj.p-value,significant
P06493,CDK1,3.320,1.74e-04,3.47e-04,true
P14635,CCNB1,1.332,7.38e-05,1.48e-04,true
O95067,CCNB2,2.484,1.80e-03,3.60e-03,true
Q12834,CDC20,2.060,1.54e-06,3.08e-06,true
O43683,BUB1,2.243,2.24e-03,4.49e-03,true
O60566,BUB1B,2.640,1.38e-05,2.75e-05,true
O14965,AURKA,1.581,2.66e-05,5.32e-05,true
Q96GD4,AURKB,1.957,2.36e-03,4.73e-03,true
P53350,PLK1,2.441,1.03e-03,2.06e-03,true
P20248,CCNA2,3.434,1.78e-06,3.56e-06,true
P24941,CDK2,3.089,3.87e-06,7.75e-06,true
Q13257,MAD2L1,1.612,4.72e-07,9.45e-07,true
P11388,TOP2A,3.489,2.63e-03,5.25e-03,true
P52732,KIF11,3.077,2.03e-03,4.05e-03,true
P49450,CENPA,2.216,3.99e-06,7.98e-06,true
Q02224,CENPE,3.332,1.58e-06,3.16e-06,true
O14777,NDC80,2.199,4.51e-05,9.02e-05,true
Q99741,CDC6,2.682,1.16e-03,2.32e-03,true
O75419,CDC45,1.942,9.40e-05,1.88e-04,true
P49736,MCM2,2.949,6.78e-07,1.36e-06,true
P25205,MCM3,2.479,1.82e-06,3.63e-06,true
P33991,MCM4,2.720,3.23e-04,6.45e-04,true
P33992,MCM5,2.164,3.82e-05,7.63e-05,true
Q14566,MCM6,1.512,8.64e-06,1.73e-05,true
P33993,MCM7,1.960,1.89e-06,3.78e-06,true
P30307,CDC25C,2.339,3.40e-04,6.81e-04,true
P11802,CDK4,1.201,3.77e-05,7.54e-05,true
P24864,CCNE1,1.572,1.54e-04,3.08e-04,true
O14757,CHEK1,2.166,2.44e-03,4.88e-03,true
P30291,WEE1,3.466,1.45e-03,2.91e-03,true
Q16795,NDUFA9,-3.320,1.74e-04,3.47e-04,true
P28331,NDUFS1,-1.332,7.38e-05,1.48e-04,true
O75306,NDUFS2,-2.484,1.80e-03,3.60e-03,true
O96000,NDUFB10,-2.060,1.54e-06,3.08e-06,true
P49821,NDUFV1,-2.243,2.24e-03,4.49e-03,true
O00483,NDUFA4,-2.640,1.38e-05,2.75e-05,true
O95169,NDUFB8,-1.581,2.66e-05,5.32e-05,true
P31040,SDHA,-1.957,2.36e-03,4.73e-03,true
P21912,SDHB,-2.441,1.03e-03,2.06e-03,true
P31930,UQCRC1,-3.434,1.78e-06,3.56e-06,true
P22695,UQCRC2,-3.089,3.87e-06,7.75e-06,true
P47985,UQCRFS1,-1.612,4.72e-07,9.45e-07,true
P08574,CYC1,-3.489,2.63e-03,5.25e-03,true
P13073,COX4I1,-3.077,2.03e-03,4.05e-03,true
P20674,COX5A,-2.216,3.99e-06,7.98e-06,true
P10606,COX5B,-3.332,1.58e-06,3.16e-06,true
P09669,COX6C,-2.199,4.51e-05,9.02e-05,true
P14406,COX7A2,-2.682,1.16e-03,2.32e-03,true
P14854,COX6B1,-1.942,9.40e-05,1.88e-04,true
P25705,ATP5F1A,-2.949,6.78e-07,1.36e-06,true
P06576,ATP5F1B,-2.479,1.82e-06,3.63e-06,true
P36542,ATP5F1C,-2.720,3.23e-04,6.45e-04,true
P48047,ATP5PO,-2.164,3.82e-05,7.63e-05,true
P24539,ATP5PB,-1.512,8.64e-06,1.73e-05,true
P05496,ATP5MC1,-1.960,1.89e-06,3.78e-06,true
P04406,GAPDH,1.096,0.312,0.328,false
P60709,ACTB,-1.151,0.386,0.406,false
P07437,TUBB,0.151,0.109,0.114,false
P02768,ALB,-0.328,0.723,0.759,false
P06733,ENO1,-0.121,0.090,0.094,false
P14618,PKM,0.328,0.532,0.559,false
P00338,LDHA,-0.869,0.475,0.499,false
P00558,PGK1,-0.444,0.085,0.090,false
P04075,ALDOA,0.103,0.158,0.166,false
P60174,TPI1,1.226,0.710,0.746,false
P06744,GPI,0.835,0.642,0.675,false
P18669,PGAM1,-0.834,0.825,0.866,false
P11142,HSPA8,1.287,0.076,0.080,false
P07900,HSP90AA1,0.822,0.099,0.104,false
P11021,HSPA5,-0.151,0.640,0.672,false
P10809,HSPD1,1.110,0.720,0.756,false
P27797,CALR,-0.171,0.429,0.451,false
P27824,CANX,0.375,0.147,0.154,false
P30101,PDIA3,-0.461,0.365,0.384,false
P07237,P4HB,0.677,0.794,0.833,false
P08670,VIM,0.146,0.708,0.744,false
P21333,FLNA,0.418,0.258,0.271,false
P12814,ACTN1,-0.210,0.444,0.466,false
Q9Y490,TLN1,-0.947,0.573,0.601,false
P23528,CFL1,-0.441,0.705,0.740,false
P07737,PFN1,-0.012,0.254,0.266,false
P06396,GSN,-1.299,0.445,0.467,false
Q01518,CAP1,-0.879,0.322,0.339,false
P04083,ANXA1,-0.207,0.082,0.087,false
P07355,ANXA2,1.261,0.128,0.134,false
P08758,ANXA5,0.581,0.113,0.119,false
P26447,S100A4,-0.557,0.927,0.973,false
P63104,YWHAZ,-0.213,0.865,0.909,false
P62258,YWHAE,-0.778,0.688,0.722,false
P31946,YWHAB,0.197,0.473,0.497,false
P62937,PPIA,1.252,0.129,0.135,false
P23284,PPIB,1.093,0.431,0.452,false
P00441,SOD1,-0.077,0.957,0.990,false
P04179,SOD2,0.697,0.417,0.438,false
P04040,CAT,0.251,0.081,0.085,false
Q06830,PRDX1,1.129,0.679,0.713,false
P32119,PRDX2,-0.122,0.726,0.762,false
P09211,GSTP1,-0.740,0.274,0.287,false
P10599,TXN,0.506,0.287,0.301,false
P02792,FTL,0.770,0.923,0.970,false
P02794,FTH1,-0.564,0.271,0.284,false
P02787,TF,0.036,0.362,0.380,false
P07339,CTSD,-0.929,0.346,0.364,false
P07858,CTSB,-1.003,0.202,0.212,false
P09382,LGALS1,-0.514,0.344,0.361,false
P17931,LGALS3,-0.999,0.334,0.351,false
P16070,CD44,0.811,0.783,0.822,false
P05556,ITGB1,0.140,0.509,0.534,false
P68104,EEF1A1,-0.248,0.139,0.146,false
P13639,EEF2,0.970,0.246,0.258,false
P23396,RPS3,-0.066,0.713,0.748,false
P36578,RPL4,-0.715,0.415,0.436,false
P05388,RPLP0,-0.496,0.102,0.107,false
P06748,NPM1,-0.845,0.192,0.201,false
P19338,NCL,-0.858,0.680,0.714,false
P61978,HNRNPK,-1.086,0.697,0.732,false
Q07955,SRSF1,0.808,0.103,0.109,false
Q13283,G3BP1,-1.257,0.957,0.990,false
P17844,DDX5,-1.071,0.238,0.250,false
