Valid	Comparison (group1/group2)	Condition Numerator	Condition Denominator	# of Ratios	Group	AVG Group Quantity Numerator	AVG Group Quantity Denominator	AVG Log2 Ratio	Absolute AVG Log2 Ratio	% Change	Ratio	Pvalue	Qvalue	ProteinGroups	Genes	UniProtIds	Organisms
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	O15439	39.0000	33.3250	0.225872	0.225872	17.0293	1.170293	1.753672e-2	3.129102e-2	O15439		O15439	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	2	O43524	0.1667	0.2000	-0.264160	0.264160	-16.6667	0.833333	8.087684e-1	8.557899e-1	O43524		O43524	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	O43795	227.7250	215.0000	0.082876	0.082876	5.9186	1.059186	9.147074e-2	1.321244e-1	O43795		O43795	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	O60704	0.8250	1.1250	-0.486883	0.486883	-26.6667	0.733333	4.295000e-1	5.211267e-1	O60704		O60704	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	O75964	2734.7000	2722.1000	0.015477	0.015477	0.4629	1.004629	8.869680e-1	9.185047e-1	O75964		O75964	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	O95104	52.1000	61.6500	-0.242205	0.242205	-15.4907	0.845093	4.102252e-2	6.549210e-2	O95104		O95104	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	O95551	12.6750	16.6250	-0.495405	0.495405	-23.7594	0.762406	2.698709e-1	3.559167e-1	O95551		O95551	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P00724	11.7500	21.3500	-0.889790	0.889790	-44.9649	0.550351	1.152843e-2	2.232099e-2	P00724		P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P00761	7471.1500	6473.9500	0.215490	0.215490	15.4033	1.154033	1.147003e-1	1.599948e-1	P00761		P00761	Sus scrofa
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P03018	25.7000	6.5250	2.084325	2.084325	293.8697	3.938697	9.035778e-3	1.787513e-2	P03018		P03018	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P04693	262.1750	66.9750	1.969435	1.969435	291.4520	3.914520	2.765244e-8	6.290930e-7	P04693		P04693	Escherichia coli (strain K12)
False	HYE mix B / HYE mix A	HYE mix B	HYE mix A	0	P09029	1.1250								P09029		P09029	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P09525	352.6000	351.7500	0.004130	0.004130	0.2416	1.002416	8.901263e-1	9.185047e-1	P09525		P09525	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0A6P5	187.8750	61.3000	1.687992	1.687992	206.4845	3.064845	7.060222e-3	1.460182e-2	P0A6P5		P0A6P5	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0A729	65.6750	18.2750	1.910581	1.910581	259.3707	3.593707	3.236855e-3	7.552662e-3	P0A729		P0A729	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0A746	331.8750	91.1500	1.871463	1.871463	264.0976	3.640976	1.395957e-4	5.081283e-4	P0A746		P0A746	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0A9A6	1449.7250	374.8500	1.951432	1.951432	286.7480	3.867480	1.320312e-9	1.201484e-7	P0A9A6		P0A9A6	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0A9V1	358.6000	87.8500	2.029530	2.029530	308.1958	4.081958	3.247376e-9	1.477556e-7	P0A9V1		P0A9V1	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0AB26	171.9000	87.1500	0.984580	0.984580	97.2461	1.972461	6.550108e-4	1.922774e-3	P0AB26		P0AB26	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0ABF4	28.8750	7.1000	2.321525	2.321525	306.6901	4.066901	1.620515e-2	3.009528e-2	P0ABF4		P0ABF4	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0AC53	391.0500	96.3500	2.022076	2.022076	305.8640	4.058640	1.772338e-7	1.951890e-6	P0AC53		P0AC53	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0ACE0	20.7500	6.7000	1.661569	1.661569	209.7015	3.097015	1.624009e-3	4.222422e-3	P0ACE0		P0ACE0	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	2	P0ADE4	11.0000	1.9500	3.662996	3.662996	464.1026	5.641026	3.313010e-1	4.187277e-1	P0ADE4		P0ADE4	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P0AFK0	278.6500	73.4250	1.929226	1.929226	279.5029	3.795029	4.055862e-5	1.845417e-4	P0AFK0		P0AFK0	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P11914	37.6750	73.1750	-0.957177	0.957177	-48.5138	0.514862	2.894759e-4	9.083554e-4	P11914		P11914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P13717	3.1500	3.2000	-0.081151	0.081151	-1.5625	0.984375	7.757441e-1	8.305025e-1	P13717		P13717	Serratia marcescens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P14904	69.5750	146.2250	-1.069083	1.069083	-52.4192	0.475808	1.872423e-4	6.085375e-4	P14904		P14904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P17115	59.0500	13.7250	2.114142	2.114142	330.2368	4.302368	2.827005e-5	1.513279e-4	P17115		P17115	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P18544	21.2250	38.3250	-0.871383	0.871383	-44.6184	0.553816	5.423501e-3	1.175092e-2	P18544		P18544	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P22234	2187.9750	2299.6250	-0.068721	0.068721	-4.8551	0.951449	3.295390e-1	4.187277e-1	P22234		P22234	Homo sapiens
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P23847	1244.2000	346.7500	1.842462	1.842462	258.8176	3.588176	1.023196e-7	1.862216e-6	P23847		P23847	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P24171	53.1500	12.6250	2.085468	2.085468	320.9901	4.209901	1.566076e-4	5.481267e-4	P24171		P24171	Escherichia coli (strain K12)
True	HYE mix B / HYE mix A	HYE mix B	HYE mix A	4	P24251	709.8500	194.4750	1.886647	1.886647	265.0084	3.650084	6.344043e-4	1.922774e-3	P24251		P24251	Escherichia coli (strain K12)
