R.FileName	R.Condition	R.Replicate	PG.ProteinGroups	PG.Organisms	PG.Quantity	EG.Qvalue	PEP.StrippedSequence	EG.ModifiedPeptide	FG.Charge	FG.Id
run_CondA_1	CondA	1	P00000	Homo sapiens	1000	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00000	Homo sapiens	1000	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00000	Homo sapiens	1000	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00000	Homo sapiens	1000	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00000	Homo sapiens	1000	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00000	Homo sapiens	1000	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00000	Homo sapiens	1000	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00000	Homo sapiens	1000	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00000	Homo sapiens	1000	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00000	Homo sapiens	1000	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00000	Homo sapiens	1000	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00000	Homo sapiens	1000	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00001	Saccharomyces cerevisiae	1001	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00001	Saccharomyces cerevisiae	1001	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_2	CondA	2	P00001	Saccharomyces cerevisiae	1001	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_2	CondA	2	P00001	Saccharomyces cerevisiae	1001	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_3	CondA	3	P00001	Saccharomyces cerevisiae	1001	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_3	CondA	3	P00001	Saccharomyces cerevisiae	1001	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_1	CondB	1	P00001	Saccharomyces cerevisiae	1001	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_1	CondB	1	P00001	Saccharomyces cerevisiae	1001	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_2	CondB	2	P00001	Saccharomyces cerevisiae	1001	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_2	CondB	2	P00001	Saccharomyces cerevisiae	1001	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondB_3	CondB	3	P00001	Saccharomyces cerevisiae	1001	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondB_3	CondB	3	P00001	Saccharomyces cerevisiae	1001	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
run_CondA_1	CondA	1	P00002	Escherichia coli	1002	0.001	PEPTIDER	_PEPTIDER_	2	FG1
run_CondA_1	CondA	1	P00002	Escherichia coli	1002	0.001	ANOTHERPEP	_ANOTHERPEP_	3	FG2
