v_id	ngl	gdb_id_mappings	cdr_length	surface_cdr_hydrophobicity	positive_cdr_charge	negative_cdr_charge	sfvcsp
VR000000008	VR000000008	"TPP000002208, PPB000037964, OX4B17.001"	49	117.31690216064453	0.00139999995008111	0	-3.0799999237060547
VR000000023	VR000000023	"TPP000002227, PPB000046981, PPB000046595, PPB000042911, C38B64.003, C38B64.002, C38B64.001"	47	150.55780029296875	0.059700001031160355	0.24609999358654022	0.4099999964237213
VR000000024	VR000000024	"TPP000002228, PPB000008128, PPB000007508, B97B21.002, B97B21.001"	49	130.02920532226562	0	1.2913000583648682	0
VR000000026	VR000000026	"TPP000002230, PPB000039156, PPB000018263, CD2B39.001, CD2B39.002"	43	126.71949768066406	0.22190000116825104	0.05790000036358833	8.399999618530273
VR000000032	VR000000032	"TPP000002238, PPB000045597, NK2B95.001"	48	146.88450622558594	0	0	-3
VR000000033	VR000000033	"TPP000002239, PPB000045647, NK2B52.001"	43	135.23609924316406	0	0	0
VR000000035	VR000000035	"TPP000002241, PPB000045644, NK2B55.001"	52	153.07420349121094	0.5033000111579895	0	0.10000000149011612
VR000000043	VR000000043	"TPP000002251, PPB000045613, NK2B81.001"	52	161.79310607910156	0.10719999670982361	0	-0.09000000357627869
VR000000044	VR000000044	"TPP000002253, PPB000045610, NK2B84.001"	46	146.19540405273438	0.3650999963283539	0	3.299999952316284
VR000000046	VR000000046	"TPP000002255, PPB000045637, NK2B61.001"	46	138.34579467773438	0	1.2913999557495117	3.0999999046325684
VR000000048	VR000000048	"TPP000002257, PPB000039242, OXLB270.001"	52	136.99679565429688	0.5946000218391418	0	6.71999979019165
VR000000049	VR000000049	"TPP000002258, PPB000039292, OXLB256.001"	48	139.6031036376953	0.37130001187324524	1.454699993133545	-1.7999999523162842
VR000000051	VR000000051	"TPP000002260, PPB000008530, C3IB19.001"	54	134.04190063476562	0	0.2793999910354614	-0.0
VR000000052	VR000000052	"TPP000002261, PPB000008301, C3IB48.001"	54	142.32159423828125	0.016899999231100082	0.6169000267982483	-0.20000000298023224
