Age, Workclass, Education, Marital Status, Occupation, Relationship, Race, Sex, Capital Gain, Capital Loss, Hours per week, Country
39,7,1,1,1,1,4,1,2174,0,40,9
50,6,1,0,8,0,4,1,0,0,13,9
38,4,4,2,2,1,4,1,0,0,40,9
53,4,3,0,2,0,2,1,0,0,40,9
28,4,1,0,5,5,2,0,0,0,40,6
37,4,5,0,8,5,4,0,0,0,40,9
49,4,3,2,7,1,2,0,0,0,16,5
52,6,4,0,8,0,4,1,0,0,45,9
31,4,5,1,5,1,4,0,14084,0,50,9
42,4,1,0,8,0,4,1,5178,0,40,9
37,4,4,0,8,0,2,1,0,0,80,9
30,7,1,0,5,0,1,1,0,0,40,1
23,4,1,1,1,3,4,0,0,0,30,9
32,4,0,1,6,1,2,1,0,0,50,9
40,4,0,0,2,0,1,1,0,0,40,0
34,4,3,0,2,0,0,1,0,0,45,5
25,6,4,1,2,3,4,1,0,0,35,9
32,4,4,1,2,4,4,1,0,0,40,9
38,4,3,0,6,0,4,1,0,0,50,9
43,6,5,2,8,4,4,0,0,0,45,9
40,4,2,0,5,0,4,1,0,0,60,9
54,4,4,2,7,4,2,0,0,0,20,9
35,1,3,0,2,0,2,1,0,0,40,9
43,4,3,0,2,0,4,1,0,2042,40,9
59,4,4,2,4,4,4,0,0,0,40,9
56,2,1,0,4,0,4,1,0,0,40,9
19,4,4,1,2,3,4,1,0,0,40,9
54,0,4,0,0,0,1,1,0,0,60,4
39,4,4,2,8,1,4,1,0,0,80,9
49,4,4,0,2,0,4,1,0,0,40,9
23,2,0,1,4,1,4,1,0,0,52,9
20,4,4,1,6,3,2,1,0,0,44,9
45,4,1,2,8,3,4,1,0,1408,40,9
30,1,4,0,1,3,4,1,0,0,40,9
22,7,4,0,7,0,2,1,0,0,15,9
48,4,3,1,2,4,4,1,0,0,40,5
21,4,4,1,2,3,4,1,0,0,40,9
19,4,4,0,1,5,4,0,0,0,25,9
31,4,4,0,6,0,4,1,0,0,38,0
48,6,0,0,5,0,4,1,0,0,40,9
31,4,3,0,2,0,4,1,0,0,43,9
53,6,1,0,5,0,4,1,0,0,40,9
24,4,1,0,4,0,4,1,0,0,50,9
49,4,4,2,1,4,4,0,0,0,40,9
25,4,4,1,2,1,4,1,0,0,35,9
57,1,1,0,5,0,2,1,0,0,40,9
53,4,4,0,2,0,4,1,0,0,38,9
44,4,5,2,8,4,4,0,0,0,40,9
41,7,0,0,2,0,4,1,0,0,40,9
29,4,0,1,5,1,4,1,0,0,43,9
25,4,4,0,8,5,3,0,0,0,40,9
18,4,4,1,7,3,4,0,0,0,30,0
47,4,6,0,5,5,4,0,0,1902,60,5
50,1,1,2,8,1,4,1,0,0,55,9
47,5,4,2,8,1,4,1,0,0,60,9
43,4,4,0,4,0,4,1,0,0,40,9
46,4,3,0,2,0,4,1,0,0,40,5
35,4,0,0,7,0,4,1,0,0,40,5
41,4,4,0,1,0,4,1,0,0,48,9
30,4,4,0,2,0,4,1,5013,0,40,9
30,4,1,0,6,0,4,1,2407,0,40,9
32,0,3,2,0,1,4,1,0,0,40,0
48,4,4,0,2,0,4,1,0,0,40,9
42,4,2,0,5,0,4,1,0,0,45,9
29,4,4,2,4,1,4,1,0,0,58,9
36,4,4,0,2,0,4,1,0,0,40,9
28,4,4,2,1,1,4,0,0,0,40,9
53,4,4,0,1,5,4,0,0,0,40,9
49,5,4,0,8,0,4,1,0,0,50,9
25,0,4,1,0,3,4,1,0,0,40,9
19,4,4,1,5,3,4,1,0,0,32,9
31,4,1,2,6,3,2,0,0,0,40,9
29,6,1,0,6,0,4,1,0,0,70,9
23,4,4,1,2,1,4,1,0,0,40,9
79,4,4,0,5,2,4,1,0,0,20,9
27,4,4,1,7,3,4,1,0,0,40,5
40,4,0,0,1,0,4,1,0,0,40,9
67,0,3,0,0,0,4,1,0,0,2,9
18,4,3,1,7,3,4,0,0,0,22,9
31,2,3,0,2,0,4,1,0,0,40,9
18,4,4,1,6,1,4,1,0,0,30,9
52,4,1,0,7,0,4,1,0,0,40,6
46,4,4,0,7,5,4,0,0,0,40,9
59,4,4,0,6,0,4,1,0,0,48,9
44,4,4,2,2,1,4,0,14344,0,40,9
53,4,4,2,6,3,4,0,0,0,35,9
49,2,4,0,4,0,4,1,0,0,40,9
33,4,5,0,5,0,4,1,0,0,50,9
30,4,3,1,6,1,4,1,0,0,40,9
43,1,2,1,5,1,4,0,0,0,50,9
57,4,0,0,5,0,4,1,0,0,40,9
37,4,4,2,2,4,4,0,0,0,40,9
28,4,4,2,2,4,2,0,0,0,25,9
30,4,4,0,6,5,1,0,0,1573,35,0
34,2,1,0,4,0,4,1,0,0,40,9
29,2,4,1,2,1,4,1,0,0,50,9
48,6,2,0,5,0,4,1,0,1902,60,9
37,4,4,0,6,0,4,1,0,0,48,9
48,4,0,2,8,4,4,0,0,0,40,1
32,1,4,1,7,3,2,1,0,0,40,9
76,4,5,0,8,0,4,1,0,0,40,9
44,4,1,0,8,0,4,1,15024,0,60,9
47,6,5,1,5,1,4,0,0,0,50,9
20,4,4,1,4,3,4,0,0,0,40,9
29,4,4,1,2,1,4,1,0,0,40,9
32,5,4,0,2,0,4,1,7688,0,40,9
17,0,3,1,0,3,4,0,34095,0,32,9
30,4,3,1,2,3,4,1,0,0,40,9
31,2,4,1,1,1,4,0,0,0,40,9
42,4,4,0,2,0,4,1,0,0,40,9
24,4,1,1,6,2,4,1,0,0,40,9
38,4,6,0,5,0,4,1,0,0,40,9
56,6,4,0,7,0,4,1,0,1887,50,1
28,4,4,0,6,5,4,0,4064,0,25,9
36,4,4,1,2,3,4,0,0,0,40,9
53,4,3,0,2,0,4,1,0,0,50,9
56,5,4,0,6,0,4,1,0,0,50,9
49,2,0,0,2,0,2,1,0,0,40,9
55,4,4,0,6,0,4,1,0,0,56,9
22,4,4,1,2,1,4,1,0,0,41,9
21,4,4,1,7,3,4,0,0,0,40,9
40,4,1,0,8,0,4,1,0,0,60,9
30,4,1,1,8,3,2,1,0,0,40,3
29,7,1,0,5,0,4,1,0,0,50,9
19,4,4,1,7,3,2,1,0,0,35,9
47,4,1,0,8,5,4,0,0,0,40,9
20,4,4,1,1,3,4,0,0,1719,28,9
31,4,0,0,1,0,4,1,0,0,40,9
35,0,4,0,0,0,4,1,0,0,40,9
39,4,4,2,2,1,4,1,0,0,40,9
28,4,0,1,6,1,4,0,0,0,60,9
24,4,4,1,7,1,4,0,0,1762,40,9
38,6,4,0,2,0,4,1,4386,0,35,9
37,4,1,0,6,0,4,1,0,0,50,9
46,4,0,2,4,1,2,0,0,0,36,9
38,1,5,0,5,0,4,1,0,0,40,6
43,6,4,0,2,0,4,1,0,0,60,9
27,4,0,0,1,5,4,0,0,0,35,9
20,4,4,1,6,3,4,1,0,0,20,9
49,4,4,0,2,0,1,1,0,0,40,9
61,5,4,0,2,0,4,1,0,0,40,9
27,4,4,1,6,3,4,0,0,0,40,9
19,4,4,1,7,3,4,1,0,0,30,5
45,4,0,1,5,1,4,0,0,1564,40,9
70,4,4,1,4,2,4,1,0,0,40,9
31,4,4,1,2,4,2,0,0,0,30,9
22,4,4,0,7,0,4,1,0,0,24,9
36,4,4,3,7,4,4,0,0,0,24,9
64,4,3,0,2,0,4,1,0,2179,40,9
43,0,4,2,0,1,4,0,0,0,40,9
47,2,4,2,1,4,4,0,0,0,38,5
34,4,4,1,1,1,4,0,0,0,40,9
33,4,1,1,8,2,1,0,0,0,40,7
21,4,4,1,2,3,4,1,0,0,35,9
52,0,4,2,0,1,4,1,0,0,45,9
48,4,4,0,2,0,4,1,0,0,46,9
23,4,1,1,2,1,4,1,0,0,40,9
71,6,4,2,6,4,2,1,0,1816,2,9
29,4,4,2,2,1,4,1,0,0,60,9
42,4,1,2,7,2,2,1,0,0,50,9
68,0,3,2,0,1,4,0,0,0,20,9
25,4,4,1,7,4,4,0,0,0,40,9
44,5,5,2,8,4,1,0,0,0,40,9
28,4,4,1,8,1,1,0,0,0,40,1
45,6,5,0,6,0,4,1,0,0,40,9
36,4,4,2,7,4,4,0,0,0,40,5
39,1,0,1,8,1,4,1,0,0,42,9
46,7,5,3,4,4,4,1,0,0,40,9
18,4,3,1,2,3,4,1,0,0,16,9
66,2,0,3,5,1,4,0,0,0,20,9
27,4,4,1,7,1,4,1,0,1980,40,9
28,7,4,0,4,0,4,1,0,0,40,9
51,4,4,0,6,0,4,1,0,1977,40,9
27,4,1,1,2,1,4,1,0,0,50,9
28,7,1,0,5,0,4,1,0,0,40,9
27,4,4,2,6,4,4,0,0,0,25,9
21,4,4,1,2,3,2,1,0,0,40,9
34,4,4,1,2,1,2,1,0,0,40,9
18,4,4,1,7,3,4,1,0,0,12,9
33,4,1,0,5,0,4,1,0,0,65,9
44,2,4,0,8,0,2,1,0,0,38,9
43,4,4,2,1,1,4,0,0,0,40,9
30,4,4,1,2,1,2,1,0,0,45,9
40,4,3,0,2,0,4,1,0,0,40,5
