Age, Workclass, Education, Marital Status, Occupation, Relationship, Race, Sex, Capital Gain, Capital Loss, Hours per week, Country
39,State-gov,Bachelors,Never-Married,Admin,Not-in-family,White,Male,2174,0,40,United-States
50,Self-emp-not-inc,Bachelors,Married,White-Collar,Husband,White,Male,0,0,13,United-States
38,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States
53,Private,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,40,United-States
28,Private,Bachelors,Married,Professional,Wife,Black,Female,0,0,40,Other
37,Private,Masters,Married,White-Collar,Wife,White,Female,0,0,40,United-States
49,Private,Dropout,Separated,Service,Not-in-family,Black,Female,0,0,16,Latin-America
52,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,0,0,45,United-States
31,Private,Masters,Never-Married,Professional,Not-in-family,White,Female,14084,0,50,United-States
42,Private,Bachelors,Married,White-Collar,Husband,White,Male,5178,0,40,United-States
37,Private,High School grad,Married,White-Collar,Husband,Black,Male,0,0,80,United-States
30,State-gov,Bachelors,Married,Professional,Husband,Asian-Pac-Islander,Male,0,0,40,British-Commonwealth
23,Private,Bachelors,Never-Married,Admin,Own-child,White,Female,0,0,30,United-States
32,Private,Associates,Never-Married,Sales,Not-in-family,Black,Male,0,0,50,United-States
40,Private,Associates,Married,Blue-Collar,Husband,Asian-Pac-Islander,Male,0,0,40,?
34,Private,Dropout,Married,Blue-Collar,Husband,Amer-Indian-Eskimo,Male,0,0,45,Latin-America
25,Self-emp-not-inc,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,35,United-States
32,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,40,United-States
38,Private,Dropout,Married,Sales,Husband,White,Male,0,0,50,United-States
43,Self-emp-not-inc,Masters,Separated,White-Collar,Unmarried,White,Female,0,0,45,United-States
40,Private,Doctorate,Married,Professional,Husband,White,Male,0,0,60,United-States
54,Private,High School grad,Separated,Service,Unmarried,Black,Female,0,0,20,United-States
35,Federal-gov,Dropout,Married,Blue-Collar,Husband,Black,Male,0,0,40,United-States
43,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,2042,40,United-States
59,Private,High School grad,Separated,Other,Unmarried,White,Female,0,0,40,United-States
56,Local-gov,Bachelors,Married,Other,Husband,White,Male,0,0,40,United-States
19,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States
54,?,High School grad,Married,?,Husband,Asian-Pac-Islander,Male,0,0,60,Euro_2
39,Private,High School grad,Separated,White-Collar,Not-in-family,White,Male,0,0,80,United-States
49,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States
23,Local-gov,Associates,Never-Married,Other,Not-in-family,White,Male,0,0,52,United-States
20,Private,High School grad,Never-Married,Sales,Own-child,Black,Male,0,0,44,United-States
45,Private,Bachelors,Separated,White-Collar,Own-child,White,Male,0,1408,40,United-States
30,Federal-gov,High School grad,Married,Admin,Own-child,White,Male,0,0,40,United-States
22,State-gov,High School grad,Married,Service,Husband,Black,Male,0,0,15,United-States
48,Private,Dropout,Never-Married,Blue-Collar,Unmarried,White,Male,0,0,40,Latin-America
21,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States
19,Private,High School grad,Married,Admin,Wife,White,Female,0,0,25,United-States
31,Private,High School grad,Married,Sales,Husband,White,Male,0,0,38,?
48,Self-emp-not-inc,Associates,Married,Professional,Husband,White,Male,0,0,40,United-States
31,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,43,United-States
53,Self-emp-not-inc,Bachelors,Married,Professional,Husband,White,Male,0,0,40,United-States
24,Private,Bachelors,Married,Other,Husband,White,Male,0,0,50,United-States
49,Private,High School grad,Separated,Admin,Unmarried,White,Female,0,0,40,United-States
25,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,35,United-States
57,Federal-gov,Bachelors,Married,Professional,Husband,Black,Male,0,0,40,United-States
53,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,38,United-States
44,Private,Masters,Separated,White-Collar,Unmarried,White,Female,0,0,40,United-States
41,State-gov,Associates,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States
29,Private,Associates,Never-Married,Professional,Not-in-family,White,Male,0,0,43,United-States
25,Private,High School grad,Married,White-Collar,Wife,Other,Female,0,0,40,United-States
18,Private,High School grad,Never-Married,Service,Own-child,White,Female,0,0,30,?
47,Private,Prof-School,Married,Professional,Wife,White,Female,0,1902,60,Latin-America
50,Federal-gov,Bachelors,Separated,White-Collar,Not-in-family,White,Male,0,0,55,United-States
47,Self-emp-inc,High School grad,Separated,White-Collar,Not-in-family,White,Male,0,0,60,United-States
43,Private,High School grad,Married,Other,Husband,White,Male,0,0,40,United-States
46,Private,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,Latin-America
35,Private,Associates,Married,Service,Husband,White,Male,0,0,40,Latin-America
41,Private,High School grad,Married,Admin,Husband,White,Male,0,0,48,United-States
30,Private,High School grad,Married,Blue-Collar,Husband,White,Male,5013,0,40,United-States
30,Private,Bachelors,Married,Sales,Husband,White,Male,2407,0,40,United-States
32,?,Dropout,Separated,?,Not-in-family,White,Male,0,0,40,?
48,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States
42,Private,Doctorate,Married,Professional,Husband,White,Male,0,0,45,United-States
29,Private,High School grad,Separated,Other,Not-in-family,White,Male,0,0,58,United-States
36,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States
28,Private,High School grad,Separated,Admin,Not-in-family,White,Female,0,0,40,United-States
53,Private,High School grad,Married,Admin,Wife,White,Female,0,0,40,United-States
49,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,0,0,50,United-States
25,?,High School grad,Never-Married,?,Own-child,White,Male,0,0,40,United-States
19,Private,High School grad,Never-Married,Professional,Own-child,White,Male,0,0,32,United-States
31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,0,0,40,United-States
29,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,0,0,70,United-States
23,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States
79,Private,High School grad,Married,Professional,Other-relative,White,Male,0,0,20,United-States
27,Private,High School grad,Never-Married,Service,Own-child,White,Male,0,0,40,Latin-America
40,Private,Associates,Married,Admin,Husband,White,Male,0,0,40,United-States
67,?,Dropout,Married,?,Husband,White,Male,0,0,2,United-States
18,Private,Dropout,Never-Married,Service,Own-child,White,Female,0,0,22,United-States
31,Local-gov,Dropout,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States
18,Private,High School grad,Never-Married,Sales,Not-in-family,White,Male,0,0,30,United-States
52,Private,Bachelors,Married,Service,Husband,White,Male,0,0,40,Other
46,Private,High School grad,Married,Service,Wife,White,Female,0,0,40,United-States
59,Private,High School grad,Married,Sales,Husband,White,Male,0,0,48,United-States
44,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,14344,0,40,United-States
53,Private,High School grad,Separated,Sales,Own-child,White,Female,0,0,35,United-States
49,Local-gov,High School grad,Married,Other,Husband,White,Male,0,0,40,United-States
33,Private,Masters,Married,Professional,Husband,White,Male,0,0,50,United-States
30,Private,Dropout,Never-Married,Sales,Not-in-family,White,Male,0,0,40,United-States
43,Federal-gov,Doctorate,Never-Married,Professional,Not-in-family,White,Female,0,0,50,United-States
57,Private,Associates,Married,Professional,Husband,White,Male,0,0,40,United-States
37,Private,High School grad,Separated,Blue-Collar,Unmarried,White,Female,0,0,40,United-States
28,Private,High School grad,Separated,Blue-Collar,Unmarried,Black,Female,0,0,25,United-States
30,Private,High School grad,Married,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?
34,Local-gov,Bachelors,Married,Other,Husband,White,Male,0,0,40,United-States
29,Local-gov,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,50,United-States
48,Self-emp-not-inc,Doctorate,Married,Professional,Husband,White,Male,0,1902,60,United-States
37,Private,High School grad,Married,Sales,Husband,White,Male,0,0,48,United-States
48,Private,Associates,Separated,White-Collar,Unmarried,White,Female,0,0,40,British-Commonwealth
32,Federal-gov,High School grad,Never-Married,Service,Own-child,Black,Male,0,0,40,United-States
76,Private,Masters,Married,White-Collar,Husband,White,Male,0,0,40,United-States
44,Private,Bachelors,Married,White-Collar,Husband,White,Male,15024,0,60,United-States
47,Self-emp-not-inc,Masters,Never-Married,Professional,Not-in-family,White,Female,0,0,50,United-States
20,Private,High School grad,Never-Married,Other,Own-child,White,Female,0,0,40,United-States
29,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,0,0,40,United-States
32,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,White,Male,7688,0,40,United-States
17,?,Dropout,Never-Married,?,Own-child,White,Female,34095,0,32,United-States
30,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,0,0,40,United-States
31,Local-gov,High School grad,Never-Married,Admin,Not-in-family,White,Female,0,0,40,United-States
42,Private,High School grad,Married,Blue-Collar,Husband,White,Male,0,0,40,United-States
24,Private,Bachelors,Never-Married,Sales,Other-relative,White,Male,0,0,40,United-States
38,Private,Prof-School,Married,Professional,Husband,White,Male,0,0,40,United-States
56,Self-emp-not-inc,High School grad,Married,Service,Husband,White,Male,0,1887,50,British-Commonwealth
28,Private,High School grad,Married,Sales,Wife,White,Female,4064,0,25,United-States
