n,seqs
1,R-F-C(1)-T-G-H-F-Y-G-H-F-Y-G-H-F-Y-P-C(1)-meI
2,C(1)-T-G-Aca-F-Y-P-C(1)-meI
3,R-F-C(1)-T-G-H-F-Y-P-C(1)
4,C(1)-T-G-H-F-H-P-C(1)
5,R-F-D(2)-T-G-H-F-Y-P-NH2(2)
6,D(2)-T-G-H-F-Y-P-NH2(2)
7,R-F-azG(4)-T-G-H-F-Y-P-aG(4)-meI
8,R-F-aG(4)-T-G-H-F-Y-P-azG(4)-meI
9,R-F-R-I-F-D-C(1)-T-G-H-F-Y-G-H-F-Y-G-H-F-Y-P-THA(1)-meI-G-T
10,R-F-R-I-F-D-C(1)-T-G-H-F-Y-G-H-F-Y-G-H-F-Y-P-MG3(1)-meI-G-T
11,R-F-DRR1(8)-T-G-H-F-Y-P-DRR2(8)-C-C
12,R-F-ODAR1(8)-T-G-H-F-Y-P-ODAR2(8)-meI-R-P-NH2
13,R-F-PHAR1(7)-T-G-H-F-Y-P-PHAR2(7)-meI-F-K-NH2
14,R-F-PHAR1(6)-T-G-H-F-Y-P-PHAR2(6)-C-C
