id,target,status,length_s,length_as,sense_helm,antisense_helm,oligo_helm,tm_c,ic50_nm,kd_pct,off_target_count
siR-0001,KRAS,lead,19,19,RNA1{m(G)[sp].m(A)[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G).[L3]}$$$$,RNA1{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)}$$$$,RNA1{m(G)[sp].m(A)[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G).[L3]}|RNA2{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)}$$$$,76.9,0.29,99,7
siR-0002,KRAS,clinical,19,19,RNA1{[Chol].m(G)[sp].[fl2r](A)[sp].m(C)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](A)p.m(A)p.[fl2r](C)p.m(U)p.[fl2r](U)p.m(G)[sp].[fl2r](U)[sp].m(G).[L3]}$$$$,RNA1{m(C)[sp].[fl2r](A)[sp].m(C)p.[fl2r](A)p.m(A)p.[fl2r](G)p.m(U)p.[fl2r](U)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(G)[sp].[fl2r](U)[sp].m(C)}$$$$,RNA1{[Chol].m(G)[sp].[fl2r](A)[sp].m(C)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](A)p.m(A)p.[fl2r](C)p.m(U)p.[fl2r](U)p.m(G)[sp].[fl2r](U)[sp].m(G).[L3]}|RNA2{m(C)[sp].[fl2r](A)[sp].m(C)p.[fl2r](A)p.m(A)p.[fl2r](G)p.m(U)p.[fl2r](U)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(G)[sp].[fl2r](U)[sp].m(C)}$$$$,83.8,0.28,99,7
siR-0003,KRAS,parent,21,21,RNA1{r(G)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(U)p.r(G)p.r(U)p.r(G)p.d(T)p.d(T)}$$$$,RNA1{r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(C)p.d(T)p.d(T)}$$$$,RNA1{r(G)p.r(A)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(U)p.r(G)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(U)p.r(C)p.d(T)p.d(T)}$$$$,59.6,0.17,65,4
siR-0004,PCSK9,lead,19,19,RNA1{m(U)[sp].m(C)[sp].m(A)p.m(G)p.m(G)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(G)p.m(A)p.m(A)p.m(G)p.m(C)p.m(U)p.m(G)[sp].m(A)[sp].m(A).[L3]}$$$$,RNA1{m(U)[sp].m(U)[sp].m(C)p.m(A)p.m(G)p.m(C)p.m(U)p.m(U)p.m(C)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(C)p.m(C)p.m(U)[sp].m(G)[sp].m(A)}$$$$,RNA1{m(U)[sp].m(C)[sp].m(A)p.m(G)p.m(G)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(G)p.m(A)p.m(A)p.m(G)p.m(C)p.m(U)p.m(G)[sp].m(A)[sp].m(A).[L3]}|RNA2{m(U)[sp].m(U)[sp].m(C)p.m(A)p.m(G)p.m(C)p.m(U)p.m(U)p.m(C)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(C)p.m(C)p.m(U)[sp].m(G)[sp].m(A)}$$$$,79,0.38,99,10
siR-0005,PCSK9,clinical,19,19,RNA1{[Chol].m(U)[sp].[fl2r](C)[sp].m(A)p.[fl2r](G)p.m(G)p.[fl2r](A)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](G)p.m(C)p.[fl2r](U)p.m(G)[sp].[fl2r](A)[sp].m(A).[L3]}$$$$,RNA1{m(U)[sp].[fl2r](U)[sp].m(C)p.[fl2r](A)p.m(G)p.[fl2r](C)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](U)p.m(C)p.[fl2r](C)p.m(U)[sp].[fl2r](G)[sp].m(A)}$$$$,RNA1{[Chol].m(U)[sp].[fl2r](C)[sp].m(A)p.[fl2r](G)p.m(G)p.[fl2r](A)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](G)p.m(C)p.[fl2r](U)p.m(G)[sp].[fl2r](A)[sp].m(A).[L3]}|RNA2{m(U)[sp].[fl2r](U)[sp].m(C)p.[fl2r](A)p.m(G)p.[fl2r](C)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](U)p.m(C)p.[fl2r](C)p.m(U)[sp].[fl2r](G)[sp].m(A)}$$$$,82.1,0.23,99,5
siR-0006,PCSK9,parent,21,21,RNA1{r(U)p.r(C)p.r(A)p.r(G)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(G)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.d(T)p.d(T)}$$$$,RNA1{r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(C)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(C)p.r(U)p.r(G)p.r(A)p.d(T)p.d(T)}$$$$,RNA1{r(U)p.r(C)p.r(A)p.r(G)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(G)p.r(C)p.r(U)p.r(G)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(C)p.r(A)p.r(G)p.r(C)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(C)p.r(U)p.r(G)p.r(A)p.d(T)p.d(T)}$$$$,64.8,0.56,81,15
siR-0007,TTR,lead,19,19,RNA1{m(A)[sp].m(U)[sp].m(U)p.m(G)p.m(G)p.m(G)p.m(A)p.m(U)p.m(U)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(A)[sp].m(A)[sp].m(U).[L3]}$$$$,RNA1{m(A)[sp].m(U)[sp].m(U)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(A)p.m(A)p.m(U)p.m(C)p.m(C)p.m(C)p.m(A)[sp].m(A)[sp].m(U)}$$$$,RNA1{m(A)[sp].m(U)[sp].m(U)p.m(G)p.m(G)p.m(G)p.m(A)p.m(U)p.m(U)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(A)[sp].m(A)[sp].m(U).[L3]}|RNA2{m(A)[sp].m(U)[sp].m(U)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(A)p.m(A)p.m(U)p.m(C)p.m(C)p.m(C)p.m(A)[sp].m(A)[sp].m(U)}$$$$,78.1,0.34,99,9
siR-0008,TTR,clinical,19,19,RNA1{[Chol].m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](G)p.m(A)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(A)[sp].[fl2r](A)[sp].m(U).[L3]}$$$$,RNA1{m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](A)p.m(U)p.[fl2r](C)p.m(C)p.[fl2r](C)p.m(A)[sp].[fl2r](A)[sp].m(U)}$$$$,RNA1{[Chol].m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](G)p.m(A)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(A)[sp].[fl2r](A)[sp].m(U).[L3]}|RNA2{m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](A)p.m(U)p.[fl2r](C)p.m(C)p.[fl2r](C)p.m(A)[sp].[fl2r](A)[sp].m(U)}$$$$,80.7,0.19,99,4
siR-0009,TTR,parent,19,19,RNA1{r(A)p.r(U)p.r(U)p.r(G)p.r(G)p.r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)}$$$$,RNA1{r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.r(C)p.r(C)p.r(A)p.r(A)p.r(U)}$$$$,RNA1{r(A)p.r(U)p.r(U)p.r(G)p.r(G)p.r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(G)p.r(A)p.r(A)p.r(U)}|RNA2{r(A)p.r(U)p.r(U)p.r(C)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.r(C)p.r(C)p.r(A)p.r(A)p.r(U)}$$$$,59.5,0.16,65,3
siR-0010,APOC3,lead,19,19,RNA1{m(A)[sp].m(U)[sp].m(C)p.m(A)p.m(G)p.m(U)p.m(A)p.m(C)p.m(G)p.m(U)p.m(U)p.m(G)p.m(U)p.m(C)p.m(A)p.m(A)p.m(C)[sp].m(G)[sp].m(G).[L3]}$$$$,RNA1{m(C)[sp].m(C)[sp].m(G)p.m(U)p.m(U)p.m(G)p.m(A)p.m(C)p.m(A)p.m(A)p.m(C)p.m(G)p.m(U)p.m(A)p.m(C)p.m(U)p.m(G)[sp].m(A)[sp].m(U)}$$$$,RNA1{m(A)[sp].m(U)[sp].m(C)p.m(A)p.m(G)p.m(U)p.m(A)p.m(C)p.m(G)p.m(U)p.m(U)p.m(G)p.m(U)p.m(C)p.m(A)p.m(A)p.m(C)[sp].m(G)[sp].m(G).[L3]}|RNA2{m(C)[sp].m(C)[sp].m(G)p.m(U)p.m(U)p.m(G)p.m(A)p.m(C)p.m(A)p.m(A)p.m(C)p.m(G)p.m(U)p.m(A)p.m(C)p.m(U)p.m(G)[sp].m(A)[sp].m(U)}$$$$,77.5,0.32,99,8
