smiles,NOCount,NumRadicalElectrons,MinPartialCharge,MaxAbsPartialCharge,NHOHCount,ExactMolWt,NumSaturatedCarbocycles,NumAliphaticHeterocycles,FpDensityMorgan1,NumAromaticHeterocycles,NumValenceElectrons,NumRotatableBonds,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHDonors,FpDensityMorgan3,NumAromaticRings,HeavyAtomMolWt,NumSaturatedRings,MolWt,NumHAcceptors,NumHeteroatoms,NumSaturatedHeterocycles,NumAliphaticRings,MaxPartialCharge,RingCount,FpDensityMorgan2,FractionCSP3,HeavyAtomCount,inchi_key
FC(F)Oc1cccc(c1)C(=O)NCCN2C(=O)S\C(=C/c3cccnc3)\C2=O,7,0,-0.4348183,0.4348183,1,419.0751343,0,1,1.2758621,1,150,7,1,0,1,2.8275862,2,404.2890015,1,419.4089966,6,10,1,1,0.3870323,3,2.1034484,0.1578947,29,RCKUZCZZUOYUBE-DHDCSXOGSA-N
NC(=O)C1CCN(CC1)c2ncc(cc2Cl)C(F)(F)F,4,0,-0.3694364,0.4174442,2,307.0699158,0,1,1.4000000,1,110,2,0,0,1,2.4500000,1,294.5989990,1,307.7030029,3,8,1,1,0.4174442,2,2.0000000,0.5000000,20,PMZLEJZBYZVZMY-UHFFFAOYSA-N
Cc1ccc(cc1[N+](=O)[O-])C(=O)COC(=O)CCC(=O)NC2CCCCC2,8,0,-0.4572550,0.4572550,1,376.1634216,1,0,1.1851852,0,146,8,1,1,1,2.5555556,1,352.2170105,1,376.4089966,6,8,0,1,0.3062560,2,1.8888888,0.5263158,27,NNNHHINKYBKSLC-UHFFFAOYSA-N
CC(C)(O)P(=O)(C)c1ccccc1,2,0,-0.3824104,0.3824104,1,198.0809631,0,0,1.2307693,0,72,2,1,0,1,2.0769231,1,183.0820007,0,198.2019958,2,3,0,0,0.1415623,1,1.6923077,0.4000000,13,XGTRANNSDNGFRJ-UHFFFAOYSA-N
Cc1cc(C)nc(Nc2n[nH]c(COc3cccc4ccccc34)n2)n1,7,0,-0.4849820,0.4849820,2,346.1542053,0,0,0.9230769,2,130,5,2,0,2,2.5384614,4,328.2500000,0,346.3940125,6,7,0,0,0.2485409,4,1.6923077,0.1578947,26,WBQCCPNJZHQJPQ-UHFFFAOYSA-N
CCCn1c(SCC(=O)N2CCOCC2)nnc1c3ccncc3,7,0,-0.3777742,0.3777742,0,347.1416016,0,1,1.2500000,2,128,6,0,0,0,2.7083333,2,326.2760010,1,347.4440002,7,8,1,1,0.2327080,3,2.0000000,0.5000000,24,PJPWCEQXFYJNAM-UHFFFAOYSA-N
Clc1ccc(NC(=O)Nc2ccc(N3CCCC3)c(c2)S(=O)(=O)Nc4ccccc4Cl)cc1Cl,7,0,-0.3704220,0.3704220,3,538.0399780,0,1,0.7941176,0,178,6,3,0,3,2.1176472,3,518.7039795,1,539.8720093,4,11,1,1,0.3231799,4,1.4411764,0.1739130,34,OSXJCADMMVVQIF-UHFFFAOYSA-N
COc1ccc(CCNC(=O)c2oc(cc2)c3ccc(cc3)[N+](=O)[O-])cc1OC,8,0,-0.4928700,0.4928700,1,396.1321411,0,0,1.0344827,1,150,8,2,0,1,2.4137931,3,376.2390137,0,396.3989868,6,8,0,0,0.2865242,3,1.7586207,0.1904762,29,LASHFDPBPIXGCZ-UHFFFAOYSA-N
CCc1cccc(NC(=O)Nc2ccc3OCOc3c2)c1,5,0,-0.4535930,0.4535930,2,284.1160889,0,1,1.0476191,0,108,3,2,0,2,2.6190476,2,268.1870117,0,284.3150024,3,5,0,1,0.3231807,3,1.8095238,0.1875000,21,NGXFCTQXVMHFJN-UHFFFAOYSA-N
CC(C)NC(=O)c1onc(C)c1,4,0,-0.3507855,0.3507855,1,168.0898743,0,0,1.6666666,1,66,2,0,0,1,2.7500000,1,156.1000061,0,168.1959991,3,4,0,0,0.2895976,1,2.3333333,0.5000000,12,OXSGCHHGMDGNAC-UHFFFAOYSA-N
CCOC(=O)c1cccc(c1)n2c(C)cc(C=O)c2C,4,0,-0.4623904,0.4623904,0,271.1208496,0,0,1.3000000,1,104,4,1,0,0,2.6500001,2,254.1799927,0,271.3160095,4,4,0,0,0.3376859,2,2.0500000,0.2500000,20,BIIKXXGHWXUQPQ-UHFFFAOYSA-N
