smiles,Mol Wt.,R3 fmla,text
O=C1CN=C(c2ccccc2N1)C3CCCCC3,242.3200073,H-,low hgb for the first 8 months but not as tired and now hgb is 12.5.  Last CA 125 12.2.  Just yesterday my dose has been reduced because of muscle  and joint pain.   These I can live with.
CN1C(=O)CN=C(c2ccccc12)C3CCCCC3,256.3500061,H-,"Taking this drug, I was unable to focus. My pain didn't get better, but I did have issues with suicidal thoughts and horrible nightmares.  I became very irritable and unstable.  This was not a good medication for me. "
CCCCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,298.4299927,H-,"I took Lyrica for my trigeminal neuralgia. It helped a little at first (taking the pain down a couple points), but it gave me really bad heartburn and caused me to gain 30 lbs. The side effects from stopping are the worst though. I stopped taking it 4 weeks ago and still am constantly nauseous and jittery. I would NEVER take it again and caution anyone considering taking it."
CC(C)CCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,312.4599915,H-,"After having a 4-disc anterior cervical fusion, I experienced excruciating pain in my left shoulder and was unable to lift my arm.  After increased doses of Lyrica, I was eventually able to lift my arm and the shoulder pain went away.  I had a second surgery (posterior decompression) for the nerve problem on left side, but I am still taking Lyrica so we don't know if the surgery was successful or the Lyrica is continuing to help."
O=C1CN=C(c2ccccc2N1CC3CCCCC3)C4CCCCC4,338.5000000,H-,I have Severe Fibromyalgia but my psychiatrist prescribed it saying it will also help with anxiety & Bipolar disorder. So far it is OK. I have only been on it a few months but it does seem to work along with the other medications.
O=C1CN=C(c2cc(Cl)ccc2N1)C3CCCCC3,276.7699890,Cl-,"numbness of legs,pain in hip legs and feet,  coldness in legs and feet"
CN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,290.7999878,Cl-,"In February 2009 following Chemotherapy treatments for cancer, I was first prescribed Neurotin.  However, I became allergic to that after 1 month.  I have now been on Lyrica for three weeks for the neuropathy in my hands and feet.  It immediately gave me relief in my feet, however since then, some of the numbness has returned and now I have more pains in my feet, I've gained about 6 pounds, my calves hurt, my hands feel swollen, I've had some nausia, and at night my whole arm sometimes goes to sleep.  But I have been sleeping better than before.  I'm not sure if all these pains are from Lyrica, but believe they may be since all I had was the neuropathy in my hands and feet before this drug.  I am taking 75MG twice a day.  I think I'm going to ask to stop taking it and see how I feel.  I hate the weight gain."
CCCCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,332.8800049,Cl-,did nothing for my pain. side effects made getting rest worse.
CC(C)CCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,346.8999939,Cl-,"This medication was an absolute disaster.  It was prescribed for chronic neurological pain in the trapius shoulder muscle as well as for chronic migraine headaches.  At the expense of having my driver's license taken away by the doctors (due to double vision), I made the decision to tritrate off the medication and return to Lidoderm patches for the shoulder and selected seizure meds for the migraines.  Having had a heart attack in 1995 (LAD vessel), I am unable to take approximately 95% of any of the meds for migraines on the current market.  Currently fentynal TD and oxycodone/apap are the main ""drugs du jour"" at the present time.  Any suggestions from professional staff or other patients?"
O=C1CN=C(c2cc(Cl)ccc2N1CC3CCCCC3)C4CCCCC4,372.9400024,Cl-,I’ve been on this birth control for about a year and a half. I didn’t realize how bad my side effects until recently. The headaches that came with my period have been horrible and depression/ suicidal thoughts have definitely came along with it too. It regulates my period and made it a lot lighter so that’s a slight positive. 
N#Cc1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,267.3299866,CN-,"I've been battling dry eyes for over 15 years and this eye drop has been the most effective. Yes, it's a steroid, but it works!
And I haven't had to use any other prescription drops nor OFC eye drops..Thank God..wish I would have known about this sooner :)
"
CN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,281.3599854,CN-,"This was the 5th medication we tried and after only one dose my eyes felt 100% better I am using only one drop a day in the morning and my eyes are perfect, after 5 weeks of suffering horribly with swollen, red,sometimes goopy and running eyesm not to mention the outside of my eyelids being red and scaly, i am extremely happy!!"
CCCCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,323.4400024,CN-,post op bleeding
CC(C)CCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,337.4700012,CN-,"This stuff had me sick for entire day. Feverish, flu-like symptoms - nausea, diarreha, fatigue & chills."
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,363.5100098,CN-,ED SIDE EFFECT
CN(C)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,285.3900146,C2H6N-,"The lovaza has helped bring my triglyceride down, but it has caused major itching on my arms.  I feel like I have insects running around under my skin.  I'm asking to go on something else as this is driving me crazy and my arms are getting sores from me scratching.  No amount of anti-itch cream stops this."
