smiles,Pgp-Inhibitor,Pgp-Substrate,HIA,F(20%),F(30%),BBB,CYP1A2-Inhibitor,CYP1A2-Substrate,CYP3A4-Inhibitor,CYP3A4-Substrate,CYP2C19-Inhibitor,CYP2C19-Substrate,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,Ames,SkinSen
O=C1CN=C(c2ccccc2N1)C3CCCCC3,0.4267306,0.4344362,0.8389602,0.8263337,0.6467533,0.4352490,0.4261717,0.8259993,0.8046776,0.6457561,0.3673333,0.3631471,0.7731117,0.7554177,0.5582319,0.3717600,0.4029227,0.8115241
CN1C(=O)CN=C(c2ccccc12)C3CCCCC3,0.7898230,0.5528650,0.4255323,0.4128240,0.8168932,0.8024419,0.6265807,0.3566462,0.3527594,0.7697897,0.7512832,0.5539855,0.3523416,0.3491456,0.7686935,0.7486508,0.5478661,0.2823804
CCCCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,0.2573451,0.6734748,0.6467512,0.4380594,0.2670104,0.2577850,0.6603253,0.6455792,0.4242808,0.3984810,0.4189371,0.8374932,0.8180164,0.6961972,0.6400626,0.6529862,0.9266673,0.9122776
CC(C)CCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,0.8646889,0.5783899,0.5997348,0.9037914,0.8899825,0.8148552,0.6076361,0.6526239,0.9263030,0.9122606,0.8214206,0.6361414,0.6455767,0.9237709,0.9128359,0.8516127,0.5730911,0.5950689
O=C1CN=C(c2ccccc2N1CC3CCCCC3)C4CCCCC4,0.9046794,0.8905306,0.8143324,0.5637833,0.5867561,0.9027346,0.8875443,0.8100827,0.4702385,0.4642296,0.8435175,0.8196105,0.7218437,0.4426286,0.4564961,0.8307198,0.8139404,0.7049835
O=C1CN=C(c2cc(Cl)ccc2N1)C3CCCCC3,0.7094730,0.7378864,0.9490435,0.9393456,0.8632146,0.6509169,0.6738808,0.9287106,0.9117571,0.8343113,0.6237276,0.6457727,0.9140109,0.8979498,0.7983992,0.6693112,0.6829802,0.9310907
CN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,0.9149799,0.8266926,0.6699799,0.6877452,0.9320365,0.9194197,0.8339352,0.6152169,0.6402006,0.9142324,0.8978339,0.7945916,0.6064928,0.6313059,0.9123001,0.8948647,0.7903509,0.5000000
CCCCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,0.5000000,0.8519403,0.8236177,0.6843151,0.5137855,0.5251239,0.8584715,0.8387073,0.7044442,0.3602495,0.4162914,0.8170601,0.8132198,0.5642383,0.3664378,0.4130268,0.8060637,0.7935290
CC(C)CCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,0.5578583,0.3033547,0.3461741,0.7453781,0.7383332,0.4742996,0.3811439,0.4199232,0.8150347,0.7998856,0.5604234,0.3508111,0.3891506,0.7890583,0.7839052,0.5295781,0.2952658,0.3398786
O=C1CN=C(c2cc(Cl)ccc2N1CC3CCCCC3)C4CCCCC4,0.7448842,0.7374071,0.4709116,0.2900290,0.3344136,0.7419481,0.7329000,0.4633533,0.2213417,0.2353315,0.6326107,0.6184534,0.3473169,0.2249918,0.2491258,0.6359995,0.6347598,0.3576818
N#Cc1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,0.3623538,0.4057875,0.8108795,0.7944040,0.6243659,0.6020047,0.6462052,0.9151993,0.9016764,0.8196381,0.5412800,0.5844373,0.8866815,0.8741578,0.7608178,0.6421762,0.6739392,0.9262939
CN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,0.9127752,0.8225297,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CCCCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CC(C)CCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CN(C)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CN(C)c1ccc2c(c1)C(=NCC(=O)N2C)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CCCCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CC(C)CCN1C(=O)CN=C(c2cc(ccc12)N(C)C)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CN(C)c1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
O=C1CN=C(c2cc(F)ccc2N1)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000,0.5000000
CCCCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,0.5000000,0.5000000,0.5000000,0.5000000,0.8640000,0.8400000,0.8380000,0.8380000,0.8740000,0.8780000,0.8760000,0.8660000,0.8740000,0.9020000,0.8580000,0.8320000,0.8320000,0.8320000
CC(C)CCN1C(=O)CN=C(c2cc(F)ccc12)C3CCCCC3,0.8660000,0.8300000,0.8160000,0.8080000,0.7960000,0.8340000,0.8760000,0.8800000,0.8700000,0.8840000,0.9060000,0.8400000,0.8360000,0.8300000,0.8380000,0.8600000,0.8520000,0.8600000
O=C1CN=C(c2cc(F)ccc2N1CC3CCCCC3)C4CCCCC4,0.8520000,0.8580000,0.8780000,0.7900000,0.7420000,0.7160000,0.7080000,0.7660000,0.7460000,0.6760000,0.6480000,0.6380000,0.6660000,0.9080000,0.8820000,0.8200000,0.8260000,0.8600000
O=C1CN=C(c2cc(Br)ccc2N1)C3CCCCC3,0.9220000,0.9160000,0.8580000,0.8720000,0.8980000,0.9020000,0.8740000,0.8140000,0.8200000,0.8520000,0.8680000,0.8480000,0.7980000,0.7880000,0.8280000,0.9140000,0.9120000,0.8600000
CN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,0.8800000,0.9000000,0.8760000,0.8680000,0.8200000,0.8340000,0.8540000,0.8960000,0.8980000,0.8420000,0.8540000,0.8720000,0.8340000,0.7920000,0.7000000,0.6960000,0.7540000,0.7680000
CCCCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,0.7100000,0.6460000,0.6400000,0.6640000,0.7280000,0.7520000,0.7100000,0.7040000,0.7140000,0.7480000,0.7920000,0.7480000,0.7480000,0.7520000,0.7220000,0.7440000,0.7060000,0.7020000
CC(C)CCN1C(=O)CN=C(c2cc(Br)ccc12)C3CCCCC3,0.7100000,0.7360000,0.7340000,0.7000000,0.6920000,0.7320000,0.7580000,0.8040000,0.7660000,0.7700000,0.7720000,0.7260000,0.7660000,0.7320000,0.7320000,0.7300000,0.7280000,0.7740000
O=C1CN=C(c2cc(Br)ccc2N1CC3CCCCC3)C4CCCCC4,0.7360000,0.7360000,0.7340000,0.6740000,0.6860000,0.6200000,0.6020000,0.6060000,0.6640000,0.5960000,0.5420000,0.5400000,0.5540000,0.8660000,0.8720000,0.8680000,0.8360000,0.8660000
O=C1CN=C(c2cc(I)ccc2N1)C3CCCCC3,0.8700000,0.8900000,0.8940000,0.8700000,0.8940000,0.8600000,0.8660000,0.8640000,0.8340000,0.8600000,0.8320000,0.8400000,0.8220000,0.8100000,0.8440000,0.8720000,0.8940000,0.8940000
CN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,0.8760000,0.8940000,0.8300000,0.8460000,0.8580000,0.8340000,0.8520000,0.8460000,0.8680000,0.8760000,0.8540000,0.8720000,0.7840000,0.7980000,0.7620000,0.7360000,0.7800000,0.7140000
CCCCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,0.6940000,0.6760000,0.6640000,0.6820000,0.9100000,0.8980000,0.8740000,0.8440000,0.8560000,0.9160000,0.9220000,0.9020000,0.8800000,0.8980000,0.9040000,0.8920000,0.8700000,0.8420000
CC(C)CCN1C(=O)CN=C(c2cc(I)ccc12)C3CCCCC3,0.8500000,0.8600000,0.8620000,0.8320000,0.8240000,0.8460000,0.6120000,0.6380000,0.5360000,0.5440000,0.5440000,0.7140000,0.7620000,0.6840000,0.7060000,0.7040000,0.6020000,0.6360000
O=C1CN=C(c2cc(I)ccc2N1CC3CCCCC3)C4CCCCC4,0.5300000,0.5400000,0.5420000,0.6620000,0.6320000,0.5660000,0.5760000,0.5900000,0.7060000,0.7400000,0.6600000,0.6860000,0.6820000,0.6980000,0.7420000,0.6740000,0.6980000,0.6840000
NC(=O)c1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,0.7000000,0.7440000,0.6680000,0.6920000,0.6840000,0.5260000,0.5480000,0.4480000,0.4740000,0.4340000,0.6120000,0.6300000,0.5820000,0.5920000,0.5680000,0.7340000,0.7280000,0.5440000
