smiles,ID,Mol Wt.,Plate #,Row,Column,LC/MS,LD(50),In-vivo Activity,Assay #1(IC50),Assay #2 (IC50),Efficacy,Kd #1,Kd #2,Half life (min),Bioavailability,cLogP,Pka,R1 fmla,R2 fmla,R3 fmla,R4 fmla,2Ka,S5,T1,1Cv,Core_id
O=C1CN=C(c2ccccc2N1)C3CCCCC3,1,242.3200073,1,1,1,pass,92.2200012,60,1.0000000,167.5240021,60,1.7000000,287.8399963,113,42,3.9900000,6.5999999,H-,C6H11-,H-,H-,6.9000001,2.1700001,-0.3720000,6.0200000,C15H15N2O
CN1C(=O)CN=C(c2ccccc12)C3CCCCC3,2,256.3500061,1,2,1,pass,482.7399902,50,1.1540000,433.2699890,50,1.9800000,675.9099731,326,56,-1.4200000,7.0999999,H-,C6H11-,H-,CH3-,0.9170000,-1.6400000,3.9349999,6.1999998,C15H15N2O
CCCCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,3,298.4299927,1,3,1,fail,3.5300000,61,795.5040283,884.0969849,61,644.9099731,970.9099731,67,32,4.1199999,6.1999998,H-,C6H11-,H-,C4H9-,0.0820000,-1.7800000,-0.5150000,1.5800000,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2ccccc12)C3CCCCC3,4,312.4599915,1,4,1,pass,806.9099731,86,0.0100000,450.2510071,86,0.1000000,706.2399902,481,18,-4.1599998,9.5000000,H-,C6H11-,H-,C5H11-,-1.7910000,2.0000000,-1.5970000,7.2900000,C15H15N2O
O=C1CN=C(c2ccccc2N1CC3CCCCC3)C4CCCCC4,5,338.5000000,1,5,1,pass,1.8000000,33,110.1490021,302.3659973,33,117.8399963,527.0599976,239,56,-1.4500000,10.1999998,H-,C6H11-,H-,C7H13-,3.2630000,6.2399998,5.2700000,3.7700000,C15H15N2O
O=C1CN=C(c2cc(Cl)ccc2N1)C3CCCCC3,6,276.7699890,1,6,1,pass,3.0799999,51,3.4740000,0.0490000,51,4.9499998,0.1700000,383,40,-4.9200001,6.9000001,H-,C6H11-,Cl-,H-,6.0999999,3.0500000,3.6680000,1.3600000,C15H15N2O
CN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,7,290.7999878,1,7,1,pass,92.8199997,68,0.8480000,40.4970016,68,1.5000000,9.8500004,51,42,-2.8900001,9.1999998,H-,C6H11-,Cl-,CH3-,2.8060000,5.7600002,2.2300000,2.9700000,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,8,332.8800049,1,8,1,fail,169.8300018,33,859.8179932,1295.1999512,33,1616.8000488,1065.8100586,373,36,-4.6999998,9.8999996,H-,C6H11-,Cl-,C4H9-,5.0770001,0.1900000,-0.0470000,2.8800001,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(Cl)ccc12)C3CCCCC3,9,346.8999939,1,1,2,pass,1.4500000,35,18.7049999,113.9599991,35,14.3599997,200.3800049,103,58,-0.4400000,4.6999998,H-,C6H11-,Cl-,C5H11-,6.1789999,6.8200002,3.4319999,-0.1000000,C15H15N2O
O=C1CN=C(c2cc(Cl)ccc2N1CC3CCCCC3)C4CCCCC4,10,372.9400024,1,2,2,pass,10.5699997,66,4.3449998,148.1049957,66,4.0400000,129.2400055,230,51,-4.0999999,10.5000000,H-,C6H11-,Cl-,C7H13-,-0.4000000,5.1100001,2.6210001,0.4100000,C15H15N2O
N#Cc1ccc2NC(=O)CN=C(c2c1)C3CCCCC3,11,267.3299866,1,3,2,pass,2.8800001,72,0.0370000,117.8089981,72,0.1700000,92.3899994,183,77,-1.1900001,5.3000002,H-,C6H11-,CN-,H-,6.5999999,5.1900001,1.8430001,0.7200000,C15H15N2O
CN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,12,281.3599854,1,4,2,pass,71.0000000,65,0.0380000,266.1210022,65,0.1700000,587.9000244,402,23,-1.3800000,7.4000001,H-,C6H11-,CN-,CH3-,0.4450000,1.8900000,1.4460000,3.5500000,C15H15N2O
CCCCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,13,323.4400024,1,5,2,pass,1.6100000,100,0.0010000,305.8800049,100,0.1400000,7.5999999,54,40,8.5500002,3.0999999,H-,C6H11-,CN-,C4H9-,7.0720000,7.0799999,-1.2630000,6.8499999,C15H15N2O
CC(C)CCN1C(=O)CN=C(c2cc(C#N)ccc12)C3CCCCC3,14,337.4700012,1,6,2,pass,103.2399979,75,0.6240000,380.2070007,41,0.1500000,2.6199999,69,29,0.2800000,4.4000001,H-,C6H11-,CN-,C5H11-,0.9300000,-0.3000000,-0.3650000,-1.8700000,C15H15N2O
N#Cc1ccc2c(c1)C(=NCC(=O)N2CC3CCCCC3)C4CCCCC4,15,363.5100098,1,7,2,pass,5.5200000,67,0.0470000,0.1550000,67,0.1500000,0.3400000,278,28,0.1800000,6.4000001,H-,C6H11-,CN-,C7H13-,1.3140000,2.9700000,0.2720000,-0.6900000,C15H15N2O
