smiles,NOCount,ExactMolWt,MolWt,RingCount
FC(F)Oc1cccc(c1)C(=O)NCCN2C(=O)S\C(=C/c3cccnc3)\C2=O,7,419.0751343,419.4089966,3
NC(=O)C1CCN(CC1)c2ncc(cc2Cl)C(F)(F)F,4,307.0699158,307.7030029,2
Cc1ccc(cc1[N+](=O)[O-])C(=O)COC(=O)CCC(=O)NC2CCCCC2,8,376.1634216,376.4089966,2
CC(C)(O)P(=O)(C)c1ccccc1,2,198.0809631,198.2019958,1
Cc1cc(C)nc(Nc2n[nH]c(COc3cccc4ccccc34)n2)n1,7,346.1542053,346.3940125,4
CCCn1c(SCC(=O)N2CCOCC2)nnc1c3ccncc3,7,347.1416016,347.4440002,3
Clc1ccc(NC(=O)Nc2ccc(N3CCCC3)c(c2)S(=O)(=O)Nc4ccccc4Cl)cc1Cl,7,538.0399780,539.8720093,4
COc1ccc(CCNC(=O)c2oc(cc2)c3ccc(cc3)[N+](=O)[O-])cc1OC,8,396.1321411,396.3989868,3
CCc1cccc(NC(=O)Nc2ccc3OCOc3c2)c1,5,284.1160889,284.3150024,3
CC(C)NC(=O)c1onc(C)c1,4,168.0898743,168.1959991,1
CCOC(=O)c1cccc(c1)n2c(C)cc(C=O)c2C,4,271.1208496,271.3160095,2
O=C(CCCN1C(=O)Oc2ccccc12)N3CCN(CC3)c4ccccn4,7,366.1691895,366.4209900,4
COc1ccc(Br)cc1CN2CCN(CC2)C(=O)c3cccc(F)c3.OC(=O)C(=O)O,8,496.0645142,497.3169861,3
CC1(C)Cc2cccc(OCC(=O)N3CCN(CC3)c4ccc(cc4)[N+](=O)[O-])c2O1,8,411.1794128,411.4580078,4
CCc1nnc(NC(=O)CCc2onc(n2)C3=CCN(C)CC3)s1,8,348.1368408,348.4320068,3
Cc1ccccc1NC(=O)c2cccc(c2)N3C(=O)C4C5CC(C(Br)C5Br)C4C3=O,5,529.9840698,532.2319946,5
Cc1cc(C)c2NC(C3CC=CC3c2c1)c4ccc(cc4)S(=O)(=O)N5CCOCC5,5,424.1820679,424.5660095,5
Cl.CN1CCN(CC1)C(=O)\C(=C\c2ccc(F)cc2)\C#N,4,309.1044312,309.7720032,2
C1Cc2ccccc2CN1c3[nH]cnc4c5ccccc5nc34,4,300.1374817,300.3649902,5
Cc1nc(O)nc(O)c1S(=O)(=O)N2CCCC(C2)C(=O)N3CCN(CC3)c4cccc(c4)C(F)(F)F,10,529.1606445,529.5410156,4
COC(=O)C1=C(O)\C(=C\c2ccc(OCC(=O)Nc3ccccc3)cc2)\N=C1C,7,392.1372070,392.4110107,3
CCCC1=Nc2ccc(NC(=O)C)cc2C(=O)N1Cc3cccc(Cl)c3,5,369.1243896,369.8519897,3
CCC1=C(O)N(C2CCCCC2)C(=NC1=O)SCC(=O)Nc3ccc(C)cc3,6,401.1773071,401.5320129,3
COc1cccc(CNC(=O)c2oc(CS(=O)(=O)Cc3ccccc3C)cc2)c1,6,413.1296997,413.4949951,3
