Col 1,Col 2,Col 3
BBB,<0.00,65.06
,,60.03
,0.63,57.52
BBB,<0.00,55.15
AAA,0.01,54.58
,0.23,53.38
,0.01,52.58
,<0.00,51.37
CCC,>0.75,48.92
,<0.00,47.89
d,0.01,47.26
d,0.12,46.83
,0.00,46.76
d,0.01,46.62
,0.11,46.37
e,>0.75,46.23
,0.01,45.97
,0.10,45.73
,0.02,45.55
CCC,0.12,45.09
AAA,0.00,44.69
,<0.00,44.58
f,<0.00,44.42
d,0.00,43.98
f,0.54,43.80
,0.03,43.70
,0.00,43.68
,0.00,43.54
d,0.03,42.89
,0.01,42.79
,0.47,42.75
AAA,0.13,42.29
CCC,>0.75,42.09
,<0.00,41.74
,0.01,41.50
f,0.03,41.19
CCC,0.75,41.06
,0.16,40.97
d,0.01,40.77
,0.04,39.88
CCC,>0.75,39.70
AAA,0.01,39.67
,0.12,39.67
,<0.00,39.28
AAA,0.00,38.86
,0.05,38.32
e,0.10,38.19
,0.05,38.15
CCC,>0.75,38.05
,0.41,38.01
,0.01,37.99
AAA,0.17,37.97
CCC,0.04,37.97
,0.09,37.35
,<0.00,36.92
d,0.01,36.86
,0.05,36.81
AAA,0.00,36.80
,0.03,36.72
f,0.01,36.71
CCC,>0.75,36.15
,0.02,35.68
,>0.75,35.65
,,35.59
,0.25,35.54
,0.58,35.31
,0.32,35.22
d,<0.00,35.00
,0.17,34.81
,0.61,34.80
,0.01,34.71
,,34.35
d,0.04,34.11
,0.46,34.08
,0.02,33.79
,0.24,33.61
,0.01,33.27
,>0.75,33.11
,0.00,32.91
AAA,0.01,32.72
CCC,>0.75,32.54
,0.14,32.53
,0.38,32.49
,0.19,32.45
,<0.00,32.32
,0.02,32.23
,0.30,32.21
,,32.15
e,,32.12
,0.01,31.96
,0.23,31.70
,<0.00,31.67
,0.21,31.65
e,0.09,31.46
,<0.00,31.42
,0.01,31.21
,0.06,30.78
,0.73,30.74
u ,0.16,30.64
,<0.00,30.61
d,0.01,30.50
,<0.00,30.40
,0.05,30.23
,0.63,30.15
AAA,0.00,30.11
,0.01,30.07
,,30.02
,0.01,30.00
CCC,>0.75,29.72
e,0.50,29.66
e,,29.63
,0.02,29.46
,,29.38
,0.00,29.26
CCC,>0.75,29.22
BBB,>0.75,29.15
AAA,0.00,29.08
,0.17,29.07
,<0.00,29.07
,0.01,28.94
,0.17,28.83
,<0.00,28.70
,0.00,28.58
AAA,0.04,28.27
,0.47,28.21
,0.00,28.16
,0.20,28.06
d,,28.03
,0.05,27.84
,0.09,27.83
,0.55,27.74
d,0.01,27.65
CCC,>0.75,27.51
d,<0.00,27.51
,0.31,27.28
,0.11,27.12
CCC,>0.75,27.08
,0.16,27.03
,0.05,26.99
,<0.00,26.88
,0.02,26.85
,0.31,26.82
e,,26.62
,0.01,26.60
CCC,0.58,26.53
d,0.06,26.26
,0.36,26.25
u ,0.15,26.25
,0.04,26.24
CCC,>0.75,26.23
e,0.44,26.16
CCC,>0.75,26.12
CCC,,26.00
,<0.00,25.98
u ,0.80,25.96
,0.38,25.83
,0.02,25.65
f,<0.00,25.65
,0.16,25.63
d,<0.00,25.36
,0.01,25.33
d,<0.00,25.00
f,0.17,24.67
AAA,,24.49
e,0.06,24.17
Pyrazine,0.07,24.14
,0.31,24.13
e,0.44,24.07
,0.11,23.76
,0.19,23.68
,>0.75,23.67
,0.09,23.44
,0.01,23.41
u ,0.32,23.38
d,0.02,23.29
,0.61,23.11
CCC,0.57,22.91
f,0.03,22.87
e,0.08,22.87
,0.44,22.82
,0.01,22.73
,0.11,22.69
,0.00,22.66
,0.00,22.63
u ,>0.75,22.51
f,0.02,22.47
,0.52,22.40
u ,,22.32
,0.01,22.30
Pyrazine,>0.75,22.02
CCC,0.42,21.86
u ,,21.68
u ,,21.64
,0.02,21.63
u ,0.26,21.60
,0.32,21.56
d,0.01,21.55
,0.04,21.28
AAA,0.35,21.26
,0.49,21.15
