x1,x2,y
-4.98749,6.96786,1
0.635853,-0.551958,-1
-3.06696,3.45735,1
3.0874,-1.14304,-1
0.850093,4.53816,1
-0.20127,0.863674,1
-1.49709,0.254463,1
3.95962,1.06336,-1
3.2284,5.94143,1
2.46605,6.14551,1
-3.25892,-0.734611,1
3.58943,0.472823,-1
2.10501,3.35765,1
0.13535,0.0498366,-1
-1.96005,4.82794,1
-4.85015,4.74801,1
-4.08597,6.27186,1
-1.35548,5.21,1
-3.52687,-1.71517,-1
-3.34101,-1.3625,-1
4.88525,-0.39787,-1
-0.543077,1.86868,1
-3.80917,4.40468,1
-4.95331,6.84344,1
-4.91089,3.73312,1
-1.2212,0.915037,1
0.316629,3.90259,1
0.711844,6.57179,1
1.01764,0.475021,-1
1.07166,6.12107,1
-3.33766,-1.6476,-1
1.63045,3.93637,1
-0.492111,6.49022,1
-1.47877,1.99228,1
-4.42961,-1.74209,-1
1.07685,-1.14084,-1
2.83319,4.21131,1
3.02606,0.136357,-1
0.198828,6.57674,1
-1.9805,-0.370403,-1
3.75973,2.78689,1
2.26676,1.55446,1
4.55901,2.46745,1
4.25718,0.780999,-1
0.393536,2.08155,1
-3.57662,6.76269,1
-0.379193,6.55339,1
-2.64672,4.43434,1
3.62239,6.26527,1
-2.90399,3.14945,1
2.79656,-1.52977,-1
3.43654,-1.22874,-1
4.96796,4.02152,1
4.99695,-1.52208,-1
1.11499,1.99173,1
-1.07562,0.790338,1
-2.33787,-1.09442,-1
-2.02719,2.93384,1
3.40144,0.503586,-1
-4.76257,5.00015,1
-1.24134,6.88546,1
-4.07376,1.63054,1
1.77206,-1.88244,-1
-4.43785,-0.788446,1
-4.91211,5.59316,1
4.1879,-0.0248728,-1
-2.24113,6.1977,1
-2.27103,6.07959,1
0.879086,4.32447,1
1.91183,3.80096,1
3.37611,0.584338,-1
2.26493,5.55443,1
-0.150609,3.30931,1
-2.94641,-1.32377,-1
2.43736,-1.70061,-1
-0.315409,2.89621,1
-0.420392,2.29194,1
4.49156,6.29026,1
2.44438,2.00766,1
-3.9172,-1.588,-1
0.990478,6.94836,1
-1.14765,3.32743,1
2.35008,6.02136,1
1.08966,6.56877,1
0.724052,4.17121,1
-1.38661,5.73351,1
-3.48445,1.12626,1
-2.74895,6.63662,1
-0.748467,-1.24165,-1
3.02881,4.78097,1
0.171056,1.01199,1
4.8999,-0.471755,-1
2.51549,1.52947,1
-1.54439,3.83886,1
-3.31019,0.586535,1
1.57308,-1.02109,-1
-0.0810266,-1.59157,-1
-4.3646,4.25361,1
1.99759,5.95572,1
0.0480664,5.72857,1
-3.52504,6.49763,1
4.49583,0.249245,-1
-3.58425,1.35258,1
4.05118,-0.136387,-1
1.92892,3.67928,1
-1.96951,2.24992,1
-0.734428,1.79315,1
-4.29624,-0.0259714,1
4.66613,-0.227027,-1
1.83187,4.5324,1
-3.46767,2.74212,1
3.77255,-0.721152,-1
3.2168,-0.219886,-1
0.82049,6.61574,1
-3.08649,2.57073,1
-3.22108,-1.62041,-1
3.17194,1.24903,-1
-0.247352,4.29289,1
-3.44447,-0.914243,-1
0.0392163,-1.20154,-1
2.32017,1.28968,1
-0.94409,5.71154,1
-2.2042,0.912839,1
0.687429,5.9527,1
1.82241,2.26942,1
2.55852,6.41057,1
2.21915,0.0130315,-1
-0.247047,4.72686,1
-3.7698,0.723045,1
-1.32191,5.71538,1
3.34681,0.118778,-1
-4.64904,1.29765,1
0.170141,2.50618,1
1.62984,-1.59597,-1
-0.737785,2.36198,1
-3.95322,4.36567,1
4.49339,3.72323,1
4.21384,6.04663,1
0.495468,6.88629,1
-1.54012,3.45131,1
-0.282754,-1.53636,-1
-1.25019,0.920255,1
3.4698,3.71389,1
-1.83126,6.41221,1
-0.439009,6.87613,1
-2.28111,2.91818,1
4.82971,2.65807,1
-2.022,4.83755,1
2.39189,4.60875,1
0.67278,4.34452,1
-3.0401,3.55431,1
2.61315,1.47536,1
3.39442,-0.846126,-1
-1.02344,3.01212,1
0.00900269,1.59648,1
3.90164,4.35002,1
-4.72533,-0.877438,1
4.94629,5.54234,1
0.725883,1.05814,1
-4.49492,4.72329,1
0.313272,4.98093,1
-3.05933,2.27958,1
3.43043,6.1793,1
1.26759,5.55965,1
1.57613,1.28172,1
-3.02149,0.720298,1
3.42158,-1.50066,-1
-3.76675,0.649708,1
-3.90072,6.92337,1
2.43126,1.86758,1
-1.85934,4.42225,1
4.41069,-1.95413,-1
-2.13919,1.46052,1
-1.63686,6.41578,1
-3.59737,1.28611,1
2.33085,5.97165,1
3.3462,0.0078125,-1
2.07999,-1.83081,-1
1.00238,-0.271523,-1
2.47215,2.85473,1
-2.47276,4.76009,1
-3.55525,0.608783,1
-4.98383,5.62172,1
-4.38994,-1.35343,-1
3.06238,6.66244,1
3.52626,0.999908,-1
-2.89422,1.36027,1
-3.84396,2.07935,1
0.53209,-0.736808,-1
-4.85748,-0.0377817,1
-3.86227,0.787866,1
-0.454879,1.01831,1
2.5222,-1.71874,-1
1.86148,-1.10321,-1
0.434431,2.53529,1
-4.26115,4.56838,1
-0.632801,1.9129,1
-2.98059,3.18323,1
1.96219,4.05805,1
-2.09647,2.08594,1
-0.633107,2.41884,1
-2.67571,6.54707,1
0.77868,0.151738,-1
0.325785,4.75762,1
1.28681,2.01535,1
-3.39808,-1.48802,-1
0.0413525,2.22904,1
4.63042,6.8981,1
1.95761,-0.396497,-1
4.24802,5.33579,1
-3.10053,2.13456,1
-1.64052,5.62639,1
-3.2165,0.369549,1
4.95178,-0.663198,-1
-0.425581,6.78411,1
4.98016,6.07327,1
-4.02493,5.78158,1
1.25172,2.02414,1
