x1,x2,y
-4.98749,3.3516,1
0.635853,4.23301,-1
-3.06696,2.72262,1
3.0874,0.912839,-1
0.850093,2.68554,-1
-0.20127,-0.12183,1
-1.49709,3.64605,1
3.95962,2.16916,-1
3.2284,3.0253,1
2.46605,0.961455,-1
-3.25892,4.79223,1
3.58943,-1.57262,-1
2.10501,3.50487,-1
0.13535,3.72405,-1
-1.96005,5.01389,-1
-4.85015,-1.09937,1
-4.08597,-0.326182,1
-1.35548,1.44514,1
-3.52687,-0.817286,1
-3.34101,0.343455,1
4.88525,-1.34657,1
-0.543077,3.10605,-1
-3.80917,-0.177587,1
-4.95331,4.28465,1
-4.91089,0.064394,1
-1.2212,1.72915,1
0.316629,2.71685,-1
0.711844,4.322,-1
1.01764,3.76196,-1
1.07166,6.29575,-1
-3.33766,4.77905,-1
1.63045,5.64205,1
-0.492111,1.90905,1
-1.47877,3.65126,-1
-4.42961,6.96292,1
1.07685,-0.588214,1
2.83319,-1.57949,-1
3.02606,0.303354,-1
0.198828,2.49382,-1
-1.9805,-0.792291,1
3.75973,4.30442,-1
2.26676,1.5182,-1
4.55901,0.206946,-1
4.25718,-0.868099,-1
0.393536,6.93683,-1
-3.57662,5.62007,1
-0.379193,2.2664,-1
-2.64672,5.77471,-1
3.62239,5.79943,-1
-2.90399,5.90655,-1
2.79656,4.05228,-1
3.43654,3.67818,-1
4.96796,4.7112,-1
4.99695,6.07712,-1
1.11499,-1.5045,1
-1.07562,6.46165,-1
-2.33787,-0.914517,1
-2.02719,5.58794,-1
3.40144,-1.35975,-1
-4.76257,-0.745048,1
-1.24134,1.24326,1
-4.07376,5.83651,1
1.77206,6.71545,-1
-4.43785,5.61019,-1
-4.91211,-1.68523,1
4.1879,2.58089,-1
-2.24113,6.49873,-1
-2.27103,3.53316,1
0.879086,2.75997,-1
1.91183,6.50395,-1
3.37611,6.25291,-1
2.26493,4.80349,1
-0.150609,0.039674,1
-2.94641,3.32496,1
2.43736,2.01398,-1
-0.315409,4.23109,-1
-0.420392,-1.53169,1
4.49156,3.36671,1
2.44438,5.51625,-1
-3.9172,5.00977,1
0.990478,3.78008,-1
-1.14765,1.98321,1
2.35008,6.53032,-1
1.08966,6.82229,-1
0.724052,6.43666,-1
-1.38661,0.757103,1
-3.48445,4.90265,1
-2.74895,0.853237,1
-0.748467,2.21448,1
3.02881,0.867244,-1
0.171056,0.069613,1
4.8999,2.36747,-1
2.51549,-0.904629,-1
-1.54439,1.54073,1
-3.31019,1.33445,1
1.57308,3.00772,-1
-0.0810266,3.99707,-1
-4.3646,4.98779,-1
1.99759,0.682119,-1
0.0480664,-0.528886,1
-3.52504,5.37013,1
4.49583,6.73055,-1
-3.58425,-1.58031,1
4.05118,-1.28339,1
1.92892,-0.80163,-1
-1.96951,-0.2696,1
-0.734428,5.41737,-1
-4.29624,3.36424,1
4.66613,2.43065,1
1.83187,-1.77752,1
-3.46767,4.23631,1
3.77255,3.43757,-1
3.2168,2.37214,-1
0.82049,1.65746,-1
-3.08649,-0.0784328,1
-3.22108,5.11084,1
3.17194,2.07413,-1
-0.247352,3.66308,-1
-3.44447,-1.25758,1
0.0392163,5.61129,-1
2.32017,2.24635,-1
-0.94409,2.43175,-1
-2.2042,0.661519,1
0.687429,-1.06064,-1
1.82241,-1.27323,1
2.55852,0.433546,-1
2.21915,5.81289,1
-0.247047,2.55672,-1
-3.7698,-1.96017,1
-1.32191,3.86963,-1
3.34681,3.77157,-1
-4.64904,0.70162,1
0.170141,4.07288,-1
1.62984,0.765343,-1
-0.737785,-0.103153,1
-3.95322,1.49019,1
4.49339,5.40391,-1
4.21384,0.115207,-1
0.495468,2.52623,1
-1.54012,4.45302,-1
-0.282754,6.30976,-1
-1.25019,2.97861,-1
3.4698,-1.6943,1
-1.83126,3.67077,-1
-0.439009,4.98834,-1
-2.28111,5.94171,-1
4.82971,1.43745,-1
-2.022,3.16016,1
2.39189,-1.97528,-1
0.67278,6.84344,-1
-3.0401,6.12162,-1
2.61315,-1.33174,-1
3.39442,4.63265,-1
-1.02344,5.17704,-1
0.00900269,-0.021302,1
3.90164,1.53276,-1
-4.72533,0.70162,1
4.94629,3.07034,-1
0.725883,2.73251,-1
-4.49492,4.75982,1
0.313272,-0.816462,1
-3.05933,-0.745323,1
3.43043,-0.0690937,-1
1.26759,2.9819,-1
1.57613,4.84799,-1
-3.02149,-0.0770593,1
3.42158,5.99335,-1
-3.76675,2.44713,1
-3.90072,-1.06449,1
2.43126,2.89016,-1
-1.85934,0.356365,1
4.41069,6.69951,-1
-2.13919,5.74834,-1
-1.63686,5.95572,-1
-3.59737,-1.98984,1
2.33085,4.10282,-1
3.3462,0.696677,-1
2.07999,4.88012,-1
1.00238,-1.80444,1
2.47215,5.8681,-1
-2.47276,-0.15479,1
-3.55525,4.8771,1
-4.98383,0.551378,1
-4.38994,-1.26115,1
3.06238,0.481063,-1
3.52626,2.02991,-1
-2.89422,3.49031,1
-3.84396,4.99109,1
0.53209,4.74142,-1
-4.85748,3.53865,1
-3.86227,3.08216,1
-0.454879,5.90216,-1
2.5222,2.82562,-1
1.86148,-1.79702,1
0.434431,6.23121,-1
-4.26115,2.34989,-1
-0.632801,3.82952,-1
-2.98059,0.047914,-1
1.96219,4.4239,-1
-2.09647,4.69253,-1
-0.633107,-0.270699,1
-2.67571,4.49806,-1
0.77868,2.83029,-1
0.325785,0.587359,1
1.28681,4.54585,-1
-3.39808,-1.99313,1
0.0413525,6.04114,-1
4.63042,-1.09113,-1
1.95761,0.222327,-1
4.24802,4.5486,-1
-3.10053,1.21937,1
-1.64052,0.413495,1
-3.2165,3.2486,1
4.95178,3.87484,-1
-0.425581,1.95053,1
4.98016,2.31803,-1
-4.02493,2.55589,1
1.25172,1.94888,-1
-4.05606,4.57112,1
-0.62273,4.43764,-1
4.31516,0.723045,-1
-4.51567,-1.5435,1
3.9462,1.25617,-1
-2.09983,-1.95138,1
-2.72698,-0.982086,1
2.69066,5.80575,-1
-0.892819,0.64861,1
-2.98028,4.12561,1
1.28071,5.30943,1
1.04144,-0.483566,-1
-0.483871,2.31007,-1
-0.336466,-1.88821,1
0.978271,4.37721,-1
1.34724,-0.587115,1
3.54793,1.77612,-1
3.28791,3.88199,1
1.24775,5.65743,-1
2.20908,-0.483566,-1
0.657521,-0.503617,1
-1.24866,5.04547,-1
-3.15729,-0.0534377,1
2.37907,0.0531328,-1
0.551317,0.438765,1
4.05087,1.257,-1
-2.57134,3.10413,1
-3.1106,3.4785,1
1.04724,4.64336,-1
1.98508,1.68245,1
0.846125,0.276437,-1
-1.48701,2.9234,-1
-0.0553912,2.50316,-1
-4.19614,4.27888,1
2.40745,4.67989,-1
1.12049,4.97378,-1
1.2038,2.056,-1
1.91122,5.04685,-1
3.04529,-0.529435,-1
-3.50887,-1.81542,1
0.760369,3.0665,-1
3.67733,4.90951,-1
4.11557,3.73476,-1
1.14704,-0.764,1
2.27683,-0.820856,-1
-4.56786,4.37309,1
1.67776,4.12754,-1
4.76531,-1.86047,-1
-1.84988,3.92868,1
0.692007,-1.37129,1
-1.94174,2.19443,1
-3.26075,6.3993,-1
-3.91446,1.88021,-1
3.69045,-0.750267,-1
3.51222,-0.0935392,-1
2.44316,2.53255,-1
-3.45119,0.68981,1
-1.73086,5.13968,-1
-4.20652,2.43779,1
-4.23399,5.86123,1
1.4098,4.36018,-1
3.20002,2.88989,-1
0.450911,4.71999,-1
-0.517441,0.97409,1
-0.910214,2.47377,1
-2.01254,0.200629,1
-0.344401,4.80184,-1
0.012055,6.77148,-1
-3.47346,2.68911,1
-1.76962,1.5248,1
2.37999,1.54869,-1
-1.86117,3.49388,-1
3.26685,3.27415,-1
4.59075,1.58385,-1
3.73348,1.70965,-1
2.25028,2.64544,-1
-1.99942,4.96582,1
4.43999,4.92434,-1
-3.72768,2.88467,-1
-4.34263,0.214911,1
2.84967,3.92868,-1
0.245827,3.15577,1
1.09638,4.425,-1
4.56114,-0.898037,-1
-4.27732,2.10297,1
3.75637,-0.959288,-1
1.53859,3.79574,-1
-1.77877,3.15522,1
-3.95199,3.71554,1
0.0505084,0.0841701,-1
-2.72912,3.43126,1
-2.09708,6.72726,-1
4.1998,-1.76186,-1
0.511643,-1.2205,-1
1.62801,3.61858,-1
-3.85464,-0.84695,1
-0.0746179,6.57729,-1
-1.20869,6.17215,1
-0.0318918,6.43474,-1
2.93359,-0.938688,-1
0.0926238,1.76843,-1
-1.17634,2.89154,-1
1.88162,6.27433,-1
0.321512,2.91791,-1
1.06281,5.96725,-1
-1.04816,0.312143,1
-4.9411,0.993866,1
2.07877,6.71462,-1
-3.9938,4.00916,1
1.23066,3.99515,-1
3.63247,-0.790643,-1
-0.0849941,3.20631,1
2.47337,2.32298,-1
-0.0309762,0.0709863,1
-1.19892,3.77322,-1
2.85363,5.60277,-1
0.528123,-0.518723,-1
-1.42903,-0.281411,1
4.55718,0.964202,-1
1.30848,0.122074,1
-3.2342,-0.836238,1
-1.25752,1.3946,1
-3.68374,-1.57729,1
2.43278,4.31211,-1
4.5172,2.82095,1
1.11988,4.97186,-1
-4.72167,6.3614,1
-1.70156,-1.45643,1
-4.4409,4.81365,1
1.3921,0.441511,-1
-3.68374,5.0809,-1
3.47072,6.58745,-1
3.64315,-0.68627,-1
0.96881,2.33808,-1
2.21641,0.324503,-1
3.53969,2.6729,-1
-4.85321,3.7474,1
-3.73531,-1.46138,1
2.07907,2.50371,1
1.17145,1.94449,-1
-2.82434,0.0558794,1
-4.3405,1.59676,1
-3.3108,4.31925,1
1.24104,2.71218,-1
-1.59017,5.56542,-1
-1.80593,-0.73516,1
-1.32435,-0.180609,1
1.61,2.41005,-1
3.02393,3.73833,-1
3.06879,1.36467,-1
0.265359,2.41801,-1
1.11103,-1.33531,1
2.98181,0.590381,1
4.00601,6.65639,-1
-3.5519,5.90655,1
1.30177,-0.617328,1
-0.975829,0.0575273,-1
-2.463,5.86837,-1
-3.6346,-1.00653,-1
3.5519,-1.73989,-1
-4.33836,2.08951,1
-0.721915,6.53993,-1
0.733513,4.39863,-1
-1.97714,2.62374,1
0.480514,5.75191,1
-2.74438,6.83657,-1
-1.8865,1.03452,-1
-3.8937,-1.99368,-1
3.08039,4.12259,-1
-3.65291,2.98959,1
-2.15751,6.31169,-1
2.8811,-0.631886,-1
3.9523,-1.74154,1
2.89636,2.52129,-1
2.43797,6.08701,-1
1.15223,1.36329,-1
-1.38874,-0.984832,1
3.56655,1.90823,-1
-2.71508,0.299783,1
3.63582,4.56453,-1
-2.70562,-0.997467,1
-2.5045,-0.15891,1
0.424055,4.81942,-1
4.84832,2.04611,1
-4.46196,0.455794,1
-4.18577,4.73565,1
0.246742,-1.4666,1
-0.731986,4.23768,-1
-4.05332,0.303903,1
-2.41203,-0.34843,1
3.91537,-1.78356,-1
-2.67235,4.4489,1
-3.5345,0.217383,1
-3.74905,3.27909,1
4.31639,-1.79757,-1
-4.19889,-1.02356,1
-4.5291,5.91424,-1
