x1,x2,y
-4.98749,0.37849,-1
0.635853,0.770226,1
-3.06696,0.0989411,-1
3.0874,-0.705405,1
0.850093,0.0824611,1
-0.20127,-1.16526,-1
-1.49709,0.509354,1
3.95962,-0.147038,1
3.2284,0.233467,1
2.46605,-0.683798,1
-3.25892,1.01877,-1
3.58943,-1.81005,1
2.10501,0.446608,1
0.13535,0.544023,1
-1.96005,1.11728,1
-4.85015,-1.59972,-1
-4.08597,-1.25608,-1
-1.35548,-0.468825,-1
-3.52687,-1.47435,-1
-3.34101,-0.958464,-1
4.88525,-1.70959,1
-0.543077,0.269356,1
-3.80917,-1.19004,-1
-4.95331,0.793176,-1
-4.91089,-1.08249,-1
-1.2212,-0.342601,-1
0.316629,0.0963774,1
0.711844,0.809778,1
1.01764,0.560869,1
1.07166,1.687,1
-3.33766,1.01291,-1
1.63045,1.39647,1
-0.492111,-0.262642,1
-1.47877,0.511673,1
-4.42961,1.98352,-1
1.07685,-1.37254,1
2.83319,-1.8131,1
3.02606,-0.976287,1
0.198828,-0.0027467,1
-1.9805,-1.46324,-1
3.75973,0.801965,1
2.26676,-0.436354,1
4.55901,-1.01914,1
4.25718,-1.49693,1
0.393536,1.97192,1
-3.57662,1.3867,-1
-0.379193,-0.103824,1
-2.64672,1.45543,-1
3.62239,1.46641,1
-2.90399,1.51402,-1
2.79656,0.689901,1
3.43654,0.523637,1
4.96796,0.982757,1
4.99695,1.58983,1
1.11499,-1.77978,1
-1.07562,1.76073,1
-2.33787,-1.51756,-1
-2.02719,1.37242,1
3.40144,-1.71545,1
-4.76257,-1.44224,-1
-1.24134,-0.55855,-1
-4.07376,1.48289,-1
1.77206,1.87353,1
-4.43785,1.38231,-1
-4.91211,-1.8601,-1
4.1879,0.0359509,1
-2.24113,1.77721,1
-2.27103,0.459182,-1
0.879086,0.115543,1
1.91183,1.77953,1
3.37611,1.66796,1
2.26493,1.02377,1
-0.150609,-1.09348,-1
-2.94641,0.366649,-1
2.43736,-0.21601,1
-0.315409,0.769372,1
-0.420392,-1.79186,-1
4.49156,0.385205,1
2.44438,1.34056,1
-3.9172,1.11545,-1
0.990478,0.568926,1
-1.14765,-0.229682,-1
2.35008,1.79125,1
1.08966,1.92102,1
0.724052,1.74963,1
-1.38661,-0.774621,-1
-3.48445,1.06784,-1
-2.74895,-0.731895,-1
-0.748467,-0.126896,1
3.02881,-0.725669,1
0.171056,-1.08017,1
4.8999,-0.0589007,1
2.51549,-1.51317,1
-1.54439,-0.426344,-1
-3.31019,-0.518021,-1
1.57308,0.225654,1
-0.0810266,0.665365,1
-4.3646,1.10569,-1
1.99759,-0.807947,1
0.0480664,-1.34617,-1
-3.52504,1.27561,-1
4.49583,1.88025,1
-3.58425,-1.81347,-1
4.05118,-1.68151,1
1.92892,-1.46739,1
-1.96951,-1.23093,-1
-0.734428,1.29661,1
-4.29624,0.384106,-1
4.66613,-0.0308237,1
1.83187,-1.90112,1
-3.46767,0.771691,-1
3.77255,0.4167,1
3.2168,-0.0568255,1
0.82049,-0.374462,1
-3.08649,-1.14597,-1
-3.22108,1.16037,-1
3.17194,-0.189276,1
-0.247352,0.516922,1
-3.44447,-1.67003,-1
0.0392163,1.38279,1
2.32017,-0.112735,1
-0.94409,-0.0303354,1
-2.2042,-0.817103,-1
0.687429,-1.58251,1
1.82241,-1.67699,1
2.55852,-0.918424,1
2.21915,1.4724,1
-0.247047,0.0252082,1
-3.7698,-1.9823,-1
-1.32191,0.608722,1
3.34681,0.565142,1
-4.64904,-0.79928,-1
0.170141,0.699057,1
1.62984,-0.770959,1
-0.737785,-1.15696,-1
-3.95322,-0.448805,-1
4.49339,1.29063,1
4.21384,-1.05991,1
0.495468,0.011658,1
-1.54012,0.868007,1
-0.282754,1.69323,1
-1.25019,0.212714,-1
3.4698,-1.86413,1
-1.83126,0.520341,-1
-0.439009,1.10593,1
-2.28111,1.52965,1
4.82971,-0.472243,1
-2.022,0.293405,-1
2.39189,-1.98901,1
0.67278,1.93042,1
-3.0401,1.60961,-1
2.61315,-1.70299,1
3.39442,0.947844,1
-1.02344,1.18979,1
0.00900269,-1.12058,-1
3.90164,-0.429884,1
-4.72533,-0.79928,-1
4.94629,0.253487,1
0.725883,0.103336,1
-4.49492,1.00436,-1
0.313272,-1.47398,-1
-3.05933,-1.44237,-1
3.43043,-1.14182,1
1.26759,0.214179,1
1.57613,1.04355,1
-3.02149,-1.14536,-1
3.42158,1.5526,1
-3.76675,-0.0234993,-1
-3.90072,-1.58422,-1
2.43126,0.173406,1
-1.85934,-0.952727,-1
4.41069,1.86645,1
-2.13919,1.44371,1
-1.63686,1.53587,1
-3.59737,-1.99548,-1
2.33085,0.712363,1
3.3462,-0.801477,1
2.07999,1.05783,1
1.00238,-1.91308,1
2.47215,1.49693,1
-2.47276,-1.17991,-1
-3.55525,1.05649,-1
-4.98383,-0.866054,-1
-4.38994,-1.67162,-1
3.06238,-0.897305,1
3.52626,-0.20893,1
-2.89422,0.440138,-1
-3.84396,1.10715,-1
0.53209,0.996185,1
-4.85748,0.461623,-1
-3.86227,0.258736,-1
-0.454879,1.51207,1
2.5222,0.144719,1
1.86148,-1.90979,1
0.434431,1.65831,1
-4.26115,-0.0667135,-1
-0.632801,0.590899,1
-2.98059,-1.08982,-1
1.96219,0.855067,1
-2.09647,0.974456,-1
-0.633107,-1.23142,-1
-2.67571,0.888028,-1
0.77868,0.146794,1
0.325785,-0.850063,1
1.28681,0.909268,1
-3.39808,-1.99695,-1
0.0413525,1.57384,1
4.63042,-1.59606,1
1.95761,-1.0123,1
4.24802,0.910489,1
-3.10053,-0.56917,-1
-1.64052,-0.927335,-1
-3.2165,0.332713,-1
4.95178,0.611042,1
-0.425581,-0.244209,1
4.98016,-0.0808741,1
-4.02493,0.024842,-1
1.25172,-0.244942,1
-4.05606,0.920499,-1
-0.62273,0.861171,1
4.31516,-0.789758,1
-4.51567,-1.79711,-1
3.9462,-0.552812,1
-2.09983,-1.97839,-1
-2.72698,-1.54759,-1
2.69066,1.46922,1
-0.892819,-0.82284,-1
-2.98028,0.722495,-1
1.28071,1.24863,1
1.04144,-1.32603,1
-0.483871,-0.0844142,1
-0.336466,-1.95032,-1
0.978271,0.834315,1
1.34724,-1.37205,1
3.54793,-0.321726,1
3.28791,0.614216,1
1.24775,1.4033,1
2.20908,-1.32603,1
0.657521,-1.33494,1
-1.24866,1.13132,1
-3.15729,-1.13486,-1
2.37907,-1.0875,1
0.551317,-0.916105,1
4.05087,-0.552446,1
