x1,x2,y,predicted,faults
9.89563,-3.1254,-1,-1,1
9.3408,2.59194,1,1,1
2.19153,8.22932,1,1,1
-3.09305,-3.66008,-1,-1,1
2.4778,6.77724,1,1,1
-1.95044,-8.34651,-1,-1,1
0.17426,-3.03629,-1,-1,1
0.198065,5.69384,-1,-1,1
-7.82525,2.07862,-1,-1,1
-3.62224,5.54186,-1,-1,1
4.52986,6.27613,1,1,1
4.30647,-6.22303,-1,-1,1
2.7427,2.93069,-1,-1,1
-7.24235,8.18598,-1,-1,1
0.869472,1.2186,-1,-1,1
9.67101,4.89608,1,1,1
-8.96603,8.02789,-1,-1,1
-7.89483,-1.33091,-1,-1,1
-1.99194,9.04538,1,-1,-1
9.15586,-6.21876,-1,-1,1
-9.45921,-6.30787,-1,-1,1
7.70928,-3.52702,-1,-1,1
4.80148,-4.02875,-1,-1,1
0.0320446,-2.1897,-1,-1,1
7.93512,9.71618,1,1,1
-5.90686,-3.55205,-1,-1,1
4.05377,-5.24338,-1,-1,1
4.75326,-3.23527,-1,-1,1
-6.75222,-7.41386,-1,-1,1
-1.01718,-8.35627,-1,-1,1
9.12534,8.72799,1,1,1
3.64238,3.25175,-1,-1,1
-5.69018,6.71865,-1,-1,1
2.49428,-7.89605,-1,-1,1
-1.14719,7.87591,-1,-1,1
-7.38029,-3.08573,-1,-1,1
-3.93658,-5.67858,-1,-1,1
1.68187,-2.2251,-1,-1,1
-3.58013,2.6487,-1,-1,1
9.09482,5.562,1,1,1
-4.60555,4.52254,-1,-1,1
8.55586,-6.37013,-1,-1,1
7.80084,-8.93857,-1,-1,1
-0.856655,6.32801,-1,-1,1
-7.9107,2.37037,-1,-1,1
-0.296945,5.1561,-1,-1,1
5.38987,4.7557,1,1,1
9.10642,-9.99573,-1,-1,1
6.55324,8.35322,1,1,1
5.63768,2.30445,-1,-1,1
-7.54021,9.62401,-1,-1,1
-5.28184,1.65624,-1,-1,1
4.90951,9.04294,1,1,1
-2.00171,-9.94507,-1,-1,1
