x1,x2,y
-4.98749,1.9302,1
0.635853,0.0918608,-1
-3.06696,3.20081,1
3.0874,2.79321,1
0.850093,3.65813,1
-0.20127,-0.558275,-1
-1.49709,2.53722,1
3.95962,6.66738,1
3.2284,4.26185,-1
2.46605,6.32322,1
-3.25892,-0.290475,1
3.58943,1.02353,-1
2.10501,-0.394849,-1
0.13535,6.9566,1
-1.96005,2.11698,1
-4.85015,6.98215,1
-4.08597,-1.12244,-1
-1.35548,3.62654,1
-3.52687,-1.15046,-1
-3.34101,1.93954,1
4.88525,6.38365,-1
-0.543077,-1.5641,-1
-3.80917,6.05158,1
-4.95331,0.610157,1
-4.91089,0.0457168,1
-1.2212,4.9216,1
0.316629,1.69646,1
0.711844,-0.182256,-1
1.01764,3.65264,1
1.07166,3.4373,1
-3.33766,2.06452,-1
1.63045,2.19718,-1
-0.492111,3.38044,1
-1.47877,3.71252,-1
-4.42961,5.69314,1
1.07685,5.45912,1
2.83319,3.62297,1
3.02606,4.48817,1
0.198828,3.09177,1
-1.9805,1.3762,1
3.75973,-0.341563,-1
2.26676,4.64116,1
4.55901,2.99619,-1
4.25718,6.14579,1
0.393536,0.185796,-1
-3.57662,-0.299539,1
-0.379193,3.44252,1
-2.64672,4.28657,1
3.62239,3.26151,1
-2.90399,1.16169,1
2.79656,2.45015,1
3.43654,-1.27653,-1
4.96796,4.66671,1
4.99695,3.50844,1
1.11499,3.58342,1
-1.07562,4.2201,1
-2.33787,5.24076,1
-2.02719,-0.657979,-1
3.40144,3.18433,1
-4.76257,5.8096,1
-1.24134,6.20402,1
-4.07376,3.53233,1
1.77206,4.54915,1
-4.43785,-1.61107,1
-4.91211,4.00998,1
4.1879,6.78878,1
-2.24113,0.835109,1
-2.27103,3.12281,1
0.879086,0.752434,-1
1.91183,-0.434675,-1
3.37611,-1.02301,-1
2.26493,5.82141,-1
-0.150609,5.661,1
-2.94641,4.69884,1
2.43736,-0.606067,-1
-0.315409,0.942229,1
-0.420392,-1.28587,-1
4.49156,-1.31059,1
2.44438,3.76882,1
-3.9172,5.38002,1
0.990478,2.90582,1
-1.14765,2.0343,1
2.35008,1.68081,-1
1.08966,0.688711,-1
0.724052,2.19004,1
-1.38661,2.51085,1
-3.48445,-0.626118,1
-2.74895,0.907346,1
-0.748467,4.64199,1
3.02881,0.824946,-1
0.171056,5.44017,1
4.8999,6.63167,1
2.51549,5.86013,1
-1.54439,4.52525,1
-3.31019,0.700522,1
1.57308,6.49599,1
-0.0810266,-0.854915,-1
-4.3646,-1.40837,1
1.99759,5.0647,1
0.0480664,2.72124,1
-3.52504,3.48674,1
4.49583,6.60503,1
-3.58425,-1.34959,-1
4.05118,5.88073,-1
1.92892,3.88473,1
-1.96951,0.899106,1
-0.734428,-1.0568,-1
-4.29624,2.54546,1
4.66613,0.0437939,1
1.83187,0.612628,-1
-3.46767,6.27982,1
3.77255,2.96048,1
3.2168,3.96521,1
0.82049,-0.969176,-1
-3.08649,2.43284,1
-3.22108,1.41218,1
3.17194,2.4713,-1
-0.247352,5.14023,1
-3.44447,2.58336,1
0.0392163,1.4413,1
2.32017,4.19346,1
-0.94409,2.78936,-1
-2.2042,3.45653,1
0.687429,1.55666,-1
1.82241,-1.94699,-1
2.55852,4.37089,1
2.21915,-1.09442,1
-0.247047,3.60759,1
-3.7698,5.76922,1
-1.32191,2.42351,1
3.34681,4.72604,1
-4.64904,2.47212,1
0.170141,1.42097,1
1.62984,5.06827,1
-0.737785,2.97531,1
-3.95322,1.21387,1
4.49339,6.60146,1
4.21384,3.67763,1
0.495468,-0.410779,1
-1.54012,1.36824,1
-0.282754,-0.815363,-1
-1.25019,4.6895,-1
3.4698,6.56548,-1
-1.83126,3.50789,-1
-0.439009,-1.7495,-1
-2.28111,0.968596,1
4.82971,-1.49681,-1
-2.022,3.75289,1
2.39189,-0.815363,-1
0.67278,5.62365,1
-3.0401,5.77883,1
2.61315,3.37193,1
3.39442,4.49477,1
-1.02344,5.68572,1
0.00900269,-1.86789,-1
3.90164,-0.861782,-1
-4.72533,4.37117,1
4.94629,3.55431,1
0.725883,-0.0419018,-1
-4.49492,-1.40645,-1
0.313272,-0.47972,-1
-3.05933,3.61693,1
3.43043,1.06885,-1
1.26759,0.87466,-1
1.57613,1.30808,-1
-3.02149,3.949,1
3.42158,5.22153,1
-3.76675,5.26191,1
-3.90072,2.73882,1
2.43126,3.49992,1
-1.85934,5.18363,1
4.41069,6.10541,1
-2.13919,-0.696707,-1
-1.63686,3.67159,1
-3.59737,1.62175,1
2.33085,0.283303,-1
3.3462,-0.771142,-1
2.07999,5.69671,1
1.00238,-1.40452,-1
2.47215,1.85028,-1
-2.47276,3.16016,1
-3.55525,0.720573,1
-4.98383,2.93246,1
-4.38994,0.0300608,1
3.06238,0.802149,-1
3.52626,-1.00433,-1
-2.89422,5.27235,1
-3.84396,-0.787622,1
0.53209,0.558245,-1
-4.85748,5.09299,1
-3.86227,6.05707,1
-0.454879,5.10672,1
2.5222,4.69417,1
1.86148,3.537,1
0.434431,1.25013,1
-4.26115,5.70989,-1
-0.632801,0.0564287,-1
-2.98059,5.77224,-1
1.96219,0.0649433,-1
-2.09647,0.245949,1
