x1,x2,y
-4.98749,1.76733,1
0.635853,3.47465,1
-3.06696,4.99081,1
3.0874,-1.24714,-1
0.850093,-0.639302,-1
-0.20127,-0.128696,1
-1.49709,-1.2139,1
3.95962,0.855434,-1
3.2284,2.24635,1
2.46605,3.66225,-1
-3.25892,0.994964,1
3.58943,-1.28614,-1
2.10501,3.53069,1
0.13535,-0.714561,-1
-1.96005,0.526383,1
-4.85015,5.42479,1
-4.08597,1.95163,1
-1.35548,6.94974,1
-3.52687,-0.0114141,1
-3.34101,-1.034,1
4.88525,2.67098,1
-0.543077,0.381359,1
-3.80917,-1.93381,1
-4.95331,3.18625,1
-4.91089,4.93506,1
-1.2212,-1.03235,1
0.316629,6.72286,1
0.711844,1.32484,1
1.01764,6.1359,1
1.07166,2.69543,1
-3.33766,0.00396729,-1
1.63045,0.723594,1
-0.492111,2.30622,1
-1.47877,0.795557,-1
-4.42961,1.7297,1
1.07685,4.8826,1
2.83319,5.57448,1
3.02606,1.502,-1
0.198828,1.84725,1
-1.9805,4.51756,1
3.75973,4.61425,-1
2.26676,-1.17737,-1
4.55901,-1.26444,-1
4.25718,4.77767,-1
0.393536,5.62282,1
-3.57662,3.74026,1
-0.379193,1.23667,1
-2.64672,2.27519,1
3.62239,-1.15046,-1
-2.90399,1.73766,1
2.79656,-0.304758,-1
3.43654,1.08808,-1
4.96796,6.2205,-1
4.99695,0.0638447,-1
1.11499,0.79281,-1
-1.07562,-0.61156,1
-2.33787,1.07379,1
-2.02719,-0.359417,1
3.40144,0.450575,-1
-4.76257,-0.14655,1
-1.24134,-0.447859,1
-4.07376,1.01749,1
1.77206,-1.41111,-1
-4.43785,2.51717,-1
-4.91211,6.67315,1
4.1879,5.28333,-1
-2.24113,2.0181,1
-2.27103,6.21693,1
0.879086,-0.386608,-1
1.91183,2.33726,-1
3.37611,2.24882,-1
2.26493,4.29316,-1
-0.150609,0.237434,1
-2.94641,6.43034,1
2.43736,0.496994,-1
