x1,x2,y
-4.98749,1.25535,-1
0.635853,-1.81347,1
-3.06696,1.25681,-1
3.0874,-1.04001,1
0.850093,1.59154,1
-0.20127,-0.973968,1
-1.49709,-0.922575,-1
3.95962,-1.16794,1
3.2284,-1.08249,1
2.46605,1.38462,1
-3.25892,1.49937,-1
3.58943,1.55077,1
2.10501,1.37913,1
0.13535,0.437086,-1
-1.96005,-1.83642,-1
-4.85015,-1.30589,-1
-4.08597,-1.26499,-1
-1.35548,-0.576373,-1
-3.52687,-0.202948,-1
-3.34101,-1.25974,-1
4.88525,1.57787,1
-0.543077,0.492141,-1
-3.80917,0.185369,-1
-4.95331,1.64672,-1
-4.91089,0.0903959,-1
-1.2212,0.922575,-1
0.316629,1.99731,-1
0.711844,1.87732,-1
1.01764,1.46971,1
1.07166,1.36082,1
-3.33766,-1.41331,-1
1.63045,-0.502396,1
-0.492111,-0.862514,-1
-1.47877,-1.31614,-1
-4.42961,1.89502,-1
1.07685,0.967254,1
2.83319,0.866421,1
3.02606,-1.87646,1
0.198828,0.580157,-1
-1.9805,1.25083,-1
3.75973,0.943693,1
2.26676,1.27268,1
4.55901,-1.50145,1
4.25718,0.875576,1
0.393536,-0.49971,1
-3.57662,0.599323,-1
-0.379193,1.66173,-1
-2.64672,1.5587,-1
3.62239,-1.87133,1
-2.90399,1.09397,-1
2.79656,-0.204535,1
3.43654,-1.96973,1
4.96796,-1.08554,1
4.99695,-0.326121,1
1.11499,-1.37364,1
-1.07562,1.67614,-1
-2.33787,0.00677514,-1
-2.02719,-1.02853,-1
3.40144,1.01791,1
-4.76257,1.62609,-1
-1.24134,-1.14609,-1
-4.07376,-1.87158,-1
1.77206,1.08469,1
-4.43785,-1.08701,-1
-4.91211,0.226386,-1
4.1879,1.22556,1
-2.24113,1.40806,-1
-2.27103,-0.673543,-1
0.879086,0.155705,1
1.91183,1.96716,1
3.37611,1.4774,1
2.26493,0.587481,1
-0.150609,-1.08908,1
-2.94641,1.2512,-1
2.43736,-0.515824,1
-0.315409,-0.532426,-1
-0.420392,-1.8601,1
4.49156,0.245186,1
2.44438,-0.408521,1
-3.9172,-1.52086,-1
0.990478,-0.700278,1
-1.14765,1.59606,-1
2.35008,-1.19407,1
1.08966,1.76073,1
0.724052,-1.49974,1
-1.38661,1.39732,-1
-3.48445,1.57579,-1
-2.74895,-0.217719,-1
-0.748467,-1.11155,-1
3.02881,0.539018,1
0.171056,0.240303,1
4.8999,0.49617,1
2.51549,-0.305368,1
-1.54439,-1.93408,-1
-3.31019,1.45653,-1
1.57308,-1.44151,1
-0.0810266,-0.930387,1
-4.3646,-0.832118,-1
1.99759,0.726646,1
0.0480664,0.245796,-1
-3.52504,1.83532,-1
4.49583,0.428907,1
-3.58425,1.15293,-1
4.05118,-0.309152,1
1.92892,1.27354,1
-1.96951,0.957854,-1
-0.734428,-1.45689,-1
-4.29624,0.066103,-1
4.66613,-1.91968,1
1.83187,-1.97205,1
-3.46767,0.993255,-1
3.77255,-0.66451,1
3.2168,1.60851,1
0.82049,-0.150945,1
-3.08649,1.07163,-1
-3.22108,-1.79797,-1
3.17194,0.523881,1
-0.247352,-1.90332,1
-3.44447,0.729697,-1
0.0392163,1.87634,-1
2.32017,0.00177002,1
-0.94409,0.825526,-1
-2.2042,-0.936247,-1
0.687429,1.28941,1
1.82241,0.586505,1
2.55852,0.388867,1
2.21915,-0.945524,1
-0.247047,1.37693,-1
-3.7698,-0.159734,-1
-1.32191,0.992645,-1
3.34681,-0.593585,1
-4.64904,-1.94201,-1
0.170141,-0.0938139,1
1.62984,0.505936,1
-0.737785,-0.384472,-1
-3.95322,-0.465529,-1
4.49339,-1.88952,1
4.21384,-0.844691,1
0.495468,0.387402,1
-1.54012,1.53551,-1
-0.282754,-0.271309,-1
-1.25019,1.72619,-1
3.4698,-0.468093,1
-1.83126,0.132511,-1
-0.439009,-1.95972,1
-2.28111,1.89697,-1
4.82971,1.4608,1
-2.022,-0.250313,-1
2.39189,0.798547,1
0.67278,-0.668172,1
-3.0401,0.409375,-1
2.61315,-0.00579846,1
3.39442,0.238472,1
-1.02344,-1.84399,-1
0.00900269,-0.487136,1
3.90164,-1.06784,1
-4.72533,1.74938,-1
4.94629,1.43809,1
0.725883,1.85644,-1
-4.49492,0.435255,-1
0.313272,0.335887,1
-3.05933,-1.6942,-1
3.43043,-0.371899,1
1.26759,-0.778771,1
1.57613,-0.00567639,1
-3.02149,-1.6798,-1
3.42158,1.49913,1
-3.76675,-0.782922,-1
-3.90072,1.12607,-1
2.43126,1.73156,1
-1.85934,0.353709,-1
4.41069,-1.13511,1
-2.13919,-0.882778,-1
-1.63686,0.242866,-1
-3.59737,1.49767,-1
2.33085,-0.999725,1
3.3462,-0.794397,1
2.07999,0.908536,1
1.00238,1.46641,1
2.47215,-1.07566,1
-2.47276,-1.23716,-1
-3.55525,-0.212836,-1
-4.98383,1.56139,-1
-4.38994,0.297311,-1
3.06238,-1.88488,1
3.52626,1.98096,1
-2.89422,-1.76305,-1
-3.84396,0.47676,-1
0.53209,-0.972259,1
-4.85748,-1.32066,-1
-3.86227,-1.53551,-1
-0.454879,-1.07407,1
2.5222,-0.0204474,1
1.86148,1.83923,1
0.434431,-1.80285,1
-4.26115,-1.68151,-1
-0.632801,-0.649373,-1
-2.98059,-0.881069,-1
1.96219,0.0621967,1
-2.09647,-0.037782,-1
-0.633107,-0.350902,-1
-2.67571,1.69884,-1
0.77868,0.404248,1
0.325785,-0.831385,1
1.28681,-0.0969878,1
-3.39808,-0.393384,-1
0.0413525,1.80529,-1
4.63042,0.193426,1
1.95761,1.3397,1
4.24802,1.17771,1
-3.10053,1.20664,-1
-1.64052,0.37141,-1
-3.2165,1.48033,-1
4.95178,-0.727744,1
-0.425581,1.75671,-1
4.98016,-0.928312,1
-4.02493,1.77331,-1
1.25172,0.875088,1
-4.05606,-1.48949,-1
-0.62273,1.09958,-1
4.31516,-0.108463,1
-4.51567,-1.29637,-1
3.9462,-1.89331,1
-2.09983,-1.83349,-1
-2.72698,-0.180853,-1
2.69066,1.4492,1
-0.892819,-1.45555,-1
-2.98028,-1.94214,-1
1.28071,-1.1489,1
1.04144,1.27415,1
-0.483871,1.18882,-1
-0.336466,1.11863,-1
0.978271,0.633991,1
1.34724,-0.805017,1
3.54793,1.12571,1
3.28791,1.68603,1
1.24775,1.36851,1
2.20908,-1.02951,1
0.657521,-0.00494397,1
-1.24866,-1.90796,-1
-3.15729,-1.69713,-1
2.37907,-1.87646,1
0.551317,-0.575152,1
4.05087,0.861293,1
-2.57134,-0.36079,-1
-3.1106,-1.2783,-1
1.04724,-0.808313,1
1.98508,-1.27158,1
0.846125,0.979583,1
-1.48701,-1.46104,-1
-0.0553912,-1.76708,1
-4.19614,0.102481,-1
2.40745,-0.564531,1
1.12049,1.22691,1
1.2038,-1.36473,1
1.91122,1.59948,1
3.04529,-1.47276,1
-3.50887,-1.88305,-1
0.760369,-1.27427,1
3.67733,1.27232,1
4.11557,-1.00314,1
1.14704,0.282784,1
2.27683,-0.612384,1
-4.56786,0.159734,-1
1.67776,0.659627,1
4.76531,1.48302,1
-1.84988,1.73009,-1
0.692007,1.78112,-1
-1.94174,-1.57921,-1
-3.26075,-1.38707,-1
-3.91446,0.23188,-1
3.69045,1.20103,1
3.51222,1.58055,1
2.44316,-1.70995,1
-3.45119,1.48924,-1
-1.73086,1.28965,-1
-4.20652,-0.446852,-1
-4.23399,0.195135,-1
1.4098,0.687826,1
3.20002,-0.196234,1
0.450911,-0.874477,1
-0.517441,1.79785,-1
-0.910214,1.92859,-1
-2.01254,0.912198,-1
-0.344401,0.379223,-1
0.012055,-0.910489,1
-3.47346,-1.47215,-1
-1.76962,-1.20823,-1
2.37999,0.402051,1
-1.86117,-0.0505997,-1
3.26685,-0.578692,1
4.59075,-1.08029,1
3.73348,-0.0862453,1
2.25028,0.767174,1
-1.99942,1.7926,-1
4.43999,0.68453,1
-3.72768,1.9303,-1
-4.34263,-1.0499,-1
2.84967,0.0542619,1
0.245827,-1.05673,1
1.09638,1.59215,1
4.56114,-0.0625629,1
-4.27732,-0.694174,-1
3.75637,0.149968,1
1.53859,0.283151,1
-1.77877,-0.65389,-1
-3.95199,-0.607379,-1
0.0505084,-1.3231,1
-2.72912,-0.83932,-1
