Protein IDs	Majority protein IDs	Gene names	Protein names	Potential contaminant	Reverse	Only identified by site	LFQ intensity Sample1	LFQ intensity Sample2	LFQ intensity Sample3	LFQ intensity Sample4	LFQ intensity Sample5	LFQ intensity Sample6	Sequence coverage [%]	Mol. weight [kDa]	Peptides	Unique peptides
P04406	P04406	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase				3254000000	2987000000	3102000000	3350000000	2876000000	3198000000	72.5	36.1	28	28
P68363	P68363	TUBA1B	Tubulin alpha-1B chain				2187000000	2034000000	2298000000	2150000000	1987000000	2243000000	65.3	50.2	35	18
P60709	P60709	ACTB	Actin, cytoplasmic 1				4120000000	3980000000	4250000000	4050000000	3870000000	4180000000	78.2	41.7	25	12
P11142	P11142	HSPA8	Heat shock cognate 71 kDa protein				1543000000	1410000000	1620000000	1480000000	1390000000	1570000000	55.1	70.9	38	30
P07355	P07355	ANXA2	Annexin A2				654000000	598000000	710000000	640000000	575000000	690000000	71.3	38.6	22	22
P68104	P68104	EEF1A1	Elongation factor 1-alpha 1				1890000000	1750000000	1965000000	1830000000	1700000000	1920000000	45.6	50.1	20	11
P62258	P62258	YWHAE	14-3-3 protein epsilon				432000000	398000000	465000000	420000000	385000000	450000000	68.9	29.2	18	18
P63104	P63104	YWHAZ	14-3-3 protein zeta/delta				567000000	523000000	598000000	550000000	510000000	580000000	72.1	27.7	16	10
P06733	P06733	ENO1	Alpha-enolase				987000000	912000000	1050000000	350765878	281908170	340937093	62.4	47.2	26	26
P14618	P14618	PKM	Pyruvate kinase PKM				1234000000	1150000000	1310000000	340071173	345607100	397570520	48.9	58.0	32	22
P00558	P00558	PGK1	Phosphoglycerate kinase 1				890000000	823000000	950000000	275666040	263134908	331652557	58.3	44.6	22	22
P04075	P04075	ALDOA	Fructose-bisphosphate aldolase A				1234000000	1150000000	1310000000	484314382	415398774	521140806	72.8	39.4	24	24
P00338	P00338	LDHA	L-lactate dehydrogenase A chain				1567000000	1450000000	1650000000	406171429	319961411	429771359	65.4	36.7	20	20
P60174	P60174	TPI1	Triosephosphate isomerase				876000000	812000000	940000000	268223992	229427874	254189180	85.1	30.8	18	18
P18669	P18669	PGAM1	Phosphoglycerate mutase 1				432000000	398000000	465000000	183362359	148967111	165338850	68.9	28.8	14	14
P06744	P06744	GPI	Glucose-6-phosphate isomerase				345000000	312000000	378000000	138590998	143419798	165360723	42.3	63.2	22	22
P30048	P30048	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial				123000000	112000000	135000000	388236928	297233636	383909901	45.2	27.7	9	9
P30044	P30044	PRDX5	Peroxiredoxin-5, mitochondrial				98000000	90000000	105000000	240985212	229892042	285905894	52.8	22.1	8	8
P04792	P04792	HSPB1	Heat shock protein beta-1				567000000	523000000	598000000	1459460275	1333581605	1460506146	82.4	22.8	12	12
P04040	P04040	CAT	Catalase				345000000	312000000	378000000	806737263	639673427	800243235	42.8	59.8	20	20
P04179	P04179	SOD2	Superoxide dismutase [Mn], mitochondrial				78000000	72000000	84000000	283524328	250807467	307761976	52.3	24.7	8	8
P00441	P00441	SOD1	Superoxide dismutase [Cu-Zn]				234000000	215000000	256000000	463054515	426774890	445490789	82.5	16.0	10	10
P53004	P53004	BLVRA	Biliverdin reductase A				45000000	42000000	48000000	108174312	99619269	111930115	35.6	33.4	8	8
Q16881	Q16881	TXNRD1	Thioredoxin reductase 1, cytoplasmic				56000000	52000000	60000000	166594239	147232045	177358380	18.9	54.7	8	8
P04264	P04264	KRT1	Keratin, type II cytoskeletal 1	+			876000000	812000000	940000000	860000000	790000000	910000000	35.2	66.0	20	20
CON__P02768	CON__P02768	ALB	Serum albumin	+			1234000000	1150000000	1310000000	1200000000	1100000000	1280000000	45.8	69.4	30	30
REV__Q9Y6K1	REV__Q9Y6K1	FAKE1	Reverse sequence 1		+		45000000	42000000	48000000	44000000	40000000	47000000	12.3	55.2	3	3
